Site,Plot,N,R²,Slope,Intercept
Beijing,HIPS vs Aethalometer,72,0.4042488461722687,0.5868690972498563,0.6282183030464918
Beijing,FTIR EC vs Aethalometer,72,0.2268109563653386,0.6064118411546637,0.6431555350587205
Beijing,HIPS vs FTIR EC,72,0.6508027441552396,0.5847979972799999,0.5746183419643369
Delhi,HIPS vs Aethalometer,25,0.6091680909621695,0.5188236513118067,1.369457703980637
Delhi,FTIR EC vs Aethalometer,25,0.6078607373509043,0.9421791602340168,-2.3359633551739707
Delhi,HIPS vs FTIR EC,25,0.48093486056054585,0.38147218238753355,3.7511229389374527
JPL,HIPS vs Aethalometer,68,0.32614235330364505,0.37601987940049925,0.27836157211716067
JPL,FTIR EC vs Aethalometer,68,0.1506723298067402,0.2584221362177196,0.3533892866097107
JPL,HIPS vs FTIR EC,68,0.42249881313153514,0.6428460679048423,0.19441494116773556
Addis_Ababa,HIPS vs Aethalometer,180,0.6227526281134492,0.2651593209278817,2.7876370192622124
Addis_Ababa,FTIR EC vs Aethalometer,180,0.7341964988705258,0.6456173731613956,-0.010507741394101267
Addis_Ababa,HIPS vs FTIR EC,180,0.7853601266878362,0.3951977685910318,2.8708903317799885
