oldDate,GF1,GF2,GF3,GF4,GF5,K_F1(ug/m3),K_F2(ug/m3),K_F3(ug/m3),K_F4(ug/m3),K_F5(ug/m3)
1/3/2023,0.0217,0.00805,0.0605,0.0176,0.00366,0.364,0.397,3.62,0.395,0.0793
1/6/2023,0.0119,0.0247,0.0266,0.034,9.14E-05,0.2,1.22,1.59,0.763,0.00198
1/9/2023,0.0243,0.0228,0.00581,0.0445,0.0105,0.408,1.12,0.348,0.999,0.228
1/12/2023,0.00534,0.0176,1.05E-07,0.0464,1.04E-07,0.0895,0.868,6.29E-06,1.04,2.25E-06
1/15/2023,0.0157,0.0183,0.00589,0.0509,0.0528,0.27,0.924,0.361,1.17,1.17
1/21/2023,0.17977,0.0186,0.00407,0.0676,0.0138,3.05,0.929,0.247,1.54,0.303
1/24/2023,0.0516,0.0125,0.00154,0.0482,0.00623,0.876,0.624,0.0934,1.1,0.137
1/27/2023,0.0294,0.025,4.26E-07,0.0563,0.00422,0.499,1.25,2.58E-05,1.28,0.0926
1/30/2023,0.0401,0.0231,1.08E-06,0.0577,0.00864,0.672,1.14,6.47E-05,1.3,0.187
2/2/2023,0.0469,0.0185,0.00395,0.0448,0.0116,0.786,0.912,0.237,1.01,0.251
2/5/2023,0.0756,0.0174,0.00309,0.0346,0.0114,1.27,0.858,0.185,0.777,0.247
2/8/2023,0.0161,0.00602,1.85E-07,0.0786,0.0337,0.28,0.308,1.15E-05,1.83,0.757
2/10/2023,0.0986,0.0107,0.0195,0.0858,0.0251,1.58,0.504,1.12,1.84,0.519
2/13/2023,0.0479,0.0104,0.00837,0.0678,0.0068,0.767,0.49,0.479,1.45,0.141
2/16/2023,0.1094,0.0215,0.00104,0.085,0.0111,1.77,1.02,0.0602,1.84,0.232
2/19/2023,0.1063,0.0504,0.0311,0.0923,0.013,1.7,2.37,1.78,1.98,0.269
2/22/2023,0.032,0.0185,0.0138,0.082,0.0258,0.512,0.871,0.789,1.76,0.534
2/25/2023,2.27E-07,0.0607,1.31E-07,0.0532,0.0901,3.64E-06,2.86,7.49E-06,1.14,1.86
3/4/2023,0.011,0.0269,2.08E-06,0.04,0.0764,0.178,1.28,0.00012,0.868,1.6
3/7/2023,0.0285,0.0245,1.09E-06,0.0642,0.0829,0.462,1.17,6.31E-05,1.39,1.74
3/10/2023,1.85E-07,0.0459,0.00869,0.000205,0.062,3.00E-06,2.19,0.503,0.00445,1.3
3/13/2023,7.72E-07,0.041,0.0378,0.0244,0.0024,1.25E-05,1.95,2.19,0.529,0.0503
3/16/2023,0.0257,0.0204,0.0416,0.0217,0.00499,0.412,0.961,2.38,0.465,0.103
3/19/2023,1.08E-07,0.0543,0.0125,0.0254,6.66E-08,1.73E-06,2.56,0.715,0.545,1.38E-06
3/22/2023,0.0551,0.0694,0.039,0.0515,0.0466,0.893,3.31,2.26,1.12,0.976
3/29/2023,0.0332,0.0144,0.0815,0.01,2.32E-07,0.538,0.686,4.72,0.217,4.86E-06
4/1/2023,0.0118,0.0225,0.036,0.0241,0.000989,0.191,1.07,2.08,0.523,0.0207
4/4/2023,0.0361,0.0242,0.0115,0.0204,0.0018,0.585,1.15,0.666,0.443,0.0377
4/7/2023,0.0594,0.0251,0.00291,0.0269,6.93E-07,0.963,1.2,0.168,0.584,1.45E-05
4/10/2023,0.0334,0.0203,3.57E-07,0.0333,1.29E-07,0.541,0.967,2.07E-05,0.722,2.70E-06
4/13/2023,0.0306,0.0191,0.0178,0.0407,0.0502,0.496,0.91,1.03,0.883,1.05
4/16/2023,0.011,0.0173,3.16E-07,0.0248,5.93E-08,0.178,0.824,1.83E-05,0.538,1.24E-06
4/21/2023,0.0175,0.0513,0.0251,0.0193,0.0494,0.284,2.44,1.45,0.419,1.03
4/24/2023,0.037,0.0252,0.0223,0.0251,0.0135,0.6,1.2,1.29,0.545,0.283
4/27/2023,1.46E-07,0.0453,0.0757,1.63E-07,0.0377,2.37E-06,2.16,4.38,3.54E-06,0.789
4/30/2023,2.10E-07,0.0444,0.0442,0.000137,0.0335,3.40E-06,2.12,2.56,0.00297,0.702
5/3/2023,0.0768,0.0125,0.0564,0.0102,0.0119,1.24,0.596,3.26,0.221,0.249
5/6/2023,0.0398,0.0153,0.15145,0.00898,0.0117,0.645,0.729,8.77,0.195,0.245
5/9/2023,0.0432,3.93E-07,0.16597,8.88E-05,0.0344,0.716,1.92E-05,9.83,0.00197,0.737
5/17/2023,0.0196,0.0121,0.0943,2.30E-07,0.0211,0.318,0.577,5.46,4.99E-06,0.442
5/20/2023,3.39E-07,0.0546,0.0529,0.0196,0.0231,5.49E-06,2.6,3.06,0.425,0.484
5/23/2023,0.0868,0.0208,0.0457,0.00917,0.00842,1.41,0.991,2.65,0.199,0.176
5/26/2023,0.0684,0.0209,0.0282,0.0165,0.00196,1.11,0.996,1.63,0.358,0.041
5/29/2023,0.0203,0.039,0.0437,0.0282,6.82E-07,0.329,1.86,2.53,0.612,1.43E-05
6/1/2023,0.0298,0.0214,0.0426,0.014,0.00797,0.483,1.02,2.47,0.304,0.167
6/4/2023,0.085,0.00942,0.0289,0.0409,0.0367,1.41,0.459,1.71,0.908,0.786
6/7/2023,0.0241,0.0572,0.0786,0.00165,0.0567,0.394,2.75,4.6,0.0362,1.2
6/10/2023,0.0464,0.0608,0.0501,0.00577,0.0865,0.759,2.93,2.93,0.126,1.83
6/13/2023,0.1641,0.0322,0.0499,0.0206,0.0524,2.69,1.55,2.92,0.451,1.11
6/16/2023,0.12301,0.0426,0.0324,0.0113,0.0751,2.01,2.05,1.89,0.248,1.59
6/19/2023,0.14253,0.0298,0.0839,2.38E-07,0.0334,2.33,1.43,4.91,5.22E-06,0.706
6/22/2023,0.15994,0.0638,0.0751,0.018,0.0623,2.62,3.07,4.39,0.394,1.32
6/25/2023,0.0848,0.0515,0.0779,0.0231,0.0837,1.39,2.48,4.55,0.506,1.77
6/28/2023,0.032,0.048,0.0201,0.0147,0.0856,0.519,2.29,1.16,0.319,1.79
7/1/2023,0.0101,0.0484,0.0941,0.0144,0.0646,0.165,2.33,5.51,0.316,1.37
7/7/2023,1.80E-07,0.0589,0.0455,0.0063,0.0479,2.92E-06,2.81,2.63,0.137,1
7/10/2023,0.0266,0.0245,0.0734,0.0164,0.041,0.431,1.17,4.25,0.356,0.859
7/13/2023,1.09E-06,0.0586,0.0598,1.07E-07,0.0528,1.77E-05,2.79,3.46,2.32E-06,1.11
7/16/2023,0.037,0.0382,0.06,0.0169,0.0681,0.614,1.86,3.55,0.375,1.46
7/21/2023,0.0198,0.0461,0.0245,0.0122,0.0456,0.331,2.26,1.46,0.273,0.984
7/24/2023,0.0232,0.0378,0.0898,0.0142,0.0447,0.387,1.86,5.36,0.318,0.965
7/27/2023,0.0262,0.0732,0.0207,1.39E-06,0.0712,0.438,3.6,1.23,3.11E-05,1.54
8/2/2023,0.0364,0.0478,0.0527,4.70E-07,0.0409,0.608,2.35,3.14,1.05E-05,0.883
8/5/2023,0.0423,0.0688,0.0166,0.0168,0.0573,0.706,3.38,0.99,0.376,1.24
8/8/2023,0.0209,0.0661,0.0452,1.00E-07,0.0675,0.356,3.31,2.75,2.28E-06,1.49
8/16/2023,1.83E-06,0.044,0.085,0.0163,0.0159,3.00E-05,2.12,4.97,0.358,0.337
8/19/2023,0.00036,0.0461,0.13292,0.0278,0.0291,0.0059,2.22,7.78,0.61,0.616
8/22/2023,2.90E-07,0.0473,0.10631,0.0231,0.0163,4.80E-06,2.3,6.28,0.512,0.349
8/25/2023,0.012,0.0176,0.0762,0.00989,0.0315,0.197,0.848,4.46,0.217,0.667
8/28/2023,1.43E-07,0.052,0.0209,7.30E-08,0.0897,2.34E-06,2.51,1.22,1.60E-06,1.9
8/31/2023,0.0181,0.0526,0.0425,5.19E-08,0.0946,0.297,2.53,2.49,1.14E-06,2
9/3/2023,0.23667,0.0366,3.40E-07,0.0473,0.13573,3.92,1.78,2.01E-05,1.05,2.9
9/6/2023,1.07E-07,0.0701,2.54E-06,7.78E-08,0.10858,1.73E-06,3.34,0.000147,1.69E-06,2.27
9/9/2023,2.62E-07,0.033,0.15103,0.0023,0.081,4.29E-06,1.59,8.84,0.0505,1.71
9/12/2023,1.37E-07,0.0934,0.0105,0.0335,0.0378,2.19E-06,4.4,0.601,0.718,0.782
9/15/2023,0.0132,0.0407,0.0338,0.00145,0.076,0.211,1.92,1.93,0.0311,1.57
9/18/2023,0.015,0.0275,0.0327,1.44E-07,0.0987,0.24,1.3,1.87,3.09E-06,2.04
9/21/2023,0.0352,0.0234,0.0631,0.0204,0.10748,0.57,1.12,3.65,0.443,2.25
9/24/2023,3.70E-05,0.0225,0.0288,0.02,0.0952,6.00E-04,1.07,1.67,0.434,1.99
9/27/2023,1.72E-07,0.0297,0.20061,0.00503,0.13289,2.82E-06,1.43,11.7,0.11,2.81
10/15/2023,0.0297,0.00916,0.0037,0.0532,0.00951,0.493,0.447,0.219,1.18,0.204
10/18/2023,0.0531,8.81E-08,0.0164,0.0726,0.0662,0.86,4.20E-06,0.949,1.58,1.39
10/21/2023,0.0353,4.58E-07,0.0302,0.0456,0.0286,0.572,2.18E-05,1.75,0.989,0.599
10/24/2023,1.55E-07,0.0199,1.65E-07,0.0369,0.16338,2.51E-06,0.948,9.55E-06,0.801,3.42
10/27/2023,0.000858,0.0112,0.00302,0.0164,0.000163,0.0139,0.534,0.175,0.356,0.00341
10/30/2023,2.10E-07,0.0173,0.0114,0.0177,0.0737,3.36E-06,0.815,0.652,0.38,1.53
11/2/2023,1.26E-06,2.06E-07,0.0136,0.0951,0.0869,2.04E-05,9.82E-06,0.787,2.06,1.82
11/5/2023,1.24E-07,0.0194,1.24E-07,0.0585,0.13836,2.01E-06,0.925,7.18E-06,1.27,2.9
11/8/2023,0.0266,0.000862,0.013,0.0775,0.0456,0.431,0.0411,0.753,1.68,0.955
11/11/2023,0.0352,0.000934,0.0179,0.0736,0.0368,0.57,0.0445,1.04,1.6,0.771
11/14/2023,0.0372,0.0237,0.0197,0.0821,0.0393,0.603,1.13,1.14,1.78,0.823
11/17/2023,0.015,0.0111,0.0203,0.0885,0.0763,0.243,0.529,1.18,1.92,1.6
11/20/2023,0.0244,0.0375,0.00706,0.0586,0.0473,0.395,1.79,0.409,1.27,0.99
11/23/2023,0.0167,0.0171,0.00289,0.0493,0.0667,0.271,0.815,0.167,1.07,1.4
11/26/2023,0.0405,0.00487,0.0179,0.0836,0.1061,0.656,0.232,1.04,1.81,2.22
11/29/2023,0.00319,0.00714,5.34E-07,0.0488,0.16972,0.0517,0.34,3.09E-05,1.06,3.55
12/2/2023,0.0335,6.98E-08,0.000138,0.12097,0.0837,0.549,3.36E-06,0.00808,2.65,1.77
12/5/2023,0.00757,0.00667,0.00916,0.0507,0.11002,0.123,0.318,0.53,1.1,2.3
12/8/2023,2.96E-07,0.0134,0.0273,0.00324,0.0553,4.80E-06,0.639,1.58,0.0703,1.16
12/11/2023,0.00914,0.012,0.0027,0.0465,0.0162,0.15,0.578,0.158,1.02,0.343
12/14/2023,0.00603,0.0168,0.00453,0.0691,0.0365,0.0988,0.809,0.265,1.52,0.773
12/17/2023,0.0081,0.0367,0.00148,0.086,0.057,0.131,1.75,0.0857,1.87,1.19
