Site,Latitude,Longitude,Barcode,FilterId,oldDate,FilterType,LotId
ETAD,9.0106,38.8207,E52885,ETAD-0017-1,2022-12-07,PM2.5,248
ETAD,9.0106,38.8207,E52886,ETAD-0018-2,2022-12-10,PM2.5,248
ETAD,9.0106,38.8207,E52888,ETAD-0019-3,2022-12-13,PM2.5,248
ETAD,9.0106,38.8207,E52887,ETAD-0020-4,2022-12-16,PM2.5,248
ETAD,9.0106,38.8207,E52889,ETAD-0021-5,2022-12-19,PM2.5,248
ETAD,9.0106,38.8207,E52899,ETAD-0022-6,2022-12-22,PM2.5,248
ETAD,9.0106,38.8207,E52901,ETAD-0024-8,2022-12-25,PM2.5,248
ETAD,9.0106,38.8207,E52907,ETAD-0033-1,2022-12-28,PM2.5,248
ETAD,9.0106,38.8207,E52909,ETAD-0034-2,2022-12-31,PM2.5,248
ETAD,9.0106,38.8207,E52908,ETAD-0035-3,2023-01-03,PM2.5,248
ETAD,9.0106,38.8207,E52913,ETAD-0036-4,2023-01-06,PM2.5,248
ETAD,9.0106,38.8207,E52911,ETAD-0037-5,2023-01-09,PM2.5,248
ETAD,9.0106,38.8207,E52914,ETAD-0038-6,2023-01-12,PM2.5,248
ETAD,9.0106,38.8207,E52916,ETAD-0040-8,2023-01-15,PM2.5,248
ETAD,9.0106,38.8207,E52849,ETAD-0001-1,2023-01-21,PM2.5,248
ETAD,9.0106,38.8207,E52866,ETAD-0002-2,2023-01-24,PM2.5,248
ETAD,9.0106,38.8207,E52895,ETAD-0003-3,2023-01-27,PM2.5,248
ETAD,9.0106,38.8207,E52897,ETAD-0004-4,2023-01-30,PM2.5,248
ETAD,9.0106,38.8207,E52872,ETAD-0005-5,2023-02-02,PM2.5,248
ETAD,9.0106,38.8207,E52873,ETAD-0006-6,2023-02-05,PM2.5,248
ETAD,9.0106,38.8207,E52898,ETAD-0008-8,2023-02-08,PM2.5,248
ETAD,9.0106,38.8207,201754,ETAD-0041-1,2023-02-10,PM2.5,248
ETAD,9.0106,38.8207,202266,ETAD-0042-2,2023-02-13,PM2.5,248
ETAD,9.0106,38.8207,202267,ETAD-0043-3,2023-02-16,PM2.5,248
ETAD,9.0106,38.8207,201889,ETAD-0044-4,2023-02-19,PM2.5,248
ETAD,9.0106,38.8207,201888,ETAD-0045-5,2023-02-22,PM2.5,248
ETAD,9.0106,38.8207,201887,ETAD-0046-6,2023-02-25,PM2.5,248
ETAD,9.0106,38.8207,201884,ETAD-0049-1,2023-03-04,PM2.5,248
ETAD,9.0106,38.8207,201882,ETAD-0050-2,2023-03-07,PM2.5,248
ETAD,9.0106,38.8207,201881,ETAD-0051-3,2023-03-10,PM2.5,248
ETAD,9.0106,38.8207,201880,ETAD-0052-4,2023-03-13,PM2.5,248
ETAD,9.0106,38.8207,201879,ETAD-0053-5,2023-03-16,PM2.5,248
ETAD,9.0106,38.8207,201878,ETAD-0054-6,2023-03-19,PM2.5,248
ETAD,9.0106,38.8207,201875,ETAD-0056-8,2023-03-22,PM2.5,248
ETAD,9.0106,38.8207,206603,ETAD-0057-1,2023-03-29,PM2.5,251
ETAD,9.0106,38.8207,206604,ETAD-0058-2,2023-04-01,PM2.5,251
ETAD,9.0106,38.8207,206605,ETAD-0059-3,2023-04-04,PM2.5,251
ETAD,9.0106,38.8207,206606,ETAD-0060-4,2023-04-07,PM2.5,251
ETAD,9.0106,38.8207,206607,ETAD-0061-5,2023-04-10,PM2.5,251
ETAD,9.0106,38.8207,206608,ETAD-0062-6,2023-04-13,PM2.5,251
ETAD,9.0106,38.8207,206610,ETAD-0064-8,2023-04-16,PM2.5,251
ETAD,9.0106,38.8207,206611,ETAD-0065-1,2023-04-21,PM2.5,251
ETAD,9.0106,38.8207,206613,ETAD-0066-2,2023-04-24,PM2.5,251
ETAD,9.0106,38.8207,206614,ETAD-0067-3,2023-04-27,PM2.5,251
ETAD,9.0106,38.8207,206615,ETAD-0068-4,2023-04-30,PM2.5,251
ETAD,9.0106,38.8207,206616,ETAD-0069-5,2023-05-03,PM2.5,251
ETAD,9.0106,38.8207,206620,ETAD-0070-6,2023-05-06,PM2.5,251
ETAD,9.0106,38.8207,206622,ETAD-0072-8,2023-05-09,PM2.5,251
ETAD,9.0106,38.8207,206666,ETAD-0073-1,2023-05-17,PM2.5,251
ETAD,9.0106,38.8207,206667,ETAD-0074-2,2023-05-20,PM2.5,251
ETAD,9.0106,38.8207,206668,ETAD-0075-3,2023-05-23,PM2.5,251
ETAD,9.0106,38.8207,206669,ETAD-0076-4,2023-05-26,PM2.5,251
ETAD,9.0106,38.8207,206670,ETAD-0077-5,2023-05-29,PM2.5,251
ETAD,9.0106,38.8207,206671,ETAD-0078-6,2023-06-01,PM2.5,251
ETAD,9.0106,38.8207,206673,ETAD-0080-8,2023-06-04,PM2.5,251
ETAD,9.0106,38.8207,206657,ETAD-0081-1,2023-06-07,PM2.5,251
ETAD,9.0106,38.8207,206659,ETAD-0082-2,2023-06-10,PM2.5,251
ETAD,9.0106,38.8207,206660,ETAD-0083-3,2023-06-13,PM2.5,251
ETAD,9.0106,38.8207,206661,ETAD-0084-4,2023-06-16,PM2.5,251
ETAD,9.0106,38.8207,206662,ETAD-0085-5,2023-06-19,PM2.5,251
ETAD,9.0106,38.8207,206663,ETAD-0086-6,2023-06-22,PM2.5,251
ETAD,9.0106,38.8207,206665,ETAD-0088-8,2023-06-25,PM2.5,251
ETAD,9.0106,38.8207,229315,ETAD-0089-1,2023-06-28,PM2.5,251
ETAD,9.0106,38.8207,229317,ETAD-0090-2,2023-07-01,PM2.5,251
ETAD,9.0106,38.8207,229318,ETAD-0091-3,2023-07-04,PM2.5,251
ETAD,9.0106,38.8207,229319,ETAD-0092-4,2023-07-07,PM2.5,251
ETAD,9.0106,38.8207,229320,ETAD-0093-5,2023-07-10,PM2.5,251
ETAD,9.0106,38.8207,229321,ETAD-0094-6,2023-07-13,PM2.5,251
ETAD,9.0106,38.8207,229325,ETAD-0096-8,2023-07-16,PM2.5,251
ETAD,9.0106,38.8207,229326,ETAD-0097-1,2023-07-21,PM2.5,251
ETAD,9.0106,38.8207,229327,ETAD-0098-2,2023-07-24,PM2.5,251
ETAD,9.0106,38.8207,229328,ETAD-0099-3,2023-07-27,PM2.5,251
ETAD,9.0106,38.8207,229329,ETAD-0100-4,2023-07-30,PM2.5,251
ETAD,9.0106,38.8207,229331,ETAD-0101-5,2023-08-02,PM2.5,251
ETAD,9.0106,38.8207,229332,ETAD-0102-6,2023-08-05,PM2.5,251
