Method_Pair,Prefix,Dominance_Method,Source,Threshold,Low_n,Low_R2,Low_Slope,High_n,High_R2,High_Slope,Residual_Corr
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,ALL,0.3,3,0.8838134884918308,0.5212126072182924,99,0.8096752214276163,0.39082407420746207,-0.02580097991761771
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,ALL,0.3,3,0.7334169390159316,0.5180571408681257,99,0.814663399008089,0.3926935457768942,-0.45429136607530407
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,ALL,0.4,31,0.7957787132678652,0.3626491135201922,71,0.8172070744060048,0.40278553731829286,-0.02580097991761771
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,ALL,0.4,34,0.6242748229092506,0.3439725508837511,68,0.8569511882551017,0.41786141100175617,-0.45429136607530407
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,ALL,0.5,64,0.825776227687513,0.3893060752747958,38,0.7958463633630253,0.4033887355425859,-0.02580097991761771
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,ALL,0.5,66,0.7121892086372376,0.3760700398558426,36,0.8563090149292187,0.4168866108665067,-0.45429136607530407
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,ALL,0.6,92,0.8093145084287949,0.39734206206125033,10,0.8250825498444659,0.36994882722833444,-0.02580097991761771
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,ALL,0.6,85,0.7709362106659464,0.3861037193620437,17,0.8570394693874273,0.4568402028450676,-0.45429136607530407
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,GF,ALL,0.7,100,0.81113341083613,0.39241514451059795,2,,,-0.02580097991761771
HIPS Fabs/MAC vs FTIR EC,hips_vs_ec,KF,ALL,0.7,94,0.7990660419687362,0.3906963310633403,8,0.7745392086182182,0.42448300853971255,-0.45429136607530407
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,ALL,0.3,2,,,95,0.7548221909981646,1.1847544170311952,0.06131269345539237
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,ALL,0.3,3,0.9507095091704685,2.470651055195112,94,0.7523096523966785,1.1567222818710112,0.10053164712673623
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,ALL,0.4,30,0.6774286370023052,1.2098463194714182,67,0.7669401887305368,1.1604993055288833,0.06131269345539237
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,ALL,0.4,32,0.648875977743328,1.468221870121371,65,0.770838573081357,1.1459755348474137,0.10053164712673623
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,ALL,0.5,61,0.7674023011742618,1.0780910355761686,36,0.7332263604571809,1.3127349189078596,0.06131269345539237
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,KF,ALL,0.5,61,0.6413877666313731,1.2268525334720135,36,0.7899403488064852,1.1690132040436252,0.10053164712673623
Aeth IR BCc vs FTIR EC,aeth_ir_vs_ec,GF,ALL,0.6,87,0.7145088953238119,1.1239593629265687,10,0.919597166730901,1.4514190665771136,0.06131269345539237
