Pair,Source,Method,Threshold,n,R_squared,Slope,p_value
HIPS vs EC,Charcoal Burning,GF (Fraction),All,22,0.8550638040187899,0.3939298145079046,7.735316787094326e-10
HIPS vs EC,Charcoal Burning,GF (Fraction),≥30%,21,0.856920038352145,0.39253563104434847,1.8407152043358681e-09
HIPS vs EC,Charcoal Burning,GF (Fraction),≥40%,15,0.6936112576137374,0.38601339170925264,0.00011608611593354717
HIPS vs EC,Charcoal Burning,GF (Fraction),≥50%,11,0.6299576611525128,0.38043950458570613,0.003541660585003708
HIPS vs EC,Charcoal Burning,GF (Fraction),≥60%,3,0.8502622557951274,0.5322835468269824,0.25294943999478225
HIPS vs EC,Charcoal Burning,K_F (Concentration),All,41,0.8143183379834296,0.3982996467066489,7.706167248092728e-16
HIPS vs EC,Charcoal Burning,K_F (Concentration),≥30%,41,0.8143183379834296,0.3982996467066489,7.706167248092728e-16
HIPS vs EC,Charcoal Burning,K_F (Concentration),≥40%,34,0.808733950059133,0.4013293940047378,4.957957231479951e-13
HIPS vs EC,Charcoal Burning,K_F (Concentration),≥50%,21,0.8053504072251924,0.37744698191403603,3.522832593041356e-08
HIPS vs EC,Charcoal Burning,K_F (Concentration),≥60%,13,0.6680237124396565,0.3850031261138451,0.0006451379067563896
HIPS vs EC,Wood Burning,GF (Fraction),All,11,0.7590126183559979,0.4316694110893337,0.0004783720420783386
HIPS vs EC,Wood Burning,GF (Fraction),≥30%,10,0.7803960941264808,0.476155403779294,0.0007009209799274846
HIPS vs EC,Wood Burning,K_F (Concentration),All,24,0.7864576923821739,0.3805064758617415,7.8974699779447e-09
HIPS vs EC,Wood Burning,K_F (Concentration),≥30%,22,0.82221757653975,0.3730208044525277,6.070379987128369e-09
HIPS vs EC,Wood Burning,K_F (Concentration),≥40%,16,0.9252494706505586,0.4471699333896014,2.8257156478613786e-09
HIPS vs EC,Wood Burning,K_F (Concentration),≥50%,7,0.9726173636804372,0.4733130853399422,4.254632088543961e-05
HIPS vs EC,Fossil Fuel,GF (Fraction),All,25,0.8361003031124843,0.44007713240783375,1.6577922951758517e-10
HIPS vs EC,Fossil Fuel,GF (Fraction),≥30%,25,0.8361003031124843,0.44007713240783375,1.6577922951758517e-10
HIPS vs EC,Fossil Fuel,GF (Fraction),≥40%,20,0.7617332045043765,0.42195349850477826,5.180550134346012e-07
HIPS vs EC,Fossil Fuel,GF (Fraction),≥50%,11,0.6682323177434148,0.3382731760339595,0.00211852617765735
HIPS vs EC,Fossil Fuel,GF (Fraction),≥60%,5,0.8459631659698686,0.3126243469111288,0.026952697510442106
HIPS vs EC,Fossil Fuel,K_F (Concentration),All,13,0.3570739436088351,0.3370420019491389,0.031027926679379755
HIPS vs EC,Fossil Fuel,K_F (Concentration),≥30%,12,0.3618623262642097,0.3401285659148498,0.0385266589684908
HIPS vs EC,Fossil Fuel,K_F (Concentration),≥40%,6,0.7967164245204935,0.8283969989956407,0.016685855100285408
HIPS vs EC,Fossil Fuel,K_F (Concentration),≥50%,4,0.49193852041843805,0.6209957906263389,0.2986167093390105
HIPS vs EC,Polluted Marine,GF (Fraction),All,23,0.62422095151537,0.52763235249291,7.311838883360514e-06
HIPS vs EC,Polluted Marine,GF (Fraction),≥30%,23,0.62422095151537,0.52763235249291,7.311838883360514e-06
HIPS vs EC,Polluted Marine,GF (Fraction),≥40%,19,0.5739911583185395,0.5228554685812135,0.00017189004469013433
