# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28101,Filter PM2.5 mass,83.04,Micrograms per cubic meter (ug/m3),,,,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28101,Filter PM2.5 mass,0.0,Micrograms per cubic meter (ug/m3),,,,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28404,Nitrite Ion PM2.5,0.0,Micrograms per cubic meter (ug/m3),,0.20017197424248986,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28405,Bromide Ion PM2.5,0.0,Micrograms per cubic meter (ug/m3),,0,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28402,Nitrate Ion PM2.5,0.73,Micrograms per cubic meter (ug/m3),,0.687803586417416,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28403,Phosphate Ion PM2.5,0.3,Micrograms per cubic meter (ug/m3),,0,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28401,Sulfate Ion PM2.5,15.97,Micrograms per cubic meter (ug/m3),,3.2694065871505913,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28801,Sodium Ion PM2.5,0.28,Micrograms per cubic meter (ug/m3),,1.085413693629858,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28802,Ammonium Ion PM2.5,3.13,Micrograms per cubic meter (ug/m3),,0.535702943711274,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28803,Potassium Ion PM2.5,0.7,Micrograms per cubic meter (ug/m3),,0.30006041029831665,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28804,Magnesium Ion PM2.5,0.09,Nanograms per cubic meter (ng/m3),,0.09273749681596125,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28805,Calcium Ion PM2.5,3.21,Micrograms per cubic meter (ug/m3),,8.908123867151089,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28201,Equivalent BC PM2.5,10.56,Micrograms per cubic meter (ug/m3),,,,212,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Smoke Stain Reflectometer; assumed hydrophobic,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0049,2013,6,28,9.0,2013,7,7,9.0,24.0,28202,BC PM2.5,11.01,Micrograms per cubic meter (ug/m3),,,,220,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Estimated from the HIPS-SSR BC curve,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28101,Filter PM2.5 mass,45.28,Micrograms per cubic meter (ug/m3),,,,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28101,Filter PM2.5 mass,0.0,Micrograms per cubic meter (ug/m3),,,,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28404,Nitrite Ion PM2.5,0.0,Micrograms per cubic meter (ug/m3),,0.20017197424248986,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28405,Bromide Ion PM2.5,0.0,Micrograms per cubic meter (ug/m3),,0,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28402,Nitrate Ion PM2.5,0.99,Micrograms per cubic meter (ug/m3),,0.687803586417416,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28403,Phosphate Ion PM2.5,1.6,Micrograms per cubic meter (ug/m3),,0,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28401,Sulfate Ion PM2.5,4.8,Micrograms per cubic meter (ug/m3),,3.2694065871505913,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
CHTS,40.004,116.326,92.0,CHTS-0050,2013,7,7,9.0,2013,7,16,9.0,24.0,28801,Sodium Ion PM2.5,0.47,Micrograms per cubic meter (ug/m3),,1.085413693629858,,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
