site_code,base_filter_id,source_parameter_codes,source_analysis_descriptions,source_method_codes,source_conditions,competing_values,source_row_links,source_definition_recovered,authoritative_value_selected,selected_ec_ugm3,value_adjudication
CHTS,CHTS-0562,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.78],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4632,""source_row"":4606}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0563,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.19],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4674,""source_row"":4648}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0565,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.52],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4715,""source_row"":4689}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0566,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.36],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4756,""source_row"":4731}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0567,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.4],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4797,""source_row"":4772}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0570,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.52],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4838,""source_row"":4813}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0571,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.77],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4879,""source_row"":4854}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0572,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.29],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4920,""source_row"":4895}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0573,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.5],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":4961,""source_row"":4936}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0574,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.31],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5003,""source_row"":4977}]",True,False,,single_export_value_definition_recovered_not_independent_reference
