source_row,Site,Latitude_unified,Longitude_unified,Barcode,FilterId_unified,SampleDate,FilterType,LotId,AnalysisDate,AnalysisTime,CalibrationSetId,DepositArea_cm2,Volume_m3,Parameter,MassLoading_ug,Concentration,MDL_unified,Uncertainty,FilterComments,DataSource,Concentration_Units,MDL_Units,MassLoading_Units,base_filter_id,parsed_date,value_key,mdl_key,export_source_row,Site_Code,Latitude_export,Longitude_export,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL_export,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag,export_file,export_sha256,export_header,FilterId_export,method_key,source_value_match,source_mdl_match,interpretation,authoritative_value_selected,historical_importer_commit,historical_importer_sha256
4606,CHTS,40.004,116.326,,CHTS-0562,2019-05-08,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,2.78,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0562,2019-05-08,2.78,,4632,CHTS,40.004,116.326,92.0,CHTS-0562,2019,5,8,9.0,2019,5,16,9.0,24.0,28203,EC PM2.5,2.78,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0562,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4648,CHTS,40.004,116.326,,CHTS-0563,2019-05-17,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,2.19,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0563,2019-05-17,2.19,,4674,CHTS,40.004,116.326,92.0,CHTS-0563,2019,5,17,9.0,2019,5,25,9.0,24.0,28203,EC PM2.5,2.19,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0563,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4689,CHTS,40.004,116.326,,CHTS-0565,2019-05-26,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,1.52,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0565,2019-05-26,1.52,,4715,CHTS,40.004,116.326,92.0,CHTS-0565,2019,5,26,9.0,2019,6,3,9.0,24.0,28203,EC PM2.5,1.52,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0565,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4731,CHTS,40.004,116.326,,CHTS-0566,2019-06-04,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,2.36,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0566,2019-06-04,2.36,,4756,CHTS,40.004,116.326,92.0,CHTS-0566,2019,6,4,9.0,2019,6,12,9.0,24.0,28203,EC PM2.5,2.36,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0566,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4772,CHTS,40.004,116.326,,CHTS-0567,2019-06-13,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,2.4,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0567,2019-06-13,2.4,,4797,CHTS,40.004,116.326,92.0,CHTS-0567,2019,6,13,9.0,2019,6,21,9.0,24.0,28203,EC PM2.5,2.4,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0567,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4813,CHTS,40.004,116.326,,CHTS-0570,2019-07-16,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,2.52,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0570,2019-07-16,2.52,,4838,CHTS,40.004,116.326,92.0,CHTS-0570,2019,7,16,9.0,2019,7,24,9.0,24.0,28203,EC PM2.5,2.52,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0570,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4854,CHTS,40.004,116.326,,CHTS-0571,2019-07-25,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,1.77,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0571,2019-07-25,1.77,,4879,CHTS,40.004,116.326,92.0,CHTS-0571,2019,7,25,9.0,2019,8,2,9.0,24.0,28203,EC PM2.5,1.77,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0571,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4895,CHTS,40.004,116.326,,CHTS-0572,2019-08-03,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,2.29,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0572,2019-08-03,2.29,,4920,CHTS,40.004,116.326,92.0,CHTS-0572,2019,8,3,9.0,2019,8,11,9.0,24.0,28203,EC PM2.5,2.29,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0572,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4936,CHTS,40.004,116.326,,CHTS-0573,2019-08-12,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,1.5,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0573,2019-08-12,1.5,,4961,CHTS,40.004,116.326,92.0,CHTS-0573,2019,8,12,9.0,2019,8,20,9.0,24.0,28203,EC PM2.5,1.5,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0573,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
4977,CHTS,40.004,116.326,,CHTS-0574,2019-08-21,PM2.5,,,,ChemSpec_217,,,ChemSpec_EC_PM2.5,,1.31,,,PH; SGP,ChemSpec,ug/m3,ug/m3,,CHTS-0574,2019-08-21,1.31,,5003,CHTS,40.004,116.326,92.0,CHTS-0574,2019,8,21,9.0,2019,8,29,9.0,24.0,28203,EC PM2.5,1.31,Micrograms per cubic meter (ug/m3),,,,217,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,FTIR,Ambient local,PH; SGP,/Users/ahmadjalil/github/aethmodular/research/filter_combine/FilterBased_ChemSpecPM25_CHTS.csv,ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61,"# File Updated: 2025-07-29
# Data version 3.0
# Site: Beijing, China",CHTS-0574,ChemSpec_217,True,True,both competing concentration values already present in earlier CSV; upstream role unresolved,False,c91542c705254dd7e7e7271bc36789388d225dc3,a6fda4ea34e7c6d5f3c058ccd56e23d36c2afe07fee3dd8ee9072a80eeae197f
