site,population,variable,n,median,q25,q75,minimum,maximum,reported_date_min,reported_date_max
Beijing,diagnostic,hips_fabs_Mm1,163,12.86512572,9.354373115000001,17.9317432,0.445363106,37.91743266,2022-07-05,2024-12-08
Beijing,diagnostic,ftir_ec_ugm3,163,1.22133979534932,0.7429195707266905,1.886742045119255,-0.367697516444271,5.65963705476437,2022-07-05,2024-12-08
Beijing,diagnostic,ratio,150,10.14923470886064,7.840251740785109,11.992634297371643,5.178903586947495,29.138563742253744,2022-07-05,2024-12-08
Beijing,diagnostic,ec_mdl_multiple,163,2.736973841995019,1.5970153484703649,4.171937958151519,-0.8529272616512635,13.128341963636366,2022-07-05,2024-12-08
Beijing,ratio,hips_fabs_Mm1,150,12.89604859,9.580996798000001,18.0673066475,3.750007058,37.91743266,2022-07-05,2024-12-08
Beijing,ratio,ftir_ec_ugm3,150,1.267607365828805,0.8740128815392025,1.931804274346955,0.435116265721739,5.65963705476437,2022-07-05,2024-12-08
Beijing,ratio,ratio,150,10.14923470886064,7.840251740785109,11.992634297371643,5.178903586947495,29.138563742253744,2022-07-05,2024-12-08
Beijing,ratio,ec_mdl_multiple,150,2.915299021068223,2.00727156439975,4.514163798099442,1.0303421354511022,13.128341963636366,2022-07-05,2024-12-08
Delhi,diagnostic,hips_fabs_Mm1,62,38.101260440000004,18.2538172275,56.6761750075,0.512662542,96.30965386,2022-07-17,2024-06-30
Delhi,diagnostic,ftir_ec_ugm3,62,3.240676723536885,1.6811914946464301,6.0556407434331145,-4.00417792721577,12.3341071250393,2022-07-17,2024-06-30
Delhi,diagnostic,ratio,56,8.609698509119372,7.604299450643344,11.655746497539972,5.767733267935735,22.830111496262457,2022-07-17,2024-06-30
Delhi,diagnostic,ec_mdl_multiple,62,5.317844787128129,2.6807119058487805,8.119944640541569,-9.385019249941726,18.88050489463636,2022-07-17,2024-06-30
Delhi,ratio,hips_fabs_Mm1,56,41.649143135,21.0791616275,60.499840155,4.170468392,96.30965386,2022-07-17,2024-06-30
Delhi,ratio,ftir_ec_ugm3,56,3.51559155188482,2.2191437055111276,6.4594573070182655,0.623923004582532,12.3341071250393,2022-07-17,2024-06-30
Delhi,ratio,ratio,56,8.609698509119372,7.604299450643344,11.655746497539972,5.767733267935735,22.830111496262457,2022-07-17,2024-06-30
Delhi,ratio,ec_mdl_multiple,56,6.0606425652005935,3.431436271126266,8.81233079368257,1.36154852768674,18.88050489463636,2022-07-17,2024-06-30
JPL,diagnostic,hips_fabs_Mm1,130,4.7023178515,3.3863538754999998,6.1783014905,0.155345917,10.39439026,2022-07-22,2023-11-14
JPL,diagnostic,ftir_ec_ugm3,130,0.4876291376741585,0.3681572478581215,0.6093100814985606,0.14347357874567,1.1439056585426,2022-07-22,2023-11-14
JPL,diagnostic,ratio,84,9.506621065208886,7.702646812884799,11.56845616463161,4.505942292436347,17.012843696572038,2022-07-22,2023-11-14
JPL,diagnostic,ec_mdl_multiple,130,1.1754952997816077,0.8725803921243659,1.457006814494512,0.31251044392590693,2.7363740872849296,2022-07-22,2023-11-14
JPL,ratio,hips_fabs_Mm1,84,5.6048568685,4.48665689625,6.6563042525,2.266428079,10.39439026,2022-07-22,2023-11-14
JPL,ratio,ftir_ec_ugm3,84,0.5824157409148085,0.49266419912258774,0.6570474469560103,0.41560361900875,1.1439056585426,2022-07-22,2023-11-14
JPL,ratio,ratio,84,9.506621065208886,7.702646812884799,11.56845616463161,4.505942292436347,17.012843696572038,2022-07-22,2023-11-14
JPL,ratio,ec_mdl_multiple,84,1.413859169155352,1.1834447521541394,1.5950263311869763,1.0042212032319062,2.7363740872849296,2022-07-22,2023-11-14
Addis_Ababa,diagnostic,hips_fabs_Mm1,190,47.1321289,41.281967965,55.70724542,28.0856994,85.85273527,2022-12-07,2024-09-21
Addis_Ababa,diagnostic,ftir_ec_ugm3,190,4.624584433206255,3.29514714411849,6.638417503844497,0.693114797533127,11.7351130556244,2022-12-07,2024-09-21
Addis_Ababa,diagnostic,ratio,190,10.157795913379982,8.144275810387638,12.687495706751927,5.872464034504628,55.40694945005056,2022-12-07,2024-09-21
Addis_Ababa,diagnostic,ec_mdl_multiple,190,11.040545571611936,7.76583961869015,15.980651815635028,1.4734913578046114,27.67497019334828,2022-12-07,2024-09-21
Addis_Ababa,ratio,hips_fabs_Mm1,190,47.1321289,41.281967965,55.70724542,28.0856994,85.85273527,2022-12-07,2024-09-21
Addis_Ababa,ratio,ftir_ec_ugm3,190,4.624584433206255,3.29514714411849,6.638417503844497,0.693114797533127,11.7351130556244,2022-12-07,2024-09-21
Addis_Ababa,ratio,ratio,190,10.157795913379982,8.144275810387638,12.687495706751927,5.872464034504628,55.40694945005056,2022-12-07,2024-09-21
Addis_Ababa,ratio,ec_mdl_multiple,190,11.040545571611936,7.76583961869015,15.980651815635028,1.4734913578046114,27.67497019334828,2022-12-07,2024-09-21
