point_id,site,minimum_ec_mdl_multiple
Beijing:CHTS-0658,Beijing,1.0
Beijing:CHTS-0659,Beijing,1.0
Beijing:CHTS-0660,Beijing,1.0
Beijing:CHTS-0661,Beijing,1.0
Beijing:CHTS-0662,Beijing,1.0
Beijing:CHTS-0663,Beijing,1.0
Beijing:CHTS-0707,Beijing,1.0
Beijing:CHTS-0708,Beijing,1.0
Beijing:CHTS-0713,Beijing,1.0
Beijing:CHTS-0714,Beijing,1.0
Beijing:CHTS-0715,Beijing,1.0
Beijing:CHTS-0716,Beijing,1.0
Beijing:CHTS-0717,Beijing,1.0
Beijing:CHTS-0719,Beijing,1.0
Beijing:CHTS-0721,Beijing,1.0
Beijing:CHTS-0722,Beijing,1.0
Beijing:CHTS-0723,Beijing,1.0
Beijing:CHTS-0724,Beijing,1.0
Beijing:CHTS-0725,Beijing,1.0
Beijing:CHTS-0726,Beijing,1.0
Beijing:CHTS-0727,Beijing,1.0
Beijing:CHTS-0729,Beijing,1.0
Beijing:CHTS-0731,Beijing,1.0
Beijing:CHTS-0732,Beijing,1.0
Beijing:CHTS-0733,Beijing,1.0
Beijing:CHTS-0734,Beijing,1.0
Beijing:CHTS-0737,Beijing,1.0
Beijing:CHTS-0738,Beijing,1.0
Beijing:CHTS-0739,Beijing,1.0
Beijing:CHTS-0740,Beijing,1.0
Beijing:CHTS-0741,Beijing,1.0
Beijing:CHTS-0742,Beijing,1.0
Beijing:CHTS-0743,Beijing,1.0
Beijing:CHTS-0745,Beijing,1.0
Beijing:CHTS-0746,Beijing,1.0
Beijing:CHTS-0747,Beijing,1.0
Beijing:CHTS-0748,Beijing,1.0
Beijing:CHTS-0749,Beijing,1.0
Beijing:CHTS-0751,Beijing,1.0
Beijing:CHTS-0753,Beijing,1.0
Beijing:CHTS-0754,Beijing,1.0
Beijing:CHTS-0755,Beijing,1.0
Beijing:CHTS-0756,Beijing,1.0
Beijing:CHTS-0757,Beijing,1.0
Beijing:CHTS-0758,Beijing,1.0
Beijing:CHTS-0759,Beijing,1.0
Beijing:CHTS-0761,Beijing,1.0
Beijing:CHTS-0762,Beijing,1.0
Beijing:CHTS-0763,Beijing,1.0
Beijing:CHTS-0764,Beijing,1.0
Beijing:CHTS-0765,Beijing,1.0
Beijing:CHTS-0766,Beijing,1.0
Beijing:CHTS-0767,Beijing,1.0
Beijing:CHTS-0769,Beijing,1.0
Beijing:CHTS-0770,Beijing,1.0
Beijing:CHTS-0772,Beijing,1.0
Beijing:CHTS-0773,Beijing,1.0
Beijing:CHTS-0774,Beijing,1.0
Beijing:CHTS-0775,Beijing,1.0
Beijing:CHTS-0777,Beijing,1.0
Beijing:CHTS-0778,Beijing,1.0
Beijing:CHTS-0779,Beijing,1.0
Beijing:CHTS-0780,Beijing,1.0
Beijing:CHTS-0781,Beijing,1.0
Beijing:CHTS-0782,Beijing,1.0
Beijing:CHTS-0783,Beijing,1.0
Beijing:CHTS-0785,Beijing,1.0
Beijing:CHTS-0786,Beijing,1.0
Beijing:CHTS-0787,Beijing,1.0
Beijing:CHTS-0788,Beijing,1.0
Beijing:CHTS-0789,Beijing,1.0
Beijing:CHTS-0790,Beijing,1.0
Beijing:CHTS-0791,Beijing,1.0
Beijing:CHTS-0793,Beijing,1.0
Beijing:CHTS-0795,Beijing,1.0
Beijing:CHTS-0796,Beijing,1.0
Beijing:CHTS-0797,Beijing,1.0
Beijing:CHTS-0798,Beijing,1.0
Beijing:CHTS-0799,Beijing,1.0
Beijing:CHTS-0801,Beijing,1.0
Beijing:CHTS-0802,Beijing,1.0
Beijing:CHTS-0803,Beijing,1.0
Beijing:CHTS-0805,Beijing,1.0
Beijing:CHTS-0806,Beijing,1.0
Beijing:CHTS-0807,Beijing,1.0
Beijing:CHTS-0809,Beijing,1.0
Beijing:CHTS-0811,Beijing,1.0
Beijing:CHTS-0812,Beijing,1.0
Beijing:CHTS-0813,Beijing,1.0
Beijing:CHTS-0815,Beijing,1.0
Beijing:CHTS-0817,Beijing,1.0
Beijing:CHTS-0818,Beijing,1.0
Beijing:CHTS-0819,Beijing,1.0
Beijing:CHTS-0821,Beijing,1.0
Beijing:CHTS-0822,Beijing,1.0
Beijing:CHTS-0823,Beijing,1.0
Beijing:CHTS-0825,Beijing,1.0
Beijing:CHTS-0834,Beijing,1.0
Beijing:CHTS-0835,Beijing,1.0
