point_id,site,base_filter_id,filter_ids,date,ftir_CalibrationSetId,ftir_AnalysisDate,ftir_AnalysisTime,ftir_LotId,ftir_ec_mdl_ugm3,ftir_ec_ugm3_source_rows,unified_source_file_hash
Addis_Ababa:ETAD-0001,Addis_Ababa,ETAD-0001,"[""ETAD-0001"", ""ETAD-0001-1""]",2023-01-21,17,2023-04-10,15:54:09,248.0,0.476244925935773,[16839],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0002,Addis_Ababa,ETAD-0002,"[""ETAD-0002"", ""ETAD-0002-2""]",2023-01-24,17,2023-04-10,15:59:46,248.0,0.476244925935773,[16892],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0003,Addis_Ababa,ETAD-0003,"[""ETAD-0003"", ""ETAD-0003-3""]",2023-01-27,17,2023-04-10,16:10:14,248.0,0.476244925935773,[16944],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0004,Addis_Ababa,ETAD-0004,"[""ETAD-0004"", ""ETAD-0004-4""]",2023-01-30,17,2023-04-10,16:15:28,248.0,0.470389455534924,[16997],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0005,Addis_Ababa,ETAD-0005,"[""ETAD-0005"", ""ETAD-0005-5""]",2023-02-02,17,2023-04-10,16:20:32,248.0,0.470389455534924,[17050],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0006,Addis_Ababa,ETAD-0006,"[""ETAD-0006"", ""ETAD-0006-6""]",2023-02-05,17,2023-04-10,16:26:11,248.0,0.470389455534924,[17103],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0008,Addis_Ababa,ETAD-0008,"[""ETAD-0008"", ""ETAD-0008-8""]",2023-02-08,17,2023-04-10,16:36:50,248.0,0.48736741889818,[17170],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0017,Addis_Ababa,ETAD-0017,"[""ETAD-0017"", ""ETAD-0017-1""]",2022-12-07,17,2023-03-27,08:09:25,248.0,0.464676223281463,[17228],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0018,Addis_Ababa,ETAD-0018,"[""ETAD-0018"", ""ETAD-0018-2""]",2022-12-10,17,2023-03-27,08:19:24,248.0,0.464676223281463,[17285],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0019,Addis_Ababa,ETAD-0019,"[""ETAD-0019"", ""ETAD-0019-3""]",2022-12-13,17,2023-03-27,08:30:38,248.0,0.464676223281463,[17343],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0020,Addis_Ababa,ETAD-0020,"[""ETAD-0020"", ""ETAD-0020-4""]",2022-12-16,17,2023-03-27,08:43:13,248.0,0.464676223281463,[17401],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0021,Addis_Ababa,ETAD-0021,"[""ETAD-0021"", ""ETAD-0021-5""]",2022-12-19,17,2023-03-27,08:48:02,248.0,0.464676223281463,[17459],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
Addis_Ababa:ETAD-0022,Addis_Ababa,ETAD-0022,"[""ETAD-0022"", ""ETAD-0022-6""]",2022-12-22,17,2023-03-27,08:53:30,248.0,0.464676223281463,[17517],1ece57fa842a97dc22115ff6fa304c0fd4979673340d860949ae944aa24a5c36
