population,block,common_n,median_mae_change_id11_minus_all,proportional_mae_change_id11_minus_all,ols_mae_change_id11_minus_all
diagnostic,ALL_COMMON_FILTERS,127,0.6688758007086621,-0.865062210104301,-0.1250290380254318
diagnostic,2023Q3,28,-1.2081085342857136,-5.567569527209203,-0.4010825235058105
diagnostic,2023Q4,26,5.066363855384615,2.120338686265497,0.12621828319603495
diagnostic,2024Q1,31,0.23026398387096833,1.3288559354286114,-0.23523473860994876
diagnostic,2024Q2,23,-0.49655336739130285,-0.7357984478301371,0.07556456991966003
diagnostic,2024Q3,19,-0.4562447705263148,-1.7563647085518561,-0.12504003923199072
ratio_baseline,ALL_COMMON_FILTERS,127,0.6688758007086621,-0.865062210104301,-0.1250290380254318
ratio_baseline,2023Q3,28,-1.2081085342857136,-5.567569527209203,-0.4010825235058105
ratio_baseline,2023Q4,26,5.066363855384615,2.120338686265497,0.12621828319603495
ratio_baseline,2024Q1,31,0.23026398387096833,1.3288559354286114,-0.23523473860994876
ratio_baseline,2024Q2,23,-0.49655336739130285,-0.7357984478301371,0.07556456991966003
ratio_baseline,2024Q3,19,-0.4562447705263148,-1.7563647085518561,-0.12504003923199072
mdl_1_5x,ALL_COMMON_FILTERS,127,0.6527720194094484,-0.8508159580467175,-0.11776537635652905
mdl_1_5x,2023Q3,28,-1.150774205714287,-5.490181060255527,-0.4401675899384312
mdl_1_5x,2023Q4,26,4.869665857692307,2.094696149082057,0.17743627035123447
mdl_1_5x,2024Q1,31,0.21005576854838684,1.3129642468650096,-0.19981536090388305
mdl_1_5x,2024Q2,23,-0.4502703391304331,-0.7209820486255564,0.06902566723892843
mdl_1_5x,2024Q3,19,-0.4022683736842113,-1.7321032313336502,-0.13885091929527324
mdl_2x,ALL_COMMON_FILTERS,127,0.6527720194094484,-0.8508159580467175,-0.11776537635652905
mdl_2x,2023Q3,28,-1.150774205714287,-5.490181060255527,-0.4401675899384312
mdl_2x,2023Q4,26,4.869665857692307,2.094696149082057,0.17743627035123447
mdl_2x,2024Q1,31,0.21005576854838684,1.3129642468650096,-0.19981536090388305
mdl_2x,2024Q2,23,-0.4502703391304331,-0.7209820486255564,0.06902566723892843
mdl_2x,2024Q3,19,-0.4022683736842113,-1.7321032313336502,-0.13885091929527324
mdl_3x,ALL_COMMON_FILTERS,127,0.6527720194094484,-0.8508159580467175,-0.11776537635652905
mdl_3x,2023Q3,28,-1.150774205714287,-5.490181060255527,-0.4401675899384312
mdl_3x,2023Q4,26,4.869665857692307,2.094696149082057,0.17743627035123447
mdl_3x,2024Q1,31,0.21005576854838684,1.3129642468650096,-0.19981536090388305
mdl_3x,2024Q2,23,-0.4502703391304331,-0.7209820486255564,0.06902566723892843
mdl_3x,2024Q3,19,-0.4022683736842113,-1.7321032313336502,-0.13885091929527324
mdl_5x,ALL_COMMON_FILTERS,127,0.6368186856299227,-0.735754787490278,-0.16688176765290516
mdl_5x,2023Q3,28,-1.1015638178571439,-4.884732059391108,-0.35492869516696807
mdl_5x,2023Q4,26,4.592534856538469,1.8885523041323788,-0.07961351177189038
mdl_5x,2024Q1,31,0.14651306645161147,1.197108564773697,-0.2665076985752736
mdl_5x,2024Q2,23,-0.3374096869565181,-0.5948913660704392,0.07227491818002077
mdl_5x,2024Q3,19,-0.23513834499999986,-1.5367675970589803,-0.13613758860429961
