site,population,scheme,block,common_n,baseline_ols_mae,without_ols_mae,mae_change_without_minus_baseline,mean_abs_prediction_change,max_abs_prediction_change
Addis_Ababa,diagnostic,leave_quarter_out,ALL_COMMON_FILTERS,189,3.9153030541372478,3.9104029208882767,-0.004900133248971095,0.07162155018231525,0.20656614289154618
Addis_Ababa,diagnostic,leave_quarter_out,2022Q4,9,5.85697401812066,5.880645544308194,0.023671526187534653,0.12723888176455253,0.17668864035962883
Addis_Ababa,diagnostic,leave_quarter_out,2023Q1,25,4.470935509965618,4.470935509965618,0.0,0.0,0.0
Addis_Ababa,diagnostic,leave_quarter_out,2023Q2,28,3.010308795298119,3.0018103083895005,-0.008498486908618652,0.07782760166417672,0.16090939706816698
Addis_Ababa,diagnostic,leave_quarter_out,2023Q3,28,3.392468951010938,3.3718998156053144,-0.020569135405623662,0.05924593914923269,0.16483415700781734
Addis_Ababa,diagnostic,leave_quarter_out,2023Q4,26,2.542362143504854,2.55335841255029,0.010996269045436158,0.12444402981336165,0.16586972478716433
Addis_Ababa,diagnostic,leave_quarter_out,2024Q1,31,4.018109288017723,3.99029981564537,-0.027809472372353206,0.08057036521057213,0.1351223489981166
Addis_Ababa,diagnostic,leave_quarter_out,2024Q2,23,4.269888047493372,4.2693884141114085,-0.0004996333819633492,0.05625984229020584,0.20656614289154618
Addis_Ababa,diagnostic,leave_quarter_out,2024Q3,19,5.650427245844035,5.664238125907318,0.013810880063282127,0.08031902297111958,0.20073774797184285
Addis_Ababa,diagnostic,later_period,ALL_COMMON_FILTERS,155,4.2744215025234915,4.446121443281174,0.1716999407576827,0.3056489305432682,3.048067251283001
Addis_Ababa,diagnostic,later_period,2023Q2,28,5.476509233939008,6.4599369428458475,0.9834277089068397,1.2050326784447,3.048067251283001
Addis_Ababa,diagnostic,later_period,2023Q3,28,3.943288319207651,3.982373385640272,0.03908506643262122,0.12413008390669715,0.3370020021440183
Addis_Ababa,diagnostic,later_period,2023Q4,26,2.658129750414881,2.6069117632596814,-0.05121798715519965,0.16057429247014127,0.21684223864532726
Addis_Ababa,diagnostic,later_period,2024Q1,31,4.031601329523317,3.996181951817251,-0.03541937770606607,0.08862371564591529,0.1621097128235789
Addis_Ababa,diagnostic,later_period,2024Q2,23,4.231820391564708,4.238359294245439,0.006538902680730985,0.07437820272474482,0.28156325409256056
Addis_Ababa,diagnostic,later_period,2024Q3,19,5.650427245844035,5.664238125907318,0.013810880063282127,0.08031902297111958,0.20073774797184285
