site,population,variant,scheme,ols_mean_signed_error,ols_mae,ols_rmse,median_mean_signed_error,median_mae,median_rmse,mae_improvement,mae_improvement_pct,evaluated_filters,evaluated_blocks,nonempty_blocks,unavailable_nonempty_blocks,improved_blocks,equal_block_mean_mae_improvement,worst_block_mae_improvement,best_block_mae_improvement
Addis_Ababa,diagnostic,baseline,leave_quarter_out,0.02469106255333712,3.938429208101232,5.273568663625288,-1.6144466938421065,8.887553851789475,11.187595398001243,4.9491246436882435,55.68601581740915,190,8,8,0,8,4.748114591759371,1.549481627434897,6.686794827203345
Addis_Ababa,diagnostic,baseline,later_period,2.2564780155427027,4.2744215025234915,5.686700583348801,-4.210883619419355,9.332029524064515,12.01029436712477,5.057608021541023,54.19622825344652,155,6,8,2,6,5.21763800051322,2.6654936972508763,7.146414418435293
Addis_Ababa,diagnostic,without_ETAD_0037,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,diagnostic,without_ETAD_0037,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,ratio_baseline,baseline,leave_quarter_out,0.02469106255333712,3.938429208101232,5.273568663625288,-1.6144466938421065,8.887553851789475,11.187595398001243,4.9491246436882435,55.68601581740915,190,8,8,0,8,4.748114591759371,1.549481627434897,6.686794827203345
Addis_Ababa,ratio_baseline,baseline,later_period,2.2564780155427027,4.2744215025234915,5.686700583348801,-4.210883619419355,9.332029524064515,12.01029436712477,5.057608021541023,54.19622825344652,155,6,8,2,6,5.21763800051322,2.6654936972508763,7.146414418435293
Addis_Ababa,ratio_baseline,without_ETAD_0037,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,ratio_baseline,without_ETAD_0037,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
Addis_Ababa,mdl_1_5x,baseline,leave_quarter_out,0.04188020559273178,3.9104029208882767,5.247044866550814,-1.6405096646560868,8.876834325026456,11.181208082477426,4.966431404138179,55.94822683731204,189,8,8,0,8,4.7454751796235035,1.528392089580695,6.705109296894685
Addis_Ababa,mdl_1_5x,baseline,later_period,2.4287412402933417,4.446121443281174,5.950749280395856,-4.029694431709678,9.300249946483872,11.938925808156071,4.8541285032026975,52.19352739049652,155,6,8,2,6,5.0266584094496,2.7211212902795228,7.09359248749369
