model,MAC_m2_g,n,slope,intercept,R2,RMSE,bias,MAE,median_bias
lowest-OCEC 800 (raw spectra),10.0,190,1.58538124260964,-3.221502413856177,0.7737134506763175,1.1586911587375752,-0.3607580019982561,,
lowest-OCEC 800 (raw spectra),6.0,190,0.9512287455657842,-3.2215024138561796,0.7737134506763175,3.732246795098571,-3.618742375970424,,
Deployed SPARTAN FTIR EC (raw spectra),10.0,190,1.898280523698639,-4.170344925956836,0.7637653131021119,1.4865120918520784,0.2195309385237097,,
Deployed SPARTAN FTIR EC (raw spectra),6.0,190,1.1389683142191835,-4.170344925956839,0.7637653131021119,3.2475150288459074,-3.038453435448458,,
"lowest-OCEC 800, AIRSpec df1=6",10.0,190,0.8570038670350726,-1.615099170379159,0.6567319877794175,2.4102018179122475,-2.3139179204864324,2.3378611908022027,-2.348007465953604
"lowest-OCEC 800, AIRSpec df1=6",6.0,190,0.5142023202210434,-1.6150991703791606,0.6567319877794177,5.675861435635408,-5.571902294458599,5.571902294458599,-5.4970087304035875
"Smoke 906, AIRSpec df1=6",10.0,190,0.37174369931730106,-0.6748942726317011,0.45840236366081766,3.828050907976851,-3.7451680883423917,3.7451680883423917,-3.7052083905473605
"Smoke 906, AIRSpec df1=6",6.0,190,0.22304621959038065,-0.6748942726317019,0.45840236366081744,7.14941478688075,-7.003152462314558,7.003152462314558,-6.8505968817120575
"lowest-OCEC 800, AIRSpec df1=8",10.0,190,0.8546714291848542,-1.6375419313136577,0.6447296801197024,2.4471477469199416,-2.34775925052484,2.3708819231864484,-2.394476449156657
"lowest-OCEC 800, AIRSpec df1=8",6.0,190,0.5128028575109124,-1.6375419313136585,0.6447296801197022,5.711293183145737,-5.605743624497008,5.605743624497008,-5.537554798473749
"Smoke 906, AIRSpec df1=8",10.0,190,0.3698277783193675,-0.6871764231823553,0.46485072928403404,3.8487322666011874,-3.7668132999025947,3.7668132999025947,-3.726598073220817
"Smoke 906, AIRSpec df1=8",6.0,190,0.22189666699162044,-0.6871764231823553,0.4648507292840339,7.170551675525637,-7.0247976738747635,7.0247976738747635,-6.88122513844719
