n_components,rmse_mean,rmse_sd,rmse_se,n_folds,cv_scheme,is_local_minimum,within_global_one_se,selected_first_major_minimum,global_minimum_components,selection_threshold,model,df1
1,15.00833837516197,8.646950303554023,3.867033735361847,5,group-held-out K-fold,False,False,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
2,8.717989192879548,5.458010248584599,2.4408963875451377,5,group-held-out K-fold,False,False,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
3,8.128666997877595,5.228517886464547,2.3382642831416507,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
4,7.205072904933322,4.112752877440401,1.8392790017229195,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
5,6.55872097549752,3.844174064514398,1.7191669051191711,5,group-held-out K-fold,True,True,True,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
6,6.606823987442939,4.145437873429151,1.85389617629795,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
7,6.828475742442075,3.671609650232704,1.6419937529529103,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
8,7.466784619216132,4.021503013368673,1.7984708219225198,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
9,6.839306934041848,3.377816656094188,1.5106055317115266,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
10,6.581685173900894,3.442852566222562,1.539690474916649,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
11,6.735719370725278,3.2835858593052842,1.468464238272735,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
