AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Pawan Gupta and Elena Lind; PI Email=Pawan.Gupta@nasa.gov and Elena.Lind@nasa.gov
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
Beijing-CAMS,31:12:2021,12:00:00,365,0.049217,0.073106,0.084034,-999.,-999.,0.109068,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.160764,-999.,-999.,0.193707,-999.,-999.,0.228337,0.248112,0.346870,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.213891,1.261752,1.324821,1.159802,1.008685,-999.,102,102,102,0,0,102,0,0,0,0,0,0,0,0,102,0,0,102,0,0,102,100,102,0,0,0,0,0,0,0,102,102,102,102,102,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,01:01:2022,12:00:00,1,0.078912,0.115222,0.132779,-999.,-999.,0.173163,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.252946,-999.,-999.,0.300566,-999.,-999.,0.354965,0.393105,0.388497,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.162503,1.175225,1.237890,1.130678,1.018104,-999.,92,92,92,0,0,92,0,0,0,0,0,0,0,0,92,0,0,92,0,0,92,91,92,0,0,0,0,0,0,0,92,92,92,92,92,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,02:01:2022,12:00:00,2,0.033983,0.050759,0.058359,-999.,-999.,0.074904,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.107599,-999.,-999.,0.126830,-999.,-999.,0.148199,0.165029,0.277152,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.146391,1.162986,1.233492,1.109132,1.012086,-999.,99,99,99,0,0,99,0,0,0,0,0,0,0,0,99,0,0,99,0,0,99,99,99,0,0,0,0,0,0,0,99,99,99,99,99,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,03:01:2022,12:00:00,3,0.031620,0.049131,0.056600,-999.,-999.,0.074221,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.104061,-999.,-999.,0.119980,-999.,-999.,0.139783,0.156256,0.274789,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.097741,1.064153,1.116907,1.092989,1.015827,-999.,127,127,127,0,0,127,0,0,0,0,0,0,0,0,127,0,0,127,0,0,127,127,127,0,0,0,0,0,0,0,127,127,127,127,127,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,04:01:2022,12:00:00,4,0.083639,0.135840,0.163354,-999.,-999.,0.229911,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.358876,-999.,-999.,0.436485,-999.,-999.,0.526782,0.589768,0.440331,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.441412,1.395173,1.494727,1.418967,1.207984,-999.,125,125,125,0,0,125,0,0,0,0,0,0,0,0,125,0,0,125,0,0,124,115,125,0,0,0,0,0,0,0,125,125,125,125,124,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,05:01:2022,12:00:00,5,0.099414,0.193785,0.248628,-999.,-999.,0.379167,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.620353,-999.,-999.,0.754546,-999.,-999.,0.903175,1.008195,0.458914,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.637097,1.409401,1.622264,1.653027,1.164716,-999.,59,59,59,0,0,59,0,0,0,0,0,0,0,0,59,0,0,59,0,0,52,48,59,0,0,0,0,0,0,0,59,59,59,59,52,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,06:01:2022,12:00:00,6,0.025346,0.047577,0.058966,-999.,-999.,0.086150,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.134351,-999.,-999.,0.159925,-999.,-999.,0.190498,0.213294,0.349810,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.466272,1.259215,1.447846,1.485205,1.117008,-999.,120,120,120,0,0,120,0,0,0,0,0,0,0,0,120,0,0,120,0,0,120,120,120,0,0,0,0,0,0,0,120,120,120,120,120,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,07:01:2022,12:00:00,7,0.146244,0.313772,0.409056,-999.,-999.,0.622112,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.960560,-999.,-999.,1.118119,-999.,-999.,1.284071,1.379409,0.624401,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.491183,1.069214,1.401921,1.543542,0.797985,-999.,116,116,116,0,0,116,0,0,0,0,0,0,0,0,115,0,0,112,0,0,101,92,116,0,0,0,0,0,0,0,116,112,115,116,101,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,08:01:2022,12:00:00,8,0.038749,0.083950,0.106543,-999.,-999.,0.153035,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.213520,-999.,-999.,0.235882,-999.,-999.,0.258656,0.273829,0.390231,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.169028,0.696912,1.030147,1.248626,0.581114,-999.,52,52,52,0,0,52,0,0,0,0,0,0,0,0,52,0,0,52,0,0,52,52,52,0,0,0,0,0,0,0,52,52,52,52,52,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,10:01:2022,12:00:00,10,0.024108,0.039899,0.047877,-999.,-999.,0.067866,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.096558,-999.,-999.,0.108273,-999.,-999.,0.125610,0.143727,0.302362,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.207546,0.962855,1.109543,1.268925,1.099644,-999.,66,66,66,0,0,66,0,0,0,0,0,0,0,0,66,0,0,66,0,0,65,65,66,0,0,0,0,0,0,0,66,66,66,66,65,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,11:01:2022,12:00:00,11,0.051147,0.078499,0.092684,-999.,-999.,0.124769,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.186245,-999.,-999.,0.221724,-999.,-999.,0.260780,0.289553,0.346661,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.288638,1.222014,1.348962,1.265910,1.033098,-999.,103,103,103,0,0,103,0,0,0,0,0,0,0,0,103,0,0,103,0,0,103,103,103,0,0,0,0,0,0,0,103,103,103,103,103,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,13:01:2022,12:00:00,13,0.017040,0.028374,0.033304,-999.,-999.,0.043885,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.062347,-999.,-999.,0.071609,-999.,-999.,0.083055,0.094210,0.303062,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.131376,1.036926,1.150740,1.134613,1.051808,-999.,116,116,116,0,0,116,0,0,0,0,0,0,0,0,116,0,0,116,0,0,116,116,116,0,0,0,0,0,0,0,116,116,116,116,116,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,14:01:2022,12:00:00,14,0.095866,0.177193,0.219662,-999.,-999.,0.312355,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.469773,-999.,-999.,0.556309,-999.,-999.,0.649301,0.711805,0.305800,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.362451,1.171080,1.352082,1.369546,0.962778,-999.,79,79,79,0,0,79,0,0,0,0,0,0,0,0,79,0,0,79,0,0,79,75,79,0,0,0,0,0,0,0,79,79,79,79,79,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,15:01:2022,12:00:00,15,0.034959,0.050368,0.057387,-999.,-999.,0.073936,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.096569,-999.,-999.,0.104920,-999.,-999.,0.117326,0.131622,0.291681,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.893080,0.700488,0.828492,0.940790,0.870873,-999.,64,64,64,0,0,64,0,0,0,0,0,0,0,0,64,0,0,64,0,0,64,64,64,0,0,0,0,0,0,0,64,64,64,64,64,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,16:01:2022,12:00:00,16,0.055324,0.086746,0.102525,-999.,-999.,0.140094,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.204015,-999.,-999.,0.238285,-999.,-999.,0.278424,0.306469,0.399516,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.246766,1.126635,1.248245,1.250586,1.028721,-999.,115,115,115,0,0,115,0,0,0,0,0,0,0,0,115,0,0,115,0,0,115,113,115,0,0,0,0,0,0,0,115,115,115,115,115,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,17:01:2022,12:00:00,17,0.022512,0.035140,0.040621,-999.,-999.,0.053195,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.075712,-999.,-999.,0.088110,-999.,-999.,0.103941,0.118252,0.247133,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.109360,1.085981,1.136297,1.103997,1.103081,-999.,129,129,129,0,0,129,0,0,0,0,0,0,0,0,129,0,0,129,0,0,129,129,129,0,0,0,0,0,0,0,129,129,129,129,129,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
Beijing-CAMS,18:01:2022,12:00:00,18,0.080310,0.129454,0.156361,-999.,-999.,0.221407,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.356133,-999.,-999.,0.441638,-999.,-999.,0.539485,0.603037,0.459429,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.521228,1.498263,1.605062,1.483398,1.260914,-999.,47,47,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47,39,47,0,0,0,0,0,0,0,47,47,47,47,47,0,lev20,1043,Beijing-CAMS,39.933330,116.316670,106.000000
