AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Sagnik_Dey_and_Dilip_Ganguly; PI Email=sagnik@cas.iitd.ac.in_and_dilipganguly@cas.iitd.ac.in
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
IIT_Delhi,01:01:2022,12:00:00,1,0.131770,0.330716,0.435485,-999.,-999.,0.651587,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.950417,-999.,-999.,1.071311,-999.,-999.,1.182176,1.233130,0.876122,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.325773,0.812354,1.178242,1.407763,0.613025,-999.,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,17,13,20,0,0,0,0,0,0,0,20,20,20,20,17,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,02:01:2022,12:00:00,2,0.226472,0.428954,0.540122,-999.,-999.,0.767461,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.079008,-999.,-999.,1.200521,-999.,-999.,1.306852,1.354537,0.989132,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.178739,0.689076,1.060830,1.248950,0.473326,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,03:01:2022,12:00:00,3,0.087269,0.217732,0.286146,-999.,-999.,0.429201,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.628342,-999.,-999.,0.708768,-999.,-999.,0.781762,0.822631,1.141055,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.336566,0.785714,1.189117,1.419298,0.580832,-999.,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,04:01:2022,12:00:00,4,0.070034,0.147385,0.186472,-999.,-999.,0.271427,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.406554,-999.,-999.,0.463666,-999.,-999.,0.523913,0.554811,1.659860,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.346638,0.918913,1.265738,1.406969,0.708410,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,11:01:2022,12:00:00,11,0.055425,0.157342,0.207792,-999.,-999.,0.309927,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.447837,-999.,-999.,0.505319,-999.,-999.,0.551889,0.581569,1.116438,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.306257,0.750627,1.156534,1.384751,0.546927,-999.,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,21:01:2022,12:00:00,21,0.237292,0.498913,0.613344,-999.,-999.,0.825303,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.110441,-999.,-999.,1.237587,-999.,-999.,1.361915,1.446882,1.409516,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.031241,0.733782,0.953330,1.071283,0.605459,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,24:01:2022,12:00:00,24,0.127995,0.281423,0.364682,-999.,-999.,0.543306,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.811871,-999.,-999.,0.930203,-999.,-999.,1.096515,1.236700,1.119174,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.379729,1.003751,1.270075,1.444300,0.792468,-999.,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,5,1,11,0,0,0,0,0,0,0,11,11,11,11,5,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,27:01:2022,12:00:00,27,0.116497,0.226540,0.284061,-999.,-999.,0.410045,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.608138,-999.,-999.,0.702195,-999.,-999.,0.776314,0.825729,0.968042,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.338155,1.011892,1.270714,1.379989,0.843117,-999.,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,11,10,13,0,0,0,0,0,0,0,13,13,13,13,11,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,29:01:2022,12:00:00,29,0.076972,0.130633,0.158550,-999.,-999.,0.221612,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.330470,-999.,-999.,0.385164,-999.,-999.,0.445137,0.484160,0.897685,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.311292,1.071743,1.297579,1.329880,0.897063,-999.,65,65,65,0,0,65,0,0,0,0,0,0,0,0,65,0,0,65,0,0,65,63,65,0,0,0,0,0,0,0,65,65,65,65,65,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
IIT_Delhi,30:01:2022,12:00:00,30,0.092236,0.164952,0.202022,-999.,-999.,0.281535,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.406733,-999.,-999.,0.463790,-999.,-999.,0.524048,0.559018,0.819019,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.227887,0.915641,1.177911,1.265046,0.742129,-999.,70,70,70,0,0,70,0,0,0,0,0,0,0,0,70,0,0,70,0,0,70,67,70,0,0,0,0,0,0,0,70,70,70,70,70,0,lev20,1170,IIT_Delhi,28.545000,77.192600,15.000000
