AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Jochen_Stutz; PI Email=jochen@atmos.ucla.edu
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
CalTech,31:12:2021,12:00:00,365,-999.,0.019135,0.021811,-999.,-999.,0.028700,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.042835,-999.,-999.,0.048914,-999.,-999.,0.060701,0.065647,1.333083,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.193535,1.205631,1.228295,1.230603,1.101450,-999.,0,73,73,0,0,73,0,0,0,0,0,0,0,0,73,0,0,73,0,0,73,73,73,0,0,0,0,0,0,0,73,73,73,73,73,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,01:01:2022,12:00:00,1,-999.,0.038700,0.041835,-999.,-999.,0.049474,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.065719,-999.,-999.,0.074035,-999.,-999.,0.088966,0.097414,0.900878,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.838069,1.091032,0.929873,0.812209,1.061858,-999.,0,66,66,0,0,66,0,0,0,0,0,0,0,0,66,0,0,66,0,0,66,66,66,0,0,0,0,0,0,0,66,66,66,66,66,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,02:01:2022,12:00:00,2,-999.,0.011251,0.012613,-999.,-999.,0.015774,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.022183,-999.,-999.,0.025280,-999.,-999.,0.032224,0.033049,0.492912,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.027111,1.349470,1.100422,1.017587,1.052747,-999.,0,122,122,0,0,122,0,0,0,0,0,0,0,0,122,0,0,122,0,0,122,122,122,0,0,0,0,0,0,0,122,122,122,122,122,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,03:01:2022,12:00:00,3,-999.,0.011298,0.012965,-999.,-999.,0.018031,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.026298,-999.,-999.,0.030215,-999.,-999.,0.038313,0.039358,0.409621,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.202638,1.305988,1.128505,1.260548,1.054307,-999.,0,83,83,0,0,83,0,0,0,0,0,0,0,0,83,0,0,83,0,0,83,83,83,0,0,0,0,0,0,0,83,83,83,83,83,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,04:01:2022,12:00:00,4,-999.,0.027868,0.032148,-999.,-999.,0.043347,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.064707,-999.,-999.,0.076080,-999.,-999.,0.089998,0.092012,0.979597,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.273124,1.193674,1.314594,1.270026,0.758866,-999.,0,115,115,0,0,115,0,0,0,0,0,0,0,0,115,0,0,115,0,0,115,115,115,0,0,0,0,0,0,0,115,115,115,115,115,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,05:01:2022,12:00:00,5,-999.,0.017281,0.019667,-999.,-999.,0.026502,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.038659,-999.,-999.,0.043998,-999.,-999.,0.053125,0.053251,0.953168,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.190600,1.172043,1.193247,1.218621,0.782084,-999.,0,99,99,0,0,99,0,0,0,0,0,0,0,0,99,0,0,99,0,0,99,99,99,0,0,0,0,0,0,0,99,99,99,99,99,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,06:01:2022,12:00:00,6,-999.,0.015231,0.017247,-999.,-999.,0.023468,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.037722,-999.,-999.,0.045652,-999.,-999.,0.057221,0.055787,1.013121,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.271473,1.453475,1.354198,1.280025,0.924439,-999.,0,121,121,0,0,121,0,0,0,0,0,0,0,0,121,0,0,121,0,0,121,121,121,0,0,0,0,0,0,0,121,121,121,121,121,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,07:01:2022,12:00:00,7,-999.,0.063792,0.080434,-999.,-999.,0.112780,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.160612,-999.,-999.,0.184638,-999.,-999.,0.210714,0.220541,0.826134,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.239200,1.016653,1.186663,1.267097,0.722011,-999.,0,60,60,0,0,60,0,0,0,0,0,0,0,0,60,0,0,60,0,0,60,60,60,0,0,0,0,0,0,0,60,60,60,60,60,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,08:01:2022,12:00:00,8,-999.,0.134888,0.158419,-999.,-999.,0.207821,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.272944,-999.,-999.,0.296474,-999.,-999.,0.320988,0.328891,0.923733,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.956889,0.589286,0.858783,1.020111,0.406745,-999.,0,39,39,0,0,39,0,0,0,0,0,0,0,0,39,0,0,39,0,0,39,39,39,0,0,0,0,0,0,0,39,39,39,39,39,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
CalTech,09:01:2022,12:00:00,9,-999.,0.011939,0.012837,-999.,-999.,0.016156,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.020222,-999.,-999.,0.021109,-999.,-999.,0.026984,0.026973,0.472819,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.771116,1.071818,0.659891,0.857642,1.015962,-999.,0,95,95,0,0,95,0,0,0,0,0,0,0,0,95,0,0,95,0,0,95,95,95,0,0,0,0,0,0,0,95,95,95,95,95,0,lev20,301,CalTech,34.136730,-118.126167,260.000000
