Date,IR BCc,UV BCc,Season,AOD_440nm,AOD_500nm,AOD_675nm,AOD_870nm,AE_440_870,FMF,Fine_AOD,Coarse_AOD,SSA_440,SSA_675,SSA_870,SSA_1020,dSSA,ftir_ec,hips_fabs,hips_bc,sulfate,nitrate,ammonium,iron,silicon,aluminum,fine_soil,AS,AN,chemspec_bc,BC_AOD,dAOD
2022-12-06,5.56232855980686,42.65202879254409,Dry,0.160893,0.139888,0.099303,0.081056,1.026776,0.610433,0.08395,0.054031,0.85814,0.91666,0.9153,0.9152,-0.05715999999999999,,,,,,,,,,,,,,39.7627284671084,0.079837
2022-12-07,4.7908912342983445,1.2843669476566721,Dry,0.122562,0.105967,0.073348,0.059685,1.076177,0.627671,0.065501,0.038596,0.894986,0.943214,0.942871,0.943343,-0.047885000000000066,2.54716121453745,40.23772053,4.023772053,1.94,0.24,0.58,276.03,1118.14,351.11,4.9814709,2.6675,0.3096,4.02,45.21116228918762,0.062877
2022-12-08,6.81666339886204,-27.40587902454795,Dry,0.109631,0.095391,0.066226,0.054284,1.058273,0.642571,0.059753,0.033741,0.926667,0.96075,0.957683,0.956317,-0.031015999999999933,,,,,,,,,,,,,,71.46023627870596,0.05534700000000001
2022-12-09,7.165639036847832,6.365614734586358,Dry,0.1288,0.111553,0.078278,0.064271,1.043593,0.612167,0.067104,0.042655,0.851767,0.8907,0.87845,0.874967,-0.0266829999999999,,,,,,,,,,,,,,64.23528759287363,0.064529
2022-12-10,5.091730264771538,11.810157177688039,Dry,0.140616,0.122068,0.086424,0.071159,1.020631,0.604195,0.072657,0.047596,0.85504,0.89816,0.88808,0.8889,-0.03303999999999996,2.7840995254895,45.51235837,4.551235837,1.53,0.2,0.47,248.74,979.48,283.73,4.2230181,2.1037500000000002,0.258,4.55,41.71224452576874,0.06945699999999999
2022-12-11,5.091557980742177,0.6730446166472074,Dry,0.130255,0.112711,0.077629,0.0622,1.101818,0.655989,0.072936,0.037835,0.885575,0.932063,0.924888,0.925775,-0.03931300000000004,,,,,,,,,,,,,,45.173567626426674,0.068055
2022-12-12,6.808237236695136,5.9092458239512755,Dry,0.169155,0.147138,0.102156,0.08078,1.103324,0.674213,0.097758,0.047144,0.909983,0.952383,0.94935,0.949283,-0.03936700000000004,,,,,,,,,,,,,,46.27110084882992,0.088375
2022-12-13,5.530627015281548,-176.384802581496,Dry,0.202596,0.175929,0.121817,0.094213,1.148063,0.699698,0.121109,0.052625,0.9193,0.9512,0.945183,0.946267,-0.02588299999999999,3.04808406053696,47.95737414,4.7957374139999995,2.78,0.4,0.85,318.6,1441.42,408.6,6.2632295000000004,3.8225,0.516,4.8,31.436698982439214,0.108383
2022-12-14,5.1326315888831004,7.36911237945095,Dry,0.283896,0.247436,0.171029,0.127344,1.187523,0.777423,0.190566,0.054602,0.9919,0.9908,0.9904,0.9905,0.0015000000000000568,,,,,,,,,,,,,,20.743269325737163,0.15655199999999997
2022-12-15,5.713832573629855,23.429086570271977,Dry,0.335074,0.292761,0.201294,0.147755,1.213532,0.829145,0.24073,0.049261,0.93985,0.9543,0.94015,0.93255,-0.000300000000000078,,,,,,,,,,,,,,19.5170551187824,0.18731899999999999
2022-12-16,5.573550284540201,3.5331086888060357,Dry,0.459871,0.40188,0.277417,0.203598,1.207157,0.813887,0.32314,0.075333,,,,,,3.04494385659258,47.20851443,4.720851443,3.91,0.28,1.12,284.86,1372.16,394.46,5.7867876,5.376250000000001,0.3612,4.72,13.86869285493232,0.256273
2022-12-17,5.556025041482445,0.32907156111198643,Dry,0.333314,0.292076,0.202373,0.150283,1.182634,0.802777,0.232448,0.056711,,,,,,,,,,,,,,,,,,,19.022531948816216,0.183031
2022-12-18,5.6984948225926155,8.793096695162191,Dry,0.311008,0.271017,0.185568,0.136128,1.222171,0.816684,0.220816,0.047613,0.94186,0.95338,0.94582,0.94436,-0.0039599999999999635,,,,,,,,,,,,,,21.026337176607427,0.17488
2022-12-19,9.056314132103518,37.23342564735787,Dry,0.33307,0.290762,0.201456,0.15149,1.171202,0.766759,0.221028,0.066725,0.9756,0.9796,0.9737,0.9703,0.0019000000000000128,4.44446651940708,60.30131174,6.030131174,3.23,0.28,1.0,336.57,1378.0,403.76,5.8883312,4.44125,0.3612,6.03,31.146828444237958,0.18157999999999996
2022-12-20,6.945363988043892,13.96990753420644,Dry,0.335219,0.29306,0.204958,0.155166,1.138621,0.751961,0.220085,0.070232,0.9358,0.9546,0.947667,0.9461,-0.011867000000000072,,,,,,,,,,,,,,23.69946082045961,0.180053
2022-12-21,5.707147518719787,6.157648824803905,Dry,0.36589,0.317098,0.218258,0.164643,1.193975,0.742217,0.232154,0.081749,0.927833,0.958567,0.9508,0.9523,-0.02296699999999996,,,,,,,,,,,,,,17.998055865126197,0.20124699999999998
2022-12-22,7.98236430754788,-26.528456869884785,Dry,0.328646,0.285971,0.199067,0.151575,1.152709,0.728732,0.205624,0.077554,0.924583,0.94585,0.939417,0.93575,-0.014833999999999903,4.14890010492659,52.54618189,5.254618189,3.43,0.14,0.88,330.46,1250.36,375.32,5.5418642,4.7162500000000005,0.1806,5.25,27.913195070646605,0.177071
2022-12-23,5.235978995668328,2.4699948577703608,Dry,0.35184,0.308603,0.217995,0.169149,1.087722,0.705947,0.217318,0.08787,,,,,,,,,,,,,,,,,,,16.96671450267278,0.182691
2022-12-24,6.657915139484827,10.689180762735285,Dry,0.331654,0.292355,0.204648,0.152168,1.150873,0.820044,0.240844,0.048708,0.9204,0.9396,0.91785,0.90815,0.002549999999999941,,,,,,,,,,,,,,22.77339241499146,0.179486
2022-12-25,5.453589392353427,88.44934735621871,Dry,0.183947,0.161688,0.115473,0.092469,1.019835,0.640473,0.102894,0.056665,0.9673,0.9717,0.969225,0.97085,-0.0019249999999999545,2.75505455285023,38.78629214,3.878629214,3.14,0.21,0.72,214.52,851.09,257.54,3.6836754000000007,4.3175,0.2709,3.88,33.72909178388889,0.091478
2022-12-26,6.713138908996967,6.5240336814112885,Dry,0.192251,0.169254,0.119999,0.094097,1.061168,0.692466,0.116985,0.050106,0.952533,0.9512,0.9456,0.9497,0.006932999999999967,,,,,,,,,,,,,,39.663103436237655,0.098154
2022-12-27,4.644961855679607,6.629992905659954,Dry,0.271508,0.242625,0.181528,0.148309,0.908399,0.606476,0.144851,0.095446,,,,,,,,,,,,,,,,,,,19.144613521605798,0.12319900000000003
2022-12-28,3.4582508898137565,1.966528380037803,Dry,0.213178,0.188191,0.131275,0.097149,1.166016,0.847962,0.157888,0.028367,,,,,,1.62566803465763,28.0856994,2.80856994,1.58,0.08,0.48,139.25,577.43,171.88,2.4649227000000002,2.1725000000000003,0.1032,2.75,18.376282020998648,0.11602900000000001
2022-12-29,3.7710097526705546,16.800449599742862,Dry,0.149073,0.131273,0.087675,0.069842,1.146667,0.722751,0.092162,0.03526,,,,,,,,,,,,,,,,,,,28.726468905795972,0.07923100000000001
2022-12-30,4.048742698599804,4.732875237417781,Dry,0.128741,0.113325,0.080976,0.066808,0.976124,0.607756,0.068624,0.042736,0.948843,0.973314,0.9735,0.975529,-0.02465700000000004,,,,,,,,,,,,,,35.72682725435521,0.06193299999999999
2022-12-31,4.818618571275981,19.76121602562338,Dry,0.115452,0.102427,0.075534,0.063757,0.885445,0.565807,0.05759,0.043294,0.93452,0.96502,0.96704,0.96806,-0.03251999999999999,2.2205456700338,35.88719843,3.588719843,2.03,0.3,0.41,263.62,1086.73,299.87,4.9137681,2.79125,0.387,3.47,47.044417695294996,0.051695000000000005
2023-01-01,3.553289184091183,12.614398181421937,Dry,0.062653,0.054164,0.034434,0.026956,1.280427,0.763851,0.039867,0.012493,,,,,,,,,,,,,,,,,,,65.60241459440188,0.035697
2023-01-02,4.479507999172342,-2.203426154872214,Dry,0.051909,0.044548,0.027939,0.022284,1.323256,0.755799,0.034706,0.011466,0.9847,0.9821,0.9804,0.9797,0.0042999999999999705,,,,,,,,,,,,,,100.55463767559357,0.029624999999999995
2023-01-03,9.189320444412465,-21.376660548273872,Dry,0.063355,0.055163,0.037832,0.031237,1.069736,0.686514,0.036947,0.016863,0.90586,0.92938,0.92452,0.91948,-0.01866000000000001,4.42920671041816,51.54904162,5.154904161999999,0.95,0.36,0.13,242.88,934.38,254.53,4.1014888,1.30625,0.4644,4.95,166.58485659613265,0.032117999999999994
2023-01-04,5.763433151449481,21.788052020381556,Dry,0.068527,0.059167,0.041368,0.0353,0.98067,0.604604,0.035379,0.022528,0.896783,0.922733,0.922533,0.923433,-0.02575000000000005,,,,,,,,,,,,,,97.40958898456034,0.033227000000000007
2023-01-05,6.41757047311425,3.01538314299272,Dry,0.058501,0.051164,0.036195,0.031494,0.946835,0.605259,0.030091,0.019986,0.883211,0.927322,0.917322,0.911167,-0.034111,,,,,,,,,,,,,,125.43136723309847,0.027006999999999996
2023-01-06,4.523427522468765,3.8304535416862766,Dry,0.092295,0.080323,0.056858,0.047716,0.989853,0.595917,0.046944,0.0319,0.896022,0.950644,0.940167,0.936633,-0.04414499999999999,2.724983051266,39.31989393,3.931989393,0.92,0.36,0.14,159.34,639.1,180.45,2.7961122,1.2650000000000001,0.4644,3.77,56.3154703194448,0.044579
2023-01-07,2.6147127523091136,3.898978275636619,Dry,0.109857,0.094821,0.06628,0.054252,1.054983,0.616921,0.057646,0.035693,0.906988,0.953638,0.950937,0.94915,-0.043949000000000016,,,,,,,,,,,,,,27.575249705330187,0.055604999999999995
2023-01-08,3.6805207000364955,19.86412014590338,Dry,0.074145,0.064802,0.045576,0.038737,0.977012,0.591949,0.03754,0.025768,0.929289,0.966756,0.962156,0.960044,-0.03286699999999998,,,,,,,,,,,,,,56.79640597568741,0.035408
2023-01-09,4.48318584707021,4.615850993454251,Dry,0.136986,0.11952,0.085443,0.070859,0.986589,0.588215,0.069307,0.048525,0.909575,0.95825,0.95945,0.956575,-0.049875,0.693114797533127,38.40337655,3.840337655,1.12,0.46,0.33,236.5,906.94,257.08,3.9991115000000006,1.54,0.5934,3.64,37.50992174590203,0.06612699999999999
2023-01-10,4.302061014555995,-2.2819678721449512,Dry,0.121568,0.106943,0.07754,0.065619,0.925765,0.558479,0.058681,0.046455,0.881043,0.924186,0.903686,0.901557,-0.02264299999999997,,,,,,,,,,,,,,40.227607366129575,0.055949
2023-01-11,6.995661704461751,-12.066709952963034,Dry,0.114237,0.100309,0.071273,0.059018,0.991535,0.60237,0.059544,0.039194,0.894867,0.935967,0.926,0.918633,-0.031133000000000077,,,,,,,,,,,,,,69.7411169931088,0.055219000000000004
2023-01-12,3.935693426817202,-1.533844539897179,Dry,0.119653,0.104443,0.074812,0.062105,0.977081,0.588827,0.061051,0.04189,0.853075,0.909725,0.902588,0.90445,-0.04951299999999992,1.99148840812713,34.41728856,3.441728856,0.98,0.29,0.29,118.45,478.75,144.15,2.1146700000000003,1.3475,0.3741,3.39,37.68269225144052,0.057547999999999995
2023-01-13,5.225427160582657,-18.651829814894036,Dry,0.079793,0.07143,0.054255,0.048253,0.765761,0.501965,0.034909,0.035254,0.847922,0.955011,0.939311,0.949633,-0.09138900000000005,,,,,,,,,,,,,,73.15451715781406,0.031540000000000006
2023-01-14,5.1363640476727435,3.3948351055015826,Dry,0.137565,0.122491,0.09142,0.077511,0.864169,0.559289,0.067151,0.053629,0.8446,0.93402,0.92566,0.93174,-0.08106000000000002,,,,,,,,,,,,,,41.932583191195626,0.060053999999999996
2023-01-15,4.542899403052606,-3.5832395284208736,Dry,0.138892,0.124631,0.092073,0.075106,0.919966,0.653233,0.080185,0.042699,0.905,0.971738,0.964438,0.963187,-0.05943799999999999,2.42256663763913,38.53606811,3.853606811,2.17,0.49,0.6,213.94,942.04,265.02,4.0072439,2.9837499999999997,0.6321,3.69,36.45079798005798,0.06378599999999998
