# File Updated: 2025-07-29
# Data version 3.0
# Site: Delhi, India
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28101,Filter PM2.5 mass,41.47,Micrograms per cubic meter (ug/m3),,,,116,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28404,Nitrite Ion PM2.5,0.01,Micrograms per cubic meter (ug/m3),,0.30492762666666673,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28402,Nitrate Ion PM2.5,1.47,Micrograms per cubic meter (ug/m3),,1.201635928,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28401,Sulfate Ion PM2.5,8.8,Micrograms per cubic meter (ug/m3),,0.22562734933333334,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28802,Ammonium Ion PM2.5,2.61,Micrograms per cubic meter (ug/m3),,0.3186,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28803,Potassium Ion PM2.5,1.11,Micrograms per cubic meter (ug/m3),,0.30047124000000003,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28805,Calcium Ion PM2.5,1.52,Micrograms per cubic meter (ug/m3),,1.8345081827999996,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28801,Sodium PM2.5,1153.16,Nanograms per cubic meter (ng/m3),0.1638,0.1638,0.0996,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28902,Aluminum PM2.5,441.73,Nanograms per cubic meter (ng/m3),0.019,0.019,0.0115,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28923,Silicon PM2.5,1265.89,Nanograms per cubic meter (ng/m3),0.0153,0.0536,0.0326,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28924,Sulfur PM2.5,2936.13,Nanograms per cubic meter (ng/m3),0.0011,0.0131,0.008,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28925,Chlorine PM2.5,472.53,Nanograms per cubic meter (ng/m3),0.0271,0.075,0.0456,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28803,Potassium PM2.5,1138.6,Nanograms per cubic meter (ng/m3),0.0424,0.0424,0.0258,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28805,Calcium PM2.5,279.0,Nanograms per cubic meter (ng/m3),0.0155,0.0321,0.0195,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28904,Titanium PM2.5,19.61,Nanograms per cubic meter (ng/m3),0.0028,0.0032,0.002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28905,Vanadium PM2.5,1.19,Nanograms per cubic meter (ng/m3),0.0004,0.0004,0.0002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28908,Iron PM2.5,284.65,Nanograms per cubic meter (ng/m3),0.0109,0.016,0.0098,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28912,Zinc PM2.5,301.69,Nanograms per cubic meter (ng/m3),0.0076,0.01,0.0061,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28919,Cerium PM2.5,2.38,Nanograms per cubic meter (ng/m3),0.0011,0.0011,0.0007,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28920,Lead PM2.5,100.03,Nanograms per cubic meter (ng/m3),0.0026,0.0029,0.0018,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28913,Arsenic PM2.5,8.22,Nanograms per cubic meter (ng/m3),0.0008,0.0016,0.001,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28909,Cobalt PM2.5,-0.1,Nanograms per cubic meter (ng/m3),0.0006,0.0007,0.0004,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
INDH,28.629,77.22233,230.0,INDH-0162,2024,3,5,9.0,2024,3,6,9.0,12.0,28906,Chromium PM2.5,1.88,Nanograms per cubic meter (ng/m3),0.0037,0.0037,0.0023,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
