n_components,RMSECV
1,41.35876011730709
2,50.118276910280706
3,47.845225297721335
4,63.10412454194279
5,69.57353670651202
6,61.1777814709858
7,49.28412766750279
8,59.34610415016818
9,46.17178100796012
10,56.31382968451129
11,44.85326345895877
12,25.45106646332261
13,17.006270632600906
14,33.09147609039481
15,19.667416423018757
16,21.86931027501819
17,20.828979406453424
18,17.24109557576467
19,17.933308434210847
20,17.400463332475255
21,16.63327911984689
22,20.321689480055284
23,19.91900822671531
24,23.10666661411841
25,28.245185924953702
26,42.37046754223789
27,58.023985853881705
28,56.07101261621871
29,42.71611648602019
30,51.61153267115335
