MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
401,0.6317,4.132,2.9014,3.9865,4.1421,3.02
402,1.1076,5.2811,3.0516,4.0072,3.5784,1.482
403,1.517,5.8947,3.2492,4.5773,4.3417,2.7008
403,1.5116,5.8907,3.2863,4.6219,4.378,2.7287
404,1.5144,5.935,3.072,4.3534,4.691,3.2339
405,2.0398,7.752,5.821,7.1319,7.3043,4.6247
406,1.8742,6.934,3.9099,4.8269,4.2931,2.2495
407,,,,,,
408,0.8995,4.244,2.7052,3.4292,3.9236,2.975
457,-1.8818,-0.0535,0.1355,1.297,0.629,0.1943
848,1.388,4.9639,3.4361,4.8771,4.5664,2.5862
849,1.3171,4.6492,2.4961,3.5324,2.7079,0.6512
850,2.3095,6.4244,4.6381,6.1619,5.1456,3.0081
851,1.6194,5.078,3.4604,4.4853,4.2817,2.8006
852,1.7766,5.4569,3.4738,4.7154,4.398,2.623
853,1.2621,4.4763,2.6036,3.4016,3.1246,1.5369
854,,,,,,
855,,,,,,
856,1.1202,4.782,2.3031,3.1247,2.6418,1.1003
857,1.6621,5.8927,2.8284,3.8819,3.4506,1.5473
858,1.543,7.7161,7.14,8.1328,7.5364,4.2512
859,1.4991,6.6724,6.7979,8.2072,7.855,5.3988
860,1.2254,5.2422,4.9488,6.2678,5.7275,3.4561
861,1.6785,6.7426,6.7587,7.9705,7.2184,5.204
862,,,,,,
863,1.3665,4.8342,3.4661,4.6088,4.1775,2.021
1011,1.247,4.8425,7.7733,8.1712,8.6916,7.5548
1012,0.2799,2.6704,4.1914,4.5892,4.9766,4.0809
1013,0.1492,2.1591,3.9458,4.516,4.7595,3.817
1014,0.4532,2.2502,3.4955,3.7339,4.02,2.9635
1015,0.4078,2.1449,3.3795,3.729,4.0543,2.9615
1016,1.1601,3.0618,3.3813,4.1724,4.305,3.3864
1017,,,,,,
1018,0.0112,1.2594,2.174,2.0831,2.3587,2.0667
1019,1.3243,3.5374,5.3321,5.8253,5.9638,4.6617
1020,0.3527,2.8526,4.5832,5.1808,5.533,4.5538
1021,1.4925,7.8584,11.781,13.2028,13.8087,11.7498
1022,1.2618,5.6438,7.3033,9.517,10.3725,10.4389
1023,0.9271,4.6432,5.1451,8.7249,10.0094,10.3912
1024,1.9865,7.8788,8.5179,13.9639,15.8317,17.6138
1023,0.8532,4.6559,7.2575,8.1131,8.5669,6.9265
1024,1.7664,7.9525,11.6482,12.8452,13.5566,12.1517
1025,,,,,,
1026,1.933,7.6636,10.5883,11.296,11.4611,10.6621
1019,1.0461,3.2089,4.9276,5.5065,5.7012,4.2768
1021,1.4406,7.7633,11.6682,13.0011,13.6034,11.1127
1022,1.164,5.6116,8.2782,8.9469,9.389,8.1553
1024,2.0227,7.9173,11.539,12.9447,13.6312,11.8417
1026,1.7806,7.2366,10.1185,11.0127,11.0668,10.2666
1461,1.6043,8.168,11.3576,12.2056,13.1261,12.1424
1462,1.3548,5.4651,7.7209,8.6006,8.9269,8.3038
1463,0.3877,3.6796,6.545,7.0797,7.7086,7.0925
1464,0.4927,2.9302,5.041,5.5188,6.1138,5.7068
1465,0.8294,3.9391,6.1711,6.7243,7.229,6.6491
1466,0.076,2.7535,4.828,5.1191,5.777,5.2102
1467,,,,,,
1468,0.7313,2.7332,4.0778,4.2936,5.093,5.157
1469,2.5636,9.5948,13.898,14.7439,15.7394,13.7407
1470,1.8046,6.1211,8.6458,9.4915,9.6807,8.4457
1471,1.9445,5.523,7.5497,8.223,8.0046,6.5536
1472,1.7028,5.0501,7.5587,8.2819,8.2731,7.232
1473,2.3971,9.1496,12.567,13.5515,13.7843,12.605
1474,1.8439,5.9372,9.3022,10.1095,10.3496,9.7481
1475,,,,,,
1476,1.593,6.2111,8.4813,9.0677,9.1263,7.6934
1469,2.471,9.3026,13.3646,14.3595,15.3508,13.2617
1470,1.7945,5.9881,8.3574,9.2126,9.4624,8.1713
1471,1.9256,5.4972,7.5738,8.3528,8.1742,6.5835
1472,1.6772,5.0362,7.4093,8.1789,8.3564,6.9836
1473,2.2315,8.8012,12.2477,13.347,13.6872,12.3999
1474,1.9334,6.2023,9.5213,10.3588,10.6525,9.6166
1475,,,,,,
1476,1.4733,5.9474,8.3654,9.1259,9.151,7.3563
1670,1.0376,4.2691,6.0059,6.8067,7.3415,6.5602
1671,2.4558,8.4535,11.3902,12.5897,13.0453,12.1711
1672,0.7655,3.0537,4.987,5.3364,6.1184,5.7601
1673,1.543,6.626,9.7198,10.3588,11.2045,9.834
