MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
401,4.4935,29.3937,20.6393,28.3585,29.4656,21.4832
402,7.8789,37.5678,21.7077,28.5054,25.4554,10.5421
403,10.7911,41.9327,23.1132,32.5611,30.8854,19.2126
403,10.7532,41.9039,23.3776,32.8782,31.1433,19.411
404,10.7729,42.219,21.8526,30.9685,33.3701,23.0048
405,14.5104,55.1445,41.4084,50.7333,51.9601,32.8985
406,13.3326,49.3254,27.8137,34.3369,30.5392,16.0019
407,-0.7091,17.1789,0.2047,2.2041,-3.9187,-10.7786
408,6.2303,29.3958,18.7371,23.752,27.1766,20.606
457,-13.2239,-0.3759,0.9521,9.1142,4.42,1.3653
848,10.2134,36.5264,25.2839,35.8878,33.6017,19.0304
849,9.692,34.2106,18.3671,25.9928,19.9259,4.7916
850,16.7946,46.7185,33.7286,44.8091,37.4188,21.8753
851,11.9163,37.3661,25.4634,33.0047,31.5064,20.6081
852,13.073,40.1541,25.5614,34.6978,32.3622,19.3012
853,9.2871,32.9383,19.1585,25.0303,22.9921,11.3089
854,1.3998,17.1712,-0.3884,1.4273,-5.5895,-17.0823
855,1.4779,17.3827,-0.5862,1.5178,-4.9906,-15.5937
856,8.1465,34.7749,16.7485,22.7227,19.211,8.0015
857,12.0864,42.8515,20.5683,28.2292,25.093,11.252
858,11.221,56.1116,51.9221,59.1414,54.8048,30.9149
859,10.9017,48.522,49.4343,59.683,57.1217,39.2603
860,9.017,38.5741,36.4153,46.1212,42.1454,25.4311
861,12.3514,49.615,49.7329,58.6499,53.1156,38.2934
862,-0.996,12.878,-2.7668,-1.0825,-5.7203,-16.1359
863,9.9374,35.1546,25.2057,33.5154,30.379,14.6964
1011,9.0678,35.2146,56.5275,59.4211,63.2052,54.9383
1012,2.0356,19.4192,30.4797,33.3728,36.1895,29.6762
1013,1.0851,15.7008,28.6938,32.8407,34.6109,27.757
1014,3.2955,16.3635,25.4189,27.1528,29.2334,21.5502
1015,2.9655,15.5977,24.5756,27.117,29.483,21.5361
1016,8.4359,22.2651,24.5891,30.3415,31.3058,24.6261
1017,-2.8593,-1.0165,-1.4201,-0.8086,0.1631,-0.7914
1018,0.0816,9.1585,15.8094,15.148,17.1523,15.0292
1019,9.6299,25.724,38.7747,42.3615,43.3685,33.9002
1020,2.5646,20.7445,33.3289,37.6749,40.2359,33.1152
1021,10.8534,57.1465,85.6718,96.0106,100.4168,85.4445
1022,9.1759,41.0419,53.1096,69.2077,75.4291,75.9119
1023,6.742,33.7654,37.415,63.4472,72.7884,75.5649
1024,14.4459,57.2944,61.942,101.5458,115.1283,128.0874
1023,6.2043,33.8577,52.7766,58.9986,62.2986,50.3691
1024,12.8452,57.8304,84.7054,93.4103,98.5836,88.367
1025,-4.0296,-2.8692,0.2458,0.0321,1.6404,1.8105
1026,13.7364,54.4604,75.245,80.2739,81.4475,75.769
1019,7.6076,23.3353,35.8338,40.0435,41.4594,31.1012
1021,10.4759,56.4551,84.8509,94.5443,98.9239,80.8118
1022,8.4646,40.8072,60.1993,65.0618,68.2767,59.3051
1024,14.7094,57.5746,83.9118,94.1338,99.1259,86.1127
1026,12.6537,51.4261,71.9061,78.2605,78.6448,72.9585
1461,11.6661,59.3976,82.5923,88.7591,95.4531,88.2997
1462,9.852,39.7424,56.1462,62.5438,64.9164,60.3855
1463,2.8194,26.7583,47.5951,51.4836,56.0573,51.5769
1464,3.5826,21.3085,36.6584,40.133,44.4594,41.4998
1465,6.0317,28.645,44.8765,48.8991,52.5692,48.3525
1466,0.5526,20.0238,35.1095,37.226,42.0104,37.8885
1467,-0.4142,2.9943,5.7831,4.9746,6.1813,5.4863
1468,5.1966,19.423,28.9782,30.5122,36.1927,36.6474
1469,18.4581,69.0823,100.0657,106.1564,113.324,98.9329
1470,12.9935,44.0723,62.2496,68.339,69.7012,60.8087
1471,14.0001,39.7659,54.358,59.2058,57.6333,47.1861
1472,12.26,36.3609,54.4226,59.63,59.5661,52.0705
1473,17.2592,65.8768,90.4827,97.5705,99.2473,90.7558
1474,13.2758,42.7478,66.9759,72.7883,74.5174,70.186
1475,-5.2368,-1.1884,-0.3434,0.9359,2.9768,5.3821
1476,11.4696,44.7201,61.0651,65.2875,65.7097,55.3923
1469,17.7913,66.9787,96.225,103.3885,110.5261,95.4841
1470,12.9206,43.1143,60.1731,66.331,68.1292,58.8334
1471,13.8644,39.5801,54.5315,60.1398,58.8541,47.4008
1472,12.0759,36.2607,53.347,58.8882,60.1662,50.2816
1473,16.0671,63.3687,88.1836,96.0985,98.5477,89.2792
1474,13.9202,44.6564,68.5534,74.5834,76.6983,69.2392
1475,-5.1813,-1.4896,-0.9013,0.2106,1.9731,3.2426
1476,10.6075,42.8215,60.2309,65.7062,65.8871,52.9652
1670,7.5454,31.0449,43.6751,49.498,53.3872,47.7057
1671,17.6639,60.804,81.9273,90.555,93.8323,87.5443
1672,5.5664,22.2062,36.2656,38.8067,44.4929,41.8874
1673,11.2204,48.1844,70.6825,75.3293,81.4791,71.5126
1674,14.4933,53.7617,75.2754,82.7759,86.3849,78.1348
1675,11.1464,58.5733,83.6094,89.8805,95.4615,83.7119
1676,-2.3136,0.4366,0.9169,0.7777,3.1005,4.1282
1677,10.0199,35.8524,50.9748,57.0118,62.4818,56.4712
1678,10.8613,33.9996,48.5218,53.1639,57.1164,46.2667
1679,16.2333,59.0965,81.0138,90.0605,91.3319,73.5054
1680,11.3087,46.0198,65.4022,70.8695,75.7499,60.3579
1681,8.1834,41.3348,63.3417,69.5287,72.8875,56.0495
1682,9.3523,41.4432,61.9031,67.2718,69.0777,51.3666
1683,7.6357,29.5779,44.5318,50.0827,52.0367,42.0318
1684,-4.8288,-3.8046,-1.0754,-1.1742,1.1707,3.5766
1685,9.8334,50.7721,74.4553,81.156,86.3275,67.5924
1944,13.9498,50.8225,68.7916,73.6443,79.2961,70.206
1944,14.8747,51.5093,68.5832,72.929,78.5861,69.5902
1945,19.6286,71.5653,97.3407,104.1469,107.8582,96.498
1946,5.6552,23.8444,33.7098,35.3888,37.1414,33.6257
1947,13.9778,48.0709,62.6652,68.9341,72.32,60.5787
1948,7.6772,33.7611,42.5136,46.7931,51.7041,43.0375
1949,11.2223,38.3079,51.9464,58.6075,61.603,46.6984
1950,-3.2297,-1.6774,0.2036,2.4485,4.6015,5.8759
1951,8.2444,32.0192,40.5042,44.4456,48.8978,42.0357
1952,15.4215,44.0673,46.0352,49.0245,48.6745,46.4891
1953,5.7147,30.9178,40.6829,44.124,48.6484,41.3647
1954,3.4063,17.5887,24.8639,29.7285,38.5393,34.6968
1955,3.8598,15.0071,19.9158,27.0337,35.841,30.977
1956,9.5518,26.6977,30.2512,38.4183,50.3486,56.3706
1957,3.7951,14.7485,18.2651,19.2918,25.6281,25.2864
1958,-4.6895,-4.2928,0.8712,-0.5428,2.5021,5.8868
1959,4.0966,11.2232,17.6522,21.3674,26.1242,24.7416
1960,5.6983,23.6006,27.3453,32.1667,40.1876,42.5913
1961,1.5039,16.5307,25.8309,28.8329,34.5837,34.7341
1962,7.4101,26.9173,33.3148,36.7715,45.0133,42.2815
1963,-0.1815,11.9414,20.1203,20.9252,24.9456,22.1092
1964,3.8233,23.7982,33.1559,34.8224,40.5567,37.4464
1965,5.95,23.162,24.22,30.0686,38.4354,37.8629
