MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
401,3.1509,1.1471,-24.7376,5.4713,5.2543,0.6105
402,3.1517,0.8315,-22.6933,4.9318,14.5938,-0.2467
403,3.5946,1.1212,-25.1459,5.9131,19.7704,-0.0651
403,3.6362,1.1483,-25.1473,5.8984,19.4144,-0.0078
404,3.3228,0.856,-22.7833,5.7638,24.5701,-0.2292
405,5.9729,2.0201,-16.706,8.6538,24.6864,1.312
406,3.8192,2.1048,-19.4163,5.6864,22.2042,1.0197
407,,,,,,
408,2.8158,1.7521,-14.4732,4.3246,7.0206,1.3636
457,0.6395,0.3471,-19.8123,1.2025,-19.189,1.219
848,3.9423,1.7787,-28.2572,6.1387,8.1399,1.5527
849,2.7904,1.0224,-21.941,4.8856,15.413,0.5219
850,5.2312,2.3502,-28.6535,7.7671,15.6641,2.1134
851,3.651,2.3734,-28.4441,5.4525,6.1277,2.1343
852,3.8087,1.9463,-17.3892,5.4527,17.7416,1.6446
853,2.708,1.7945,-17.956,3.9368,12.4031,1.0393
854,,,,,,
855,,,,,,
856,2.3517,1.8235,-23.7219,3.5687,12.9961,0.8904
857,2.9437,2.0454,-23.6278,4.419,19.3983,1.0173
858,7.1805,3.8491,-13.4773,8.7689,7.7869,3.9947
859,7.0771,3.6828,-10.7464,8.2898,5.8475,4.2793
860,5.2614,3.0094,-18.4641,6.5142,2.7165,3.0728
861,7.0481,3.7964,-13.4836,8.1671,8.0994,4.1487
862,,,,,,
863,3.6764,2.394,-27.8878,4.7233,4.5287,1.8794
1011,7.4868,4.7171,-7.2139,9.2186,-17.456,6.5699
1012,4.1558,2.5896,-11.2424,5.309,-13.4941,3.5845
1013,3.9643,2.4237,-17.6132,5.1556,-18.0612,3.4415
1014,3.3131,2.0987,-18.3414,4.4871,-15.4799,2.9176
1015,3.2966,1.8417,-14.6815,4.2466,-13.641,2.6377
1016,3.5567,2.6126,-14.7295,4.6943,-2.8627,3.244
1017,,,,,,
1018,1.8941,1.4635,-13.7158,2.9401,-15.2374,2.185
1019,5.3606,3.3214,-5.9022,6.1757,-8.0993,4.5621
1020,4.5873,2.9212,-14.4797,5.8766,-14.5303,4.0372
1021,12.0055,6.6519,-2.1974,14.5596,-11.5861,9.2687
1022,7.8746,4.7092,-1.6226,10.6412,-9.1323,7.1796
1023,5.8823,4.2444,-18.6078,9.9632,-19.8719,7.2199
1024,9.9454,6.6811,-8.9469,15.5951,-15.3059,11.335
1023,7.2139,4.1156,-18.2145,9.0846,-16.2973,5.4115
1024,11.8092,6.4557,-7.7118,14.178,-10.3986,8.7503
1025,,,,,,
1026,10.631,6.3051,-17.3612,12.8768,-8.2495,8.147
1019,4.9773,3.2915,-10.9133,5.9431,-10.5558,4.3553
1021,11.8619,6.565,-2.3346,14.083,-12.2082,9.2503
1022,8.3633,4.5976,-1.7899,9.6985,-8.1374,6.3073
1024,11.8172,6.4532,-6.718,13.9181,-9.5253,8.8428
1026,10.2671,6.1931,-19.8819,12.4204,-9.8739,8.1043
1461,11.3293,6.3044,-7.5503,14.1813,-3.6279,8.1381
1462,7.9078,4.6279,-6.9982,9.6245,-4.3448,5.6174
1463,6.4596,3.4697,-17.768,8.0346,-18.2277,4.4456
1464,4.946,2.8652,-15.4918,6.319,-15.1787,3.5099
1465,6.1614,3.6016,-8.3622,7.5284,-10.8481,4.5095
1466,4.6315,2.7793,-14.453,5.8159,-16.8678,3.4621
1467,,,,,,
1468,3.8935,2.4597,-16.3907,5.4102,-11.0502,3.0098
1469,13.9684,7.4352,-8.8863,17.0167,-2.2979,9.3473
1470,8.6613,5.2106,-9.9073,10.9338,-6.981,6.4426
1471,7.1684,4.6726,-21.8607,9.4822,-10.5233,5.6418
1472,7.3871,4.7228,-20.971,9.5222,-11.4536,5.7539
1473,12.4976,6.4742,-21.5766,15.5421,-6.8439,8.1535
1474,9.1847,5.435,-27.1043,11.8755,-16.2415,6.6619
1475,,,,,,
1476,8.1645,5.4505,-17.6288,10.4757,-11.0896,6.6856
1469,13.5155,7.1512,-9.4626,16.5885,-2.1872,9.1566
1470,8.3647,5.1504,-12.8553,10.5918,-7.5317,6.3848
1471,7.2755,4.642,-20.4363,9.5975,-9.2026,5.7927
1472,7.2159,4.6245,-22.1357,9.2656,-12.1706,5.6768
1473,12.1914,6.3866,-24.0689,15.1587,-8.9532,8.0195
1474,9.42,5.3887,-24.8173,12.0578,-14.0289,6.8383
1475,,,,,,
1476,8.1349,5.3664,-18.952,10.3123,-11.8382,6.6876
1670,6.1596,3.6863,-14.467,7.8881,-8.6903,4.6263
1671,11.601,6.6576,-9.0433,14.4479,-2.4816,8.6197
1672,4.8935,2.8929,-16.49,6.0245,-12.5747,3.4508
1673,9.7865,5.1271,-9.0562,11.8838,-6.938,6.6733
1674,10.3633,6.0677,-6.0868,12.6715,-5.2332,8.1468
1675,11.6365,5.9385,-9.5751,14.2754,-7.5858,7.8508
1676,,,,,,
1677,7.4195,4.2432,-16.4755,9.0115,-9.7824,5.4302
1678,6.9613,3.9916,-13.1037,8.0814,-7.8825,4.9435
1679,11.7171,6.8285,-11.366,14.3564,-3.2656,8.9725
1680,9.2427,4.8921,-9.2266,11.0311,-10.7687,6.4204
1681,8.8302,4.8548,-15.7642,10.6578,-16.1112,6.4373
1682,8.7817,4.8589,-16.0795,10.4724,-13.8001,6.3233
1683,6.4389,3.7357,-11.8202,7.5108,-11.1396,4.7339
1684,,,,,,
1685,10.8419,5.8535,-12.3226,12.9011,-13.9008,7.7976
1944,9.5279,5.1827,-2.8507,11.8824,-2.6197,6.6628
1944,9.4799,5.1557,-1.687,11.8209,-1.2798,6.6699
1945,13.5449,7.6974,-14.6867,16.8212,-0.3587,9.7586
1946,4.5712,2.9012,-4.5238,5.6278,-7.0021,3.3644
1947,8.6802,4.7969,-8.224,10.7308,-1.3036,6.0259
1948,5.9639,3.4284,-14.8527,7.3496,-6.8679,4.1314
1949,7.2371,4.3705,-14.8196,9.782,-2.5709,5.4618
1950,,,,,,
1951,5.5963,3.3895,-7.9574,7.0256,-3.9596,4.2736
1952,6.357,5.2682,0.1995,8.5746,2.5237,5.8355
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
