MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
401,22.4142,8.1604,-175.9736,38.9203,37.3771,4.3432
402,22.4199,5.9146,-161.4308,35.0828,103.8144,-1.7548
403,25.5705,7.976,-178.8776,42.0634,140.639,-0.463
403,25.8664,8.1684,-178.8882,41.9586,138.106,-0.0553
404,23.6373,6.0892,-162.0714,41.0015,174.7816,-1.6306
405,42.489,14.3701,-118.8401,61.5598,175.6093,9.333
406,27.168,14.9728,-138.1197,40.4505,157.9518,7.2537
407,-0.6855,-3.7478,-234.8459,2.1191,45.7726,-16.9688
408,19.5033,12.1356,-100.2469,29.9536,48.6277,9.445
457,4.4937,2.4395,-139.2247,8.4499,-134.8449,8.566
848,29.0087,13.0882,-207.9275,45.1708,59.8964,11.425
849,20.5327,7.523,-161.4503,35.9504,113.4151,3.8403
850,38.0414,17.091,-208.368,56.4826,113.9093,15.3684
851,26.8655,17.4643,-209.303,40.1218,45.0898,15.7053
852,28.0259,14.3218,-127.9564,40.123,130.5496,12.1016
853,19.9267,13.2044,-132.1276,28.9683,91.2667,7.6479
854,-0.7363,-3.4823,-201.5737,4.6076,62.7824,-13.1103
855,-1.0244,-2.9954,-214.1391,5.0585,59.2861,-12.7908
856,17.1013,13.2608,-172.5054,25.9515,94.5073,6.4749
857,21.4067,14.8744,-171.8212,32.1352,141.0648,7.3976
858,52.2169,27.9904,-98.0066,63.7676,56.6267,29.0491
859,51.4646,26.7814,-78.1479,60.2835,42.5227,31.1192
860,38.7156,22.1443,-135.8661,47.9339,19.9888,22.611
861,51.863,27.9357,-99.2175,60.0967,59.5983,30.5277
862,-3.4034,-2.6235,-220.0399,1.1102,15.5342,-11.9781
863,26.7351,17.4088,-202.8001,34.3478,32.933,13.6669
1011,54.4443,34.3028,-52.4595,67.0375,-126.94,47.7761
1012,30.2213,18.8317,-81.7549,38.6072,-98.1291,26.0662
1013,28.8282,17.625,-128.083,37.4916,-131.3412,25.0265
1014,24.0928,15.2618,-133.3789,32.6304,-112.5698,21.2167
1015,23.9727,13.3927,-106.7636,30.881,-99.1976,19.1813
1016,25.8642,18.999,-107.1129,34.137,-20.8175,23.5904
1017,-1.9011,1.853,-157.4998,2.8899,-84.0791,0.6347
1018,13.7741,10.6426,-99.7411,21.3807,-110.8067,15.8894
1019,38.9824,24.1533,-42.9209,44.9094,-58.8982,33.1756
1020,33.3589,21.2428,-105.2962,42.7345,-105.6644,29.3583
1021,87.3038,48.3723,-15.9794,105.8771,-84.2541,67.402
1022,57.2641,34.245,-11.7999,77.3828,-66.4099,52.2104
1023,42.7758,30.8655,-135.3158,72.4525,-144.5086,52.5028
1024,72.3232,48.5852,-65.062,113.4077,-111.3043,82.4282
1023,52.4598,29.9285,-132.4558,66.0631,-118.5136,39.3521
1024,85.8766,46.9455,-56.0805,103.1025,-75.6185,63.6325
1025,-0.687,2.4678,-139.1478,4.9024,-103.6378,3.8154
1026,75.5483,44.8065,-123.3756,91.5079,-58.6241,57.8961
1019,36.1949,23.9358,-79.3613,43.218,-76.7614,31.6719
1021,86.2595,47.7409,-16.9773,102.4116,-88.778,67.268
1022,60.8181,33.4339,-13.0163,70.5275,-59.1749,45.867
1024,85.9343,46.9275,-48.853,101.2121,-69.2681,64.3045
1026,72.9621,44.0109,-141.2888,88.2643,-70.1678,57.5926
1461,82.3867,45.8454,-54.9057,103.1267,-26.3819,59.1806
1462,57.5053,33.6544,-50.8906,69.9893,-31.5955,40.8497
1463,46.9741,25.2319,-129.2092,58.4279,-132.5516,32.3283
1464,35.9676,20.8355,-112.6562,45.9521,-110.3793,25.5241
1465,44.8055,26.1907,-60.8098,54.7465,-78.8875,32.7933
1466,33.6804,20.2112,-105.1024,42.2934,-122.6628,25.1767
1467,4.9342,3.6358,-93.7441,9.0063,-58.1474,3.1367
1468,27.6689,17.4797,-116.4788,38.4473,-78.527,21.3886
1469,100.5724,53.5332,-63.9812,122.5206,-16.5451,67.3007
1470,62.3611,37.5163,-71.3326,78.7232,-50.2632,46.3868
1471,51.6122,33.6427,-157.3968,68.2715,-75.7678,40.6207
1472,53.1868,34.0045,-150.9908,68.5598,-82.4661,41.428
1473,89.9828,46.6146,-155.3514,111.9034,-49.2763,58.7049
1474,66.1302,39.1317,-195.1512,85.5036,-116.9389,47.9656
1475,-0.5011,2.1457,-150.6225,3.811,-96.8145,0.9414
1476,58.7841,39.2434,-126.9276,75.425,-79.8454,48.1365
1469,97.3116,51.4888,-68.131,119.4371,-15.7478,65.9272
