MediaId,EC_ugm3_new,EC_ugm3_old,ExternalFilterId,Fabs,EC_hips
401,2.104,3.151,ETAD-0017-1,40.238,4.024
402,2.372,3.152,ETAD-0018-2,45.512,4.551
403,2.586,3.595,ETAD-0019-3,47.957,4.796
403,2.589,3.636,ETAD-0019-3,47.957,4.796
404,2.418,3.323,ETAD-0020-4,47.209,4.721
405,3.763,5.973,ETAD-0021-5,60.301,6.03
406,3.476,3.819,ETAD-0022-6,52.546,5.255
407,,,ETAD-0023-7,,
408,2.388,2.816,ETAD-0024-8,38.786,3.879
457,0.358,0.639,ETAD-0037-5,38.403,3.84
848,2.551,3.942,ETAD-0041-1,46.602,4.66
849,1.911,2.79,ETAD-0042-2,36.992,3.699
850,3.192,5.231,ETAD-0043-3,54.75,5.475
851,2.959,3.651,ETAD-0044-4,50.362,5.036
852,2.729,3.809,ETAD-0045-5,47.961,4.796
853,2.228,2.708,ETAD-0046-6,35.096,3.51
854,,,ETAD-0047-7,,
855,,,ETAD-0048-8,,
856,2.255,2.352,ETAD-0049-1,32.096,3.21
857,2.725,2.944,ETAD-0050-2,39.838,3.984
858,4.675,7.181,ETAD-0051-3,45.291,4.529
859,4.424,7.077,ETAD-0052-4,49.869,4.987
860,3.36,5.261,ETAD-0053-5,47.154,4.715
861,4.317,7.048,ETAD-0054-6,43.164,4.316
862,,,ETAD-0055-7,,
863,2.898,3.676,ETAD-0056-8,41.321,4.132
1011,4.503,7.487,ETAD-0057-1,62.512,6.251
1012,2.584,4.156,ETAD-0058-2,41.932,4.193
1013,2.359,3.964,ETAD-0059-3,44.816,4.482
1014,2.249,3.313,ETAD-0060-4,40.242,4.024
1015,2.094,3.297,ETAD-0061-5,40.794,4.079
1016,2.376,3.557,ETAD-0062-6,39.687,3.969
1017,,,ETAD-0063-7,,
1018,1.504,1.894,ETAD-0064-8,30.341,3.034
1019,3.208,5.361,ETAD-0065-1,40.114,4.011
1020,2.767,4.587,ETAD-0066-2,47.11,4.711
1021,6.566,12.005,ETAD-0067-3,67.999,6.8
1022,5.14,7.875,ETAD-0068-4,44.618,4.462
1023,4.89,5.882,ETAD-0069-5,62.457,6.246
1024,7.765,9.945,ETAD-0070-6,68.505,6.851
1023,4.076,7.214,ETAD-0069-5,62.457,6.246
1024,6.597,11.809,ETAD-0070-6,68.505,6.851
1025,,,ETAD-0071-7,,
1026,6.195,10.631,ETAD-0072-8,60.167,6.017
1019,3.076,4.977,ETAD-0065-1,40.114,4.011
1021,6.482,11.862,ETAD-0067-3,67.999,6.8
1022,4.712,8.363,ETAD-0068-4,44.618,4.462
1024,6.579,11.817,ETAD-0070-6,68.505,6.851
1026,5.979,10.267,ETAD-0072-8,60.167,6.017
1461,6.368,11.329,ETAD-0073-1,63.339,6.334
1462,4.567,7.908,ETAD-0074-2,47.344,4.734
1463,3.481,6.46,ETAD-0075-3,50.533,5.053
1464,2.839,4.946,ETAD-0076-4,46.443,4.644
1465,3.582,6.161,ETAD-0077-5,48.872,4.887
1466,2.777,4.632,ETAD-0078-6,43.703,4.37
1467,,,ETAD-0079-7,,
1468,2.424,3.894,ETAD-0080-8,42.318,4.232
1469,7.297,13.968,ETAD-0081-1,67.763,6.776
1470,5.155,8.661,ETAD-0082-2,55.451,5.545
1471,4.722,7.168,ETAD-0083-3,60.049,6.005
1472,4.454,7.387,ETAD-0084-4,58.581,5.858
1473,6.971,12.498,ETAD-0085-5,67.957,6.796
1474,5.362,9.185,ETAD-0086-6,64.14,6.414
1475,,,ETAD-0087-7,,
1476,5.308,8.164,ETAD-0088-8,65.217,6.522
1469,7.12,13.516,ETAD-0081-1,67.763,6.776
1470,5.075,8.365,ETAD-0082-2,55.451,5.545
1471,4.66,7.276,ETAD-0083-3,60.049,6.005
1472,4.473,7.216,ETAD-0084-4,58.581,5.858
1473,6.824,12.191,ETAD-0085-5,67.957,6.796
1474,5.451,9.42,ETAD-0086-6,64.14,6.414
1475,,,ETAD-0087-7,,
1476,5.157,8.135,ETAD-0088-8,65.217,6.522
1670,3.64,6.16,ETAD-0089-1,47.809,4.781
1671,6.721,11.601,ETAD-0090-2,66.272,6.627
1672,2.895,4.893,ETAD-0091-3,43.752,4.375
1673,5.324,9.786,ETAD-0092-4,56.133,5.613
1674,6.023,10.363,ETAD-0093-5,65.126,6.513
1675,6.265,11.636,ETAD-0094-6,62.885,6.288
1676,,,ETAD-0095-7,,
1677,4.264,7.42,ETAD-0096-8,50.825,5.083
1678,4.047,6.961,ETAD-0097-1,46.918,4.692
1679,6.645,11.717,ETAD-0098-2,67.94,6.794
1680,5.403,9.243,ETAD-0099-3,56.063,5.606
1681,5.088,8.83,ETAD-0100-4,62.836,6.284
1682,5.132,8.782,ETAD-0101-5,54.187,5.419
1683,3.79,6.439,ETAD-0102-6,42.757,4.276
1684,,,ETAD-0103-7,,
1685,6.108,10.842,ETAD-0104-8,64.491,6.449
1944,5.346,9.528,ETAD-0113-1,52.746,5.275
1944,5.363,9.48,ETAD-0113-1,52.746,5.275
1945,7.732,13.545,ETAD-0114-2,74.192,7.419
1946,2.904,4.571,ETAD-0115-3,34.899,3.49
1947,4.984,8.68,ETAD-0116-4,51.531,5.153
1948,3.581,5.964,ETAD-0117-5,38.179,3.818
1949,4.059,7.237,ETAD-0118-6,58.57,5.857
1950,,,ETAD-0119-7,,
1951,3.448,5.596,ETAD-0120-8,45.854,4.585
1952,4.926,6.357,ETAD-0121-1,44.865,4.486
1953,,,ETAD-0122-2,,
1954,,,ETAD-0123-3,,
1955,,,ETAD-0124-4,,
1956,,,ETAD-0125-5,,
1957,,,ETAD-0126-6,,
1958,,,ETAD-0127-7,,
1959,1.558,2.596,ETAD-0128-8,38.388,3.839
