MediaId,SiteCode,SamplingStartDate,month,season,MassCollectedOnFilter_ug,SampleVolume_m3
401,ETAD,2022-12-07,12.0,high-biomass,118.7,7.1136
402,ETAD,2022-12-10,12.0,high-biomass,109.5,7.1136
403,ETAD,2022-12-13,12.0,high-biomass,138.6,7.1136
403,ETAD,2022-12-13,12.0,high-biomass,138.6,7.1136
404,ETAD,2022-12-16,12.0,high-biomass,143.8,7.1136
405,ETAD,2022-12-19,12.0,high-biomass,173.3,7.1136
406,ETAD,2022-12-22,12.0,high-biomass,173.2,7.1136
407,ETAD,,,other/unassigned,4.4,0.0
408,ETAD,2022-12-25,12.0,high-biomass,110.5,6.9264
457,ETAD,2023-01-09,1.0,high-biomass,99.6,7.0272
848,ETAD,2023-02-10,2.0,high-biomass,160.9,7.3584
849,ETAD,2023-02-13,2.0,high-biomass,116.0,7.3584
850,ETAD,2023-02-16,2.0,high-biomass,180.5,7.272
851,ETAD,2023-02-19,2.0,high-biomass,200.5,7.3584
852,ETAD,2023-02-22,2.0,high-biomass,127.5,7.3584
853,ETAD,2023-02-25,2.0,high-biomass,130.1,7.3584
854,ETAD,,,other/unassigned,1.0,0.0
855,ETAD,,,other/unassigned,5.4,
856,ETAD,2023-03-04,3.0,other/unassigned,106.9,7.272
857,ETAD,2023-03-07,3.0,other/unassigned,134.4,7.272
858,ETAD,2023-03-10,3.0,other/unassigned,150.7,7.272
859,ETAD,2023-03-13,3.0,other/unassigned,141.7,7.272
860,ETAD,2023-03-16,3.0,other/unassigned,125.6,7.3584
861,ETAD,2023-03-19,3.0,other/unassigned,128.1,7.3584
862,ETAD,,,other/unassigned,57.0,0.0
863,ETAD,2023-03-22,3.0,other/unassigned,167.4,7.272
1011,ETAD,2023-03-29,3.0,other/unassigned,177.8,7.272
1012,ETAD,2023-04-01,4.0,other/unassigned,103.9,7.272
1013,ETAD,2023-04-04,4.0,other/unassigned,99.4,7.272
1014,ETAD,2023-04-07,4.0,other/unassigned,97.8,7.272
1015,ETAD,2023-04-10,4.0,other/unassigned,79.7,7.272
1016,ETAD,2023-04-13,4.0,other/unassigned,124.1,7.272
1017,ETAD,,,other/unassigned,4.9,0.0
1018,ETAD,2023-04-16,4.0,other/unassigned,64.3,7.272
1019,ETAD,2023-04-21,4.0,other/unassigned,141.0,7.272
1020,ETAD,2023-04-24,4.0,other/unassigned,117.5,7.272
1021,ETAD,2023-04-27,4.0,other/unassigned,225.6,7.272
1022,ETAD,2023-04-30,4.0,other/unassigned,151.7,7.272
1023,ETAD,2023-05-03,5.0,other/unassigned,161.5,7.272
1024,ETAD,2023-05-06,5.0,other/unassigned,260.0,7.272
1023,ETAD,2023-05-03,5.0,other/unassigned,161.5,7.272
1024,ETAD,2023-05-06,5.0,other/unassigned,260.0,7.272
1025,ETAD,,,other/unassigned,2.9,0.0
1026,ETAD,2023-05-09,5.0,other/unassigned,257.9,7.1064
1019,ETAD,2023-04-21,4.0,other/unassigned,141.0,7.272
1021,ETAD,2023-04-27,4.0,other/unassigned,225.6,7.272
1022,ETAD,2023-04-30,4.0,other/unassigned,151.7,7.272
1024,ETAD,2023-05-06,5.0,other/unassigned,260.0,7.272
1026,ETAD,2023-05-09,5.0,other/unassigned,257.9,7.1064
1461,ETAD,2023-05-17,5.0,other/unassigned,214.1,7.272
