SampleAnalysisId,MediaId,SiteCode,ExternalFilterId,SamplingStartDate,SampleVolume_m3,EC_bothlots_k3,EC_bothlots_k10,EC_bothlots_k18,EC_bothlots_k25,EC_bothlots_k30,EC_bothlots_k40,EC_recommended_ugm3,EC_lot251only_recommended
369,401,ETAD,ETAD-0017-1,2022-12-07,7.1136,0.6233,2.8318,3.2568,4.6679,4.2819,4.9937,4.2819,3.3337
370,402,ETAD,ETAD-0018-2,2022-12-10,7.1136,1.1054,3.6161,3.3151,4.6752,4.2874,4.8155,4.2874,2.5673
381,403,ETAD,ETAD-0019-3,2022-12-13,7.1136,1.4771,3.8965,3.7679,5.3122,4.9954,5.9966,4.9954,3.4299
382,403,ETAD,ETAD-0019-3,2022-12-13,7.1136,1.4727,3.9012,3.774,5.3596,5.0121,6.01,5.0121,3.4345
383,404,ETAD,ETAD-0020-4,2022-12-16,7.1136,1.462,3.9298,3.4876,5.6114,5.0034,6.1504,5.0034,3.6504
384,405,ETAD,ETAD-0021-5,2022-12-19,7.1136,1.8306,5.7159,5.7469,8.0896,7.5892,8.0771,7.5892,6.1605
385,406,ETAD,ETAD-0022-6,2022-12-22,7.1136,1.6994,5.0281,4.0765,5.3525,5.2225,5.5876,5.2225,3.5956
386,407,ETAD,ETAD-0023-7,,0.0,,,,,,,,
387,408,ETAD,ETAD-0024-8,2022-12-25,6.9264,0.9036,3.1776,2.8231,4.3017,3.9427,4.3536,3.9427,3.2786
406,457,ETAD,ETAD-0037-5,2023-01-09,7.0272,-1.9288,0.0856,0.2554,0.5321,0.7452,0.2147,0.7452,0.5867
674,848,ETAD,ETAD-0041-1,2023-02-10,7.3584,1.3692,3.5083,3.5758,5.1664,4.4236,5.3546,4.4236,3.1574
675,849,ETAD,ETAD-0042-2,2023-02-13,7.3584,1.4699,3.1354,2.7043,3.6717,3.2856,4.2347,3.2856,1.6629
676,850,ETAD,ETAD-0043-3,2023-02-16,7.272,2.3733,4.6179,4.7048,5.8841,5.4952,6.8416,5.4952,3.8249
677,851,ETAD,ETAD-0044-4,2023-02-19,7.3584,1.5582,3.7686,3.3041,4.8647,4.4141,5.4859,4.4141,3.3346
678,852,ETAD,ETAD-0045-5,2023-02-22,7.3584,1.8738,3.9146,3.5383,5.2113,4.7508,5.7323,4.7508,3.3395
