SampleAnalysisId,MediaId,SiteCode,ExternalFilterId,SamplingStartDate,SamplingEndDate,MassCollectedOnFilter_ug,SampleVolume_m3,EC_ugm3__EC_all_nofilt_k3,EC_ugm3__EC_all_nofilt_k10,EC_ugm3__EC_all_nofilt_k18,EC_ugm3__EC_all_nofilt_k21_kmin,EC_ugm3__EC_all_nofilt_k25,EC_ugm3__EC_all_nofilt_k40,EC_recommended_ugm3
369,401,ETAD,ETAD-0017-1,2022-12-07,2022-12-08,118.7,7.1136,0.6317,4.132,2.9014,3.9865,4.1421,3.02,3.9865
370,402,ETAD,ETAD-0018-2,2022-12-10,2022-12-11,109.5,7.1136,1.1076,5.2811,3.0516,4.0072,3.5784,1.482,4.0072
381,403,ETAD,ETAD-0019-3,2022-12-13,2022-12-14,138.6,7.1136,1.517,5.8947,3.2492,4.5773,4.3417,2.7008,4.5773
382,403,ETAD,ETAD-0019-3,2022-12-13,2022-12-14,138.6,7.1136,1.5116,5.8907,3.2863,4.6219,4.378,2.7287,4.6219
383,404,ETAD,ETAD-0020-4,2022-12-16,2022-12-17,143.8,7.1136,1.5144,5.935,3.072,4.3534,4.691,3.2339,4.3534
384,405,ETAD,ETAD-0021-5,2022-12-19,2022-12-20,173.3,7.1136,2.0398,7.752,5.821,7.1319,7.3043,4.6247,7.1319
385,406,ETAD,ETAD-0022-6,2022-12-22,2022-12-23,173.2,7.1136,1.8742,6.934,3.9099,4.8269,4.2931,2.2495,4.8269
386,407,ETAD,ETAD-0023-7,,,4.4,0.0,,,,,,,
387,408,ETAD,ETAD-0024-8,2022-12-25,2022-12-26,110.5,6.9264,0.8995,4.244,2.7052,3.4292,3.9236,2.975,3.4292
406,457,ETAD,ETAD-0037-5,2023-01-09,2023-01-10,99.6,7.0272,-1.8818,-0.0535,0.1355,1.297,0.629,0.1943,1.297
674,848,ETAD,ETAD-0041-1,2023-02-10,2023-02-11,160.9,7.3584,1.388,4.9639,3.4361,4.8771,4.5664,2.5862,4.8771
675,849,ETAD,ETAD-0042-2,2023-02-13,2023-02-14,116.0,7.3584,1.3171,4.6492,2.4961,3.5324,2.7079,0.6512,3.5324
676,850,ETAD,ETAD-0043-3,2023-02-16,2023-02-17,180.5,7.272,2.3095,6.4244,4.6381,6.1619,5.1456,3.0081,6.1619
677,851,ETAD,ETAD-0044-4,2023-02-19,2023-02-20,200.5,7.3584,1.6194,5.078,3.4604,4.4853,4.2817,2.8006,4.4853
678,852,ETAD,ETAD-0045-5,2023-02-22,2023-02-23,127.5,7.3584,1.7766,5.4569,3.4738,4.7154,4.398,2.623,4.7154
679,853,ETAD,ETAD-0046-6,2023-02-25,2023-02-26,130.1,7.3584,1.2621,4.4763,2.6036,3.4016,3.1246,1.5369,3.4016
680,854,ETAD,ETAD-0047-7,,,1.0,0.0,,,,,,,
681,855,ETAD,ETAD-0048-8,,,5.4,,,,,,,,
682,856,ETAD,ETAD-0049-1,2023-03-04,2023-03-05,106.9,7.272,1.1202,4.782,2.3031,3.1247,2.6418,1.1003,3.1247
683,857,ETAD,ETAD-0050-2,2023-03-07,2023-03-08,134.4,7.272,1.6621,5.8927,2.8284,3.8819,3.4506,1.5473,3.8819
684,858,ETAD,ETAD-0051-3,2023-03-10,2023-03-11,150.7,7.272,1.543,7.7161,7.14,8.1328,7.5364,4.2512,8.1328
685,859,ETAD,ETAD-0052-4,2023-03-13,2023-03-14,141.7,7.272,1.4991,6.6724,6.7979,8.2072,7.855,5.3988,8.2072
686,860,ETAD,ETAD-0053-5,2023-03-16,2023-03-17,125.6,7.3584,1.2254,5.2422,4.9488,6.2678,5.7275,3.4561,6.2678
687,861,ETAD,ETAD-0054-6,2023-03-19,2023-03-20,128.1,7.3584,1.6785,6.7426,6.7587,7.9705,7.2184,5.204,7.9705
688,862,ETAD,ETAD-0055-7,,,57.0,0.0,,,,,,,
689,863,ETAD,ETAD-0056-8,2023-03-22,2023-03-23,167.4,7.272,1.3665,4.8342,3.4661,4.6088,4.1775,2.021,4.6088
860,1011,ETAD,ETAD-0057-1,2023-03-29,2023-03-30,177.8,7.272,1.247,4.8425,7.7733,8.1712,8.6916,7.5548,8.1712
861,1012,ETAD,ETAD-0058-2,2023-04-01,2023-04-02,103.9,7.272,0.2799,2.6704,4.1914,4.5892,4.9766,4.0809,4.5892
862,1013,ETAD,ETAD-0059-3,2023-04-04,2023-04-05,99.4,7.272,0.1492,2.1591,3.9458,4.516,4.7595,3.817,4.516
863,1014,ETAD,ETAD-0060-4,2023-04-07,2023-04-08,97.8,7.272,0.4532,2.2502,3.4955,3.7339,4.02,2.9635,3.7339
864,1015,ETAD,ETAD-0061-5,2023-04-10,2023-04-11,79.7,7.272,0.4078,2.1449,3.3795,3.729,4.0543,2.9615,3.729
865,1016,ETAD,ETAD-0062-6,2023-04-13,2023-04-14,124.1,7.272,1.1601,3.0618,3.3813,4.1724,4.305,3.3864,4.1724
866,1017,ETAD,ETAD-0063-7,,,4.9,0.0,,,,,,,
867,1018,ETAD,ETAD-0064-8,2023-04-16,2023-04-17,64.3,7.272,0.0112,1.2594,2.174,2.0831,2.3587,2.0667,2.0831
868,1019,ETAD,ETAD-0065-1,2023-04-21,2023-04-22,141.0,7.272,1.3243,3.5374,5.3321,5.8253,5.9638,4.6617,5.8253
869,1020,ETAD,ETAD-0066-2,2023-04-24,2023-04-25,117.5,7.272,0.3527,2.8526,4.5832,5.1808,5.533,4.5538,5.1808
897,1021,ETAD,ETAD-0067-3,2023-04-27,2023-04-28,225.6,7.272,1.4925,7.8584,11.781,13.2028,13.8087,11.7498,13.2028
898,1022,ETAD,ETAD-0068-4,2023-04-30,2023-05-01,151.7,7.272,1.2618,5.6438,7.3033,9.517,10.3725,10.4389,9.517
899,1023,ETAD,ETAD-0069-5,2023-05-03,2023-05-04,161.5,7.272,0.9271,4.6432,5.1451,8.7249,10.0094,10.3912,8.7249
900,1024,ETAD,ETAD-0070-6,2023-05-06,2023-05-07,260.0,7.272,1.9865,7.8788,8.5179,13.9639,15.8317,17.6138,13.9639
914,1023,ETAD,ETAD-0069-5,2023-05-03,2023-05-04,161.5,7.272,0.8532,4.6559,7.2575,8.1131,8.5669,6.9265,8.1131
