Site,Latitude,Longitude,Barcode,FilterId,SampleDate,FilterType,LotId,AnalysisDate,AnalysisTime,CalibrationSetId,DepositArea_cm2,Volume_m3,Parameter,MassLoading_ug,Concentration,MDL,Uncertainty,FilterComments,DataSource,Concentration_Units,MDL_Units,MassLoading_Units
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,0.55,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,1.62,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,67.2,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.06,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,0.87,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.33,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.21,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.16,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,1.74,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,4.4,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,8.79,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
