time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun
12/1/2022 0:00,10.8,1.1,51,0,NA,50,14.4,NA,1017.9,NA
12/1/2022 1:00,11,1,50,0,NA,50,18.4,NA,1017.9,NA
12/1/2022 2:00,10.3,1.7,55,0,NA,20,11.2,NA,1017.7,NA
12/1/2022 3:00,10.9,-0.3,46,0,NA,50,14.4,NA,1025.6,NA
12/1/2022 4:00,9.2,1.6,59,0,NA,354,7.4,NA,1017.4,NA
12/1/2022 5:00,8.6,1.5,61,0,NA,351,7.4,NA,1017.8,NA
12/1/2022 6:00,7.4,0.6,62,0,NA,260,7.2,NA,1026.3,NA
12/1/2022 7:00,8,2,66,0,NA,330,3.6,NA,1019.3,NA
12/1/2022 8:00,12,1.9,50,0,NA,120,5.4,NA,1019.9,NA
12/1/2022 9:00,15.5,2.6,42,0,NA,100,14.4,NA,1019.9,NA
12/1/2022 10:00,18,3.1,37,0,NA,110,7.6,NA,1018.4,NA
12/1/2022 11:00,20,1.9,30,0,NA,80,20.5,NA,1027,NA
12/1/2022 12:00,20,0.9,28,0,NA,120,9.4,NA,1026,NA
12/1/2022 13:00,22,-0.1,23,0,NA,110,22.3,NA,1025,NA
12/1/2022 14:00,22,-0.7,22,0,NA,80,14.8,NA,1024,NA
12/1/2022 15:00,22.6,0.4,23,0,NA,150,10.8,NA,1023.5,NA
12/1/2022 16:00,22,2.1,27,0,NA,120,18.4,NA,1023,NA
12/1/2022 17:00,20,1.9,30,0,NA,90,22.3,NA,1024,NA
12/1/2022 18:00,17.7,-0.1,30,0,NA,90,18,NA,1024,NA
12/1/2022 19:00,18,0.2,30,0,NA,90,20.5,NA,1024,NA
12/1/2022 20:00,14,-0.1,38,0,NA,70,18.4,NA,1026,NA
12/1/2022 21:00,13.6,0.6,41,0,NA,70,18,NA,1026,NA
12/1/2022 22:00,13.7,0,39,0,NA,62,14.8,NA,1018.5,NA
12/1/2022 23:00,12,0.1,44,0,NA,70,22.3,NA,1018.7,NA
12/2/2022 0:00,12.2,0,43,0,NA,70,25.2,NA,1027.2,NA
12/2/2022 1:00,12,1,47,0,NA,60,22.3,NA,1026,NA
12/2/2022 2:00,11,2,54,0,NA,80,15,NA,1026,NA
