Site,Plot,N,R²,Slope,Intercept
Beijing,HIPS vs Aethalometer,72,0.4042488461722687,0.5868690972498563,0.6282183030464918
Beijing,FTIR EC vs Aethalometer,72,0.2268109563653386,0.6064118411546637,0.6431555350587205
Beijing,HIPS vs FTIR EC,72,0.6508027441552396,0.5847979972799999,0.5746183419643369
Delhi,HIPS vs Aethalometer,25,0.6091680909621695,0.5188236513118069,1.3694577039806353
Delhi,FTIR EC vs Aethalometer,25,0.6078607373509042,0.9421791602340167,-2.335963355173969
Delhi,HIPS vs FTIR EC,25,0.4809348605605457,0.3814721823875335,3.7511229389374523
JPL,HIPS vs Aethalometer,68,0.3261423533036452,0.3760198794004994,0.2783615721171605
JPL,FTIR EC vs Aethalometer,68,0.15067232980674025,0.25842213621771964,0.3533892866097106
JPL,HIPS vs FTIR EC,68,0.42249881313153514,0.6428460679048423,0.19441494116773556
Addis_Ababa,HIPS vs Aethalometer,180,0.6227526281134491,0.26515932092788164,2.787637019262213
Addis_Ababa,FTIR EC vs Aethalometer,180,0.7341964988705258,0.6456173731613956,-0.010507741394101267
Addis_Ababa,HIPS vs FTIR EC,180,0.7853601266878362,0.3951977685910318,2.8708903317799885
