site,lookup_name,lookup_lat,lookup_lon,FilterBased/ChemSpecPM10,FilterBased/ChemSpecPM25,FilterBased/ReconstrPM25,NephelProcd/DailyScaPM10,NephelProcd/DailyScaPM25,NephelProcd/HourlyScaPM10,NephelProcd/HourlyScaPM25,TimeResPM25/DailyEstPM25,TimeResPM25/HourlyEstPM25,hips_sample_filters,hips_blank_filters,n_public_subproducts,in_public,in_hips_data,in_hips_blanks,in_lookup,public_rows,has_hips_samples,status
AEAZ,"AbuDhabi, UAE",24.4416,54.6166,17,150,150,688,628,15729,14138,610,12684,100,20,9,True,True,True,True,52647,True,public + HIPS
AUMN,"Melbourne, Australia",-37.7968,144.96791,13,63,63,696,696,15621,15729,674,15052,106,22,9,True,True,True,True,51542,True,public + HIPS
CAHA,"Halifax, Canada",44.638,-63.594,36,173,173,816,877,13644,18037,759,12671,68,12,9,True,True,True,True,55451,True,public + HIPS
KRSE,"Seoul, Korea",37.56443,126.93479,11,89,89,171,142,1260,3142,123,2665,50,22,9,True,True,True,True,12110,True,public + HIPS
ILNZ,"Rehovot, Israel",31.90724,34.81053,16,288,294,553,533,12327,11833,998,19320,154,22,9,True,True,True,True,60366,True,public + HIPS
KRUL,"Ulsan, Korea",35.582,129.19,20,132,132,324,323,7278,7377,267,5430,122,22,9,True,True,True,True,27993,True,public + HIPS
CHTS,"Beijing, China",40.004,116.326,18,370,370,754,769,12224,15096,1787,35518,202,30,9,True,True,True,True,84610,True,public + HIPS
CASH,"Sherbrooke, Canada",45.37975,-71.93133,18,106,106,2441,2458,46143,51911,2238,39941,58,30,9,True,True,True,True,150670,True,public + HIPS
USNO,"Norman, UnitedStates",35.182,-97.44,2,33,33,677,677,15295,15244,174,3824,57,15,9,True,True,True,True,37178,True,public + HIPS
ZAPR,"Pretoria, South Africa",-25.75661,28.27972,6,269,276,450,385,9565,7794,458,8103,214,42,9,True,True,True,True,40958,True,public + HIPS
MXMC,"MexicoCity, Mexico",19.334,-99.182,11,59,59,823,671,12351,11022,579,8727,57,15,9,True,True,True,True,37338,True,public + HIPS
IDBD,"Bandung, Indonesia",-6.88842,107.61,7,122,122,0,0,0,0,425,5133,62,34,5,True,True,True,True,11018,True,public + HIPS
BDDU,"Dhaka, Bangladesh",23.72839,90.39819,10,111,111,0,0,0,0,232,2753,54,26,5,True,True,True,True,8515,True,public + HIPS
PRFJ,"Fajardo, PuertoRico",18.3845,-65.6199,7,55,55,0,0,0,0,0,0,98,22,3,True,True,True,True,3025,True,public + HIPS
ZAJB,"Johannesburg, South Africa",-26.18466,27.999458,6,212,212,0,0,0,0,0,0,210,54,3,True,True,True,True,10953,True,public + HIPS
BIBU,"Bujumbura, Burundi",-3.38,29.384,5,37,43,0,0,0,0,0,0,67,13,3,True,True,True,True,2087,True,public + HIPS
