site,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
ETAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,6.0,10.0,10.0,11.0,9.0,11.0,10.0,4.0,9.0,10.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,4.0,8.0,2.0,0.0
ZAPR,2.0,9.0,8.0,7.0,8.0,11.0,6.0,7.0,9.0,5.0,9.0,6.0,10.0,11.0,1.0,9.0,11.0,8.0,9.0,9.0,9.0,3.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0
ZAJB,0.0,0.0,0.0,8.0,10.0,7.0,10.0,7.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
TWTA,0.0,0.0,0.0,2.0,11.0,10.0,11.0,10.0,6.0,10.0,8.0,0.0,6.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,4.0,5.0,4.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
CHTS,0.0,0.0,0.0,4.0,4.0,6.0,6.0,7.0,4.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,6.0,9.0,8.0,5.0,0.0,9.0,7.0,3.0,5.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,7.0,0.0,0.0,7.0,14.0,15.0,16.0,15.0,15.0,16.0,15.0,13.0,7.0,7.0
USPA,0.0,0.0,0.0,4.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TWKA,0.0,0.0,0.0,0.0,4.0,11.0,11.0,10.0,11.0,11.0,5.0,0.0,9.0,11.0,10.0,11.0,8.0,0.0,0.0,1.0,11.0,8.0,1.0,4.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
ILNZ,0.0,0.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDH,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,13.0,14.0,13.0,14.0,9.0,13.0,6.0
