site,n,median,mean,p05,p95,max,mdl_median,pct_above_mdl
INJA,71,50.0349899961845,53.619016436591245,23.6919917414724,81.580693017335,129.383865061271,3.14,97.26
INDH,152,49.41801088003365,63.272024251226654,8.521794144537887,145.95596349539298,225.518313011057,3.17,79.26
ETAD,239,47.1102703151104,48.68527739844609,33.879361768825405,68.18354109485537,86.6052507841107,1.56,100.0
BDDU,54,38.6832572854055,46.667350983936544,31.645902314334105,82.5561037975467,94.1930088973466,1.57,100.0
BIBU,59,36.2746093428875,40.465188760153424,26.31442527747708,60.41603777820806,78.0358378911711,1.55,88.06
IDBD,54,29.470970034979,29.993595432489794,16.6478325991365,41.37422300120819,55.7538369916179,1.57,87.1
AEAZ,89,28.9329332821338,30.079681386094542,14.919034215319721,45.01157353735972,108.114279871528,1.57,89.0
ETBI,26,26.939494126990347,27.427311705914427,19.967424510376226,37.9177037930966,42.0609896727157,1.57,100.0
ZAJB,210,24.01328518837925,24.85917747767189,10.604131503776005,39.84925171110689,48.6005818040239,1.57,100.0
CLST,167,20.8304393996145,25.418519016603344,9.911806611848721,51.48071777135924,70.9017115033549,1.59,97.66
MXMC,57,20.4698450307075,21.288390866247497,14.44256218202838,29.608631310560018,32.902018616974,1.54,100.0
ZAPR,211,19.7817376321477,21.442976053842255,7.09272767387792,40.82786058567285,96.6289028806307,1.57,98.6
TWKA,157,13.4983709053987,13.52701453706558,4.71454741016248,21.826346309468676,25.2253095477778,1.6,98.74
CHTS,192,12.95663941938475,14.54872926456685,4.143654551653884,27.886959295518214,37.9174326568654,1.6,94.55
KRSE,44,11.92373305488225,12.234125728330763,7.096551120135659,19.21508455872334,23.3316878204161,1.6,88.0
ILNZ,154,10.05126654509801,11.734732027300128,4.061613901853305,23.979407034702394,28.5234253835954,1.58,100.0
CLTA,84,8.77373021511603,13.5864026874085,4.016105530814773,35.06878882145224,45.445351810929,1.62,88.1
USSL,42,8.563214529745949,9.958572981285844,3.8382581870655375,19.789376597122953,28.2454711064886,1.54,100.0
TWTA,202,8.22503731199724,8.407040179871482,2.980082889019613,14.822138639959439,25.0773065766897,1.57,97.56
KRUL,122,6.542490565547405,6.895002399864823,2.853489661676528,11.108225137932614,21.9964343185533,1.57,95.9
ILHA,149,6.39489386914526,8.207882674600627,2.856984382080574,17.575308441434377,26.936218397164,1.62,93.51
USPA,158,4.616421623835385,4.608643313662612,1.337463934528865,8.08236050519254,10.3943902598098,1.57,93.04
AUMN,86,4.41912413974721,5.232513423837281,2.287363451458595,11.265507030912524,15.0393041392025,1.69,75.47
USNO,49,2.92428098014793,3.1760962881066277,1.159845188706226,5.5263318018737655,6.74331114199739,1.55,77.19
CASH,53,2.71593958178954,2.5862898773958727,0.114877269375164,4.471404158513903,5.36110803871399,0.82,74.14
CAHA,59,2.06427791070399,2.4579424692153613,0.7639043237934382,5.228350029285527,8.1577239796706,0.83,75.0
PRFJ,79,0.759965741125498,0.9263176723237032,0.1623586726394668,2.5095156840101507,3.38121925994891,1.55,25.51
