SiteCode,n,Fabs_EC_med,OC_EC_med,SiteName,State,dist_to_ETAD
NEYO1,682,8.965606493378552,1.3208392434526748,Is 52,NY,1.0694634081480456
WASH1,1304,10.99294730214569,2.225515541792295,Washington D.C.,DC,1.2518057646978071
RUBI1,103,8.955816910362365,2.0936828534593896,Rubidoux,CA,1.2996065914851704
CHIC1,213,10.066365612978759,2.5308072763852794,Chicago,IL,1.5213143671241658
BALT1,290,9.5607661197295,2.5035934329459506,Baltimore,MD,1.550281600586339
DETR1,192,10.01734584157882,2.5865458519588422,Detroit,MI,1.5926209007764611
BYIS1,515,10.534591194968552,2.6469788428062944,Baengnyeong Island,,1.6842864370242354
BIRM1,2294,10.040842240390713,2.8294277531525136,North Birmingham,AL,1.877511762815082
BRET1,236,10.567579287213785,2.9950882270974555,Breton,LA,2.0773730516930016
ZION1,182,10.521670167663196,3.0462917933130704,Zion,UT,2.1268173929782184
PITT1,806,10.469874864867561,3.0701468332713313,Lawrenceville,PA,2.147479631874794
OLTO1,382,9.436727665131963,3.1100640640536312,Old Town,ME,2.2430523465070062
ATLA1,828,9.374421129372747,3.2836335094685785,South Dekalb,GA,2.4228506349161325
MKGO1,944,9.84725865303717,3.3572240305267047,M.K. Goddard,PA,2.431755938869836
NOGA1,1010,13.352041971235606,2.4477258861760274,Nogales,AZ,2.451846503296416
