Site,site_name,n,median,p25,p75,max
INJA,"Jaipur, India",71,50.03,39.03,66.73,129.38
INDH,"Delhi, India",152,49.42,28.26,89.94,225.52
ETAD,"AddisAbaba, Ethiopia",233,46.84,40.24,55.29,74.19
BDDU,"Dhaka, Bangladesh",58,39.16,35.06,56.65,94.19
BIBU,"Bujumbura, Burundi",53,36.11,30.35,49.29,68.24
IDBD,"Bandung, Indonesia",47,29.07,24.85,33.11,42.55
AEAZ,"AbuDhabi, UAE",72,28.43,25.34,31.28,108.11
ETBI,"Bishoftu, Ethiopia",26,26.94,21.79,32.36,42.06
ZAJB,"Johannesburg, South Africa",205,23.89,18.64,31.26,inf
CLST,"Santiago, Chile",167,20.83,15.34,34.36,70.9
MXMC,"MexicoCity, Mexico",50,20.43,18.0,24.72,30.8
ZAPR,"Pretoria, South Africa",213,19.97,12.96,28.51,inf
TWKA,"Kaohsiung, Taiwan",154,13.53,9.79,17.5,25.23
CHTS,"Beijing, China",184,12.94,9.37,18.85,37.92
KRSE,"Seoul, Korea",38,11.56,9.8,12.91,21.28
ILNZ,"Rehovot, Israel",148,9.82,7.13,15.77,28.52
CLTA,"Talca, Chile",84,8.77,6.68,18.54,45.45
USSL,"StLouis, UnitedStates",42,8.56,7.14,11.86,28.25
TWTA,"Taipei, Taiwan",200,8.23,5.21,11.07,inf
KRUL,"Ulsan, Korea",105,6.48,4.65,8.49,22.0
ILHA,"Haifa, Israel",152,6.48,4.68,11.06,inf
USPA,"Pasadena, UnitedStates",158,4.62,3.22,5.97,10.39
AUMN,"Melbourne, Australia",75,4.43,3.0,6.81,15.04
USNO,"Norman, UnitedStates",44,3.05,2.02,4.06,6.74
CASH,"Sherbrooke, Canada",47,2.63,1.9,3.24,5.36
CAHA,"Halifax, Canada",58,2.27,1.6,2.92,inf
PRFJ,"Fajardo, PuertoRico",81,0.72,0.29,1.14,3.38
