metric,Site,n,median,pct_within_IMPROVE_p05_p95,pct_above_IMPROVE_p95
PM25_mass_ug,AUMN,51,38.2,100.0,0.0
PM25_mass_ug,CLTA,82,39.69,89.02,1.22
PM25_mass_ug,CAHA,40,41.02,100.0,0.0
PM25_mass_ug,USNO,23,43.51,100.0,0.0
PM25_mass_ug,PRFJ,40,46.07,100.0,0.0
PM25_mass_ug,USPA,156,46.96,94.87,0.0
PM25_mass_ug,CASH,29,57.55,96.55,0.0
PM25_mass_ug,TWTA,193,59.47,98.96,0.0
PM25_mass_ug,KRUL,97,82.39,98.97,1.03
PM25_mass_ug,CLST,163,82.97,96.93,3.07
PM25_mass_ug,ILHA,137,83.32,100.0,0.0
PM25_mass_ug,ILNZ,142,91.29,100.0,0.0
PM25_mass_ug,ZAPR,190,108.66,100.0,0.0
PM25_mass_ug,TWKA,153,110.29,100.0,0.0
PM25_mass_ug,ZAJB,202,113.58,99.5,0.0
PM25_mass_ug,INJA,47,118.01,95.74,4.26
PM25_mass_ug,MXMC,30,121.87,100.0,0.0
PM25_mass_ug,CHTS,171,130.61,85.96,14.04
PM25_mass_ug,KRSE,32,148.23,96.88,3.12
PM25_mass_ug,ETAD,232,148.24,99.57,0.43
PM25_mass_ug,IDBD,19,161.42,100.0,0.0
PM25_mass_ug,BDDU,46,193.32,93.48,6.52
PM25_mass_ug,AEAZ,63,194.67,87.3,12.7
PM25_mass_ug,INDH,109,197.22,81.65,18.35
PM25_mass_ug,BIBU,34,197.64,79.41,20.59
EC_mass_ug,PRFJ,40,1.3,95.0,0.0
EC_mass_ug,CLTA,80,2.46,87.5,12.5
EC_mass_ug,AUMN,50,2.85,98.0,0.0
EC_mass_ug,CAHA,39,2.91,92.31,0.0
EC_mass_ug,USNO,23,3.02,100.0,0.0
EC_mass_ug,USPA,155,3.45,100.0,0.0
EC_mass_ug,CASH,29,3.89,96.55,0.0
EC_mass_ug,ILHA,135,3.99,100.0,0.0
EC_mass_ug,KRUL,97,4.25,97.94,1.03
EC_mass_ug,TWTA,193,4.59,100.0,0.0
EC_mass_ug,ILNZ,142,5.05,98.59,1.41
EC_mass_ug,KRSE,32,6.5,100.0,0.0
EC_mass_ug,TWKA,153,7.83,98.69,1.31
EC_mass_ug,CHTS,168,8.69,87.5,11.9
EC_mass_ug,CLST,163,8.8,69.94,30.06
EC_mass_ug,AEAZ,63,10.62,87.3,12.7
EC_mass_ug,INJA,47,11.2,85.11,14.89
EC_mass_ug,ZAPR,190,11.37,78.42,21.58
EC_mass_ug,MXMC,30,13.59,83.33,16.67
EC_mass_ug,ZAJB,202,13.86,74.75,25.25
EC_mass_ug,BDDU,46,18.5,45.65,54.35
EC_mass_ug,INDH,108,19.84,45.37,54.63
EC_mass_ug,IDBD,19,19.94,36.84,63.16
EC_mass_ug,BIBU,34,25.02,23.53,76.47
EC_mass_ug,ETAD,232,30.32,10.34,89.66
EC_frac_pct,PRFJ,40,2.79,92.5,0.0
EC_frac_pct,ILHA,135,5.15,88.89,8.89
EC_frac_pct,AEAZ,63,5.16,95.24,3.17
EC_frac_pct,KRUL,97,5.54,97.94,1.03
EC_frac_pct,KRSE,32,5.69,100.0,0.0
EC_frac_pct,ILNZ,142,6.05,84.51,14.08
EC_frac_pct,CAHA,39,6.25,66.67,28.21
EC_frac_pct,CASH,29,6.49,79.31,20.69
EC_frac_pct,USPA,155,7.03,83.87,16.13
EC_frac_pct,CHTS,168,7.04,93.45,4.17
EC_frac_pct,CLTA,80,7.19,71.25,28.75
EC_frac_pct,AUMN,50,7.24,82.0,18.0
EC_frac_pct,USNO,23,7.39,78.26,21.74
EC_frac_pct,TWTA,193,7.48,84.97,15.03
EC_frac_pct,TWKA,153,7.54,86.93,13.07
EC_frac_pct,INJA,47,8.13,65.96,34.04
EC_frac_pct,INDH,108,8.63,72.22,27.78
EC_frac_pct,BDDU,46,9.29,58.7,41.3
EC_frac_pct,ZAPR,190,10.87,47.37,52.63
EC_frac_pct,CLST,163,11.43,44.79,55.21
EC_frac_pct,BIBU,34,12.18,8.82,91.18
EC_frac_pct,ZAJB,202,12.26,28.71,71.29
EC_frac_pct,MXMC,30,12.28,30.0,70.0
EC_frac_pct,IDBD,19,13.13,10.53,89.47
EC_frac_pct,ETAD,232,21.01,0.43,99.57
