site,n,median,p25,p75,network,ratio
MAPA1,81,8.147025388404698,6.314580941446613,11.712749615975422,IMPROVE,Fabs_EC
PETE1,439,8.402725208175626,5.119156679816279,13.905162222514122,IMPROVE,Fabs_EC
RUBI1,103,8.955816910362365,7.479192663096983,10.48520772696575,IMPROVE,Fabs_EC
NEYO1,682,8.965606493378552,7.689507510797872,10.765758903683343,IMPROVE,Fabs_EC
SAWT1,2175,9.116022099447514,6.350601747118558,13.087206990354128,IMPROVE,Fabs_EC
COHI1,411,9.313725490196079,7.841889371211616,11.047092358479258,IMPROVE,Fabs_EC
HAVO1,1774,9.32768361581921,4.992244291667214,18.253968253968253,IMPROVE,Fabs_EC
MONT1,2252,9.33388580532429,6.4279585972530775,12.948802914906715,IMPROVE,Fabs_EC
PASA1,2055,9.367016747090549,6.3229615763667395,13.834089516345733,IMPROVE,Fabs_EC
ATLA1,828,9.374421129372747,7.961262093623739,11.074935538383862,IMPROVE,Fabs_EC
SIKE1,896,9.42166015500809,7.711583497884008,11.725605445260834,IMPROVE,Fabs_EC
OLTO1,382,9.436727665131963,7.850403695677402,11.439273711725168,IMPROVE,Fabs_EC
SULA1,2035,9.44064196365353,6.37172326708356,13.37118858153341,IMPROVE,Fabs_EC
GAMO1,1576,9.46312420807361,6.5069174537741805,13.606441978837168,IMPROVE,Fabs_EC
LIVO1,926,9.465876750557396,7.6953819476662675,11.4575090554472,IMPROVE,Fabs_EC
BRLA1,94,9.499997540965282,6.759855259721075,12.5787025685894,IMPROVE,Fabs_EC
ADPI1,888,9.509411746134798,7.868392588420341,11.665162583298757,IMPROVE,Fabs_EC
BALT1,290,9.5607661197295,7.745303877013912,11.013125316279895,IMPROVE,Fabs_EC
FLAT1,2275,9.605357044843297,7.034953401946707,13.114502356305634,IMPROVE,Fabs_EC
NOCA1,2061,9.703302855010264,6.28997867803838,14.092626993786434,IMPROVE,Fabs_EC
SPOK1,246,9.74381721984737,7.506494888566827,12.86922703066067,IMPROVE,Fabs_EC
CADI1,900,9.791198474044506,8.02151734450805,11.88003310741332,IMPROVE,Fabs_EC
MKGO1,944,9.84725865303717,8.246253873655142,11.664226903073986,IMPROVE,Fabs_EC
TRCR1,2287,9.896907216494844,5.973856036374211,16.152812376402668,IMPROVE,Fabs_EC
CABI1,2286,9.96895135771167,7.3181113479693245,13.551702484185366,IMPROVE,Fabs_EC
DETR1,192,10.01734584157882,8.301053171768537,12.34977206438905,IMPROVE,Fabs_EC
BLIS2,434,10.028609576310505,7.227593627612128,13.674356770087286,IMPROVE,Fabs_EC
BIRM1,2294,10.040842240390713,7.964681358866994,12.38147580738775,IMPROVE,Fabs_EC
CHIC1,213,10.066365612978759,8.387555917039446,12.035243198680956,IMPROVE,Fabs_EC
AREN1,939,10.14136447449293,8.16103782771005,12.608218761538629,IMPROVE,Fabs_EC
YELL2,2255,10.2184637068358,6.883237207882965,14.2402158331167,IMPROVE,Fabs_EC
LASU1,212,10.233971316758991,8.210523371025642,12.84852038327,IMPROVE,Fabs_EC
NOAB1,1897,10.365379632029024,6.741573033707865,15.122089552238805,IMPROVE,Fabs_EC
KALM1,2428,10.442738705552111,7.628188498443693,14.365362664911347,IMPROVE,Fabs_EC
PITT1,806,10.469874864867561,8.920014026646449,12.193228986536177,IMPROVE,Fabs_EC
BRMA1,1493,10.503007518796991,8.324914124065469,12.9945625,IMPROVE,Fabs_EC
VOYA2,2352,10.50324256675934,7.617264115209759,13.884611979248735,IMPROVE,Fabs_EC
ZION1,182,10.521670167663196,8.897849271566432,12.069255352304332,IMPROVE,Fabs_EC
TRIN1,2002,10.533279173948404,7.591691701844151,14.253934004469615,IMPROVE,Fabs_EC
LIGO1,2505,10.534591194968552,8.61095071925288,12.9582806573957,IMPROVE,Fabs_EC
BYIS1,515,10.534591194968552,8.450794382670187,12.8361554255007,IMPROVE,Fabs_EC
LABE1,2237,10.555555555555557,7.286482627320324,14.465408805031446,IMPROVE,Fabs_EC
BRET1,236,10.567579287213785,8.321459595186168,14.132206183501212,IMPROVE,Fabs_EC
FCPC1,939,10.572421084428333,8.53674285687648,13.598470956048022,IMPROVE,Fabs_EC
LYBR1,1014,10.58538872520361,8.133819040125886,13.561504328217065,IMPROVE,Fabs_EC
STAR1,2388,10.602399776586893,7.511490584416379,14.515560044108263,IMPROVE,Fabs_EC
BRID1,2260,10.62059679426654,7.086215690650005,15.418541131105398,IMPROVE,Fabs_EC
EGBE1,2236,10.62782495548555,8.831341326452264,12.793350378315456,IMPROVE,Fabs_EC
MOZI1,2174,10.665566105448804,7.442614861032332,15.318730910629387,IMPROVE,Fabs_EC
YOSE1,2351,10.665897953300663,7.7422589889425,13.968327411936436,IMPROVE,Fabs_EC
SHEN1,2492,10.697044086454287,8.44284645299557,13.285222099175586,IMPROVE,Fabs_EC
DINO1,705,10.749385749385748,8.451554482342287,14.052978485263026,IMPROVE,Fabs_EC
HECA1,2287,10.80246913580247,8.097417663781567,13.784980543402893,IMPROVE,Fabs_EC
THSI1,2187,10.830324909747292,7.592868334930866,14.814814814814815,IMPROVE,Fabs_EC
ISLE1,2389,10.838445807770961,8.027603689880994,14.278799612778316,IMPROVE,Fabs_EC
ULBE1,2097,10.849517196484756,7.659256491686904,14.870180959874116,IMPROVE,Fabs_EC
WHPA1,1959,10.860927152317881,7.006369426751593,15.901508462915011,IMPROVE,Fabs_EC
TUXE1,965,10.951188986232792,6.160458452722063,20.32520325203252,IMPROVE,Fabs_EC
BOWA1,2308,10.962767145933544,7.879640448395347,14.640756936122447,IMPROVE,Fabs_EC
WASH1,1304,10.99294730214569,8.992126642357878,13.103802303747448,IMPROVE,Fabs_EC
GRSM1,2537,11.005909888823874,9.015652892561983,13.440378481058028,IMPROVE,Fabs_EC
SOGP1,590,11.013306426975273,9.301060222523589,13.15572768262638,IMPROVE,Fabs_EC
SENE1,2453,11.034482758620689,8.37129840546697,14.233576642335766,IMPROVE,Fabs_EC
QUCI1,2540,11.086986752194314,9.334226716066576,13.016636596287317,IMPROVE,Fabs_EC
CLPE1,1171,11.095305832147938,7.389481882552666,16.164011806862632,IMPROVE,Fabs_EC
GRGU1,2374,11.11111111111111,8.28491082296793,14.547363347231279,IMPROVE,Fabs_EC
DENA1,2092,11.111943698381285,6.632016053532549,18.079103745297935,IMPROVE,Fabs_EC
MORA1,2418,11.15410800238496,8.2253135340968,14.426592003239497,IMPROVE,Fabs_EC
PMRF1,2561,11.196451344607707,8.906666666666666,13.946015424164525,IMPROVE,Fabs_EC
OLYM1,2475,11.19800924280128,7.957090309037364,15.596496657382541,IMPROVE,Fabs_EC
GLAC1,2482,11.20263018684155,9.12426727756747,13.42282896863081,IMPROVE,Fabs_EC
CRLA1,2335,11.214953271028037,7.985630564988101,15.171895251186914,IMPROVE,Fabs_EC
LASU2,2087,11.233053582956746,9.263047646341523,13.320249171237641,IMPROVE,Fabs_EC
LAVO1,2277,11.234866828087167,7.894454713493531,15.12367491166078,IMPROVE,Fabs_EC
CACR1,2474,11.238492677531298,9.222090098955771,13.837959264716451,IMPROVE,Fabs_EC
BOND1,2568,11.247165901628742,9.40062863011141,13.15763844227881,IMPROVE,Fabs_EC
CABA1,2512,11.260838476278002,9.151941559660784,13.52773114659999,IMPROVE,Fabs_EC
ACAD1,2543,11.279908849221423,8.649150723038197,14.79920409177988,IMPROVE,Fabs_EC
NOCH1,2300,11.290604385166507,8.004715925783385,15.223747472433836,IMPROVE,Fabs_EC
DOSO1,2598,11.2923151547846,9.21105707345798,13.806813398115121,IMPROVE,Fabs_EC
BALA1,613,11.330506228465412,8.34403080872914,14.489990467111536,IMPROVE,Fabs_EC
SIPS1,2372,11.346182989957965,9.332213636802123,13.626118507270453,IMPROVE,Fabs_EC
CRMO1,2314,11.44601463832166,8.25228554755884,16.481879368729714,IMPROVE,Fabs_EC
JARI1,2582,11.499037030951925,9.604120701986657,13.575799074220692,IMPROVE,Fabs_EC
VILA1,2305,11.499647969960103,9.429228517666736,13.59506138586391,IMPROVE,Fabs_EC
