Site,Fe,Fe_Fabs,Fe_EC,Fe_PM_pct,Fabs,matched_n
PRFJ,0.0498,0.0796,0.3377,1.2409,0.5236,40
CHTS,0.3441,0.0263,0.2612,1.9044,12.8651,171
KRUL,0.1481,0.0225,0.2374,1.2618,6.5238,97
KRSE,0.1989,0.0173,0.1914,1.0852,11.8989,32
USPA,0.071,0.016,0.1565,1.0666,4.6284,156
AEAZ,0.4398,0.0152,0.2361,1.2409,27.9526,63
TWKA,0.1876,0.014,0.1557,1.1225,13.5543,153
ILNZ,0.1178,0.0115,0.1547,0.9918,9.638,142
ILHA,0.0781,0.0109,0.1385,0.6627,6.3276,137
CLST,0.2047,0.0108,0.1527,1.6715,20.6544,163
INDH,0.6566,0.0106,0.0921,0.9433,62.923,109
USNO,0.0374,0.0104,0.0771,0.6877,3.6134,23
TWTA,0.0793,0.0102,0.1265,0.9957,8.281,193
CASH,0.0288,0.0101,0.1154,0.8011,2.8696,29
AUMN,0.0436,0.01,0.1249,0.9288,3.9737,51
INJA,0.3567,0.0082,0.1142,1.0806,44.9797,47
CAHA,0.0142,0.0075,0.0816,0.4693,1.9782,40
ETAD,0.3,0.0065,0.0688,1.4414,46.7735,232
CLTA,0.0713,0.0065,0.1513,1.0157,8.7737,82
BDDU,0.2337,0.0061,0.0834,0.7744,37.2465,46
ZAPR,0.1102,0.0056,0.0691,0.7244,20.2686,190
ZAJB,0.1032,0.0042,0.0512,0.6153,23.9263,202
MXMC,0.0816,0.0038,0.045,0.5195,21.4411,30
BIBU,0.1236,0.0033,0.0318,0.4156,33.9994,34
IDBD,0.0629,0.0023,0.0231,0.3283,26.1848,19
