group,ratio,n,median,p25,p75
IMPROVE,OC / EC,511722,5.216,3.643,7.73
ETAD,OC / EC,232,1.345,1.254,1.425
INDH,OC / EC,108,2.424,2.057,2.777
CHTS,OC / EC,168,2.767,2.19,3.31
USPA,OC / EC,155,3.946,3.258,5.186
IMPROVE,fAbs / EC,379697,11.965,9.05,15.591
ETAD,fAbs / EC,232,10.969,8.496,13.001
INDH,fAbs / EC,108,9.337,8.165,11.385
CHTS,fAbs / EC,168,10.318,7.958,12.582
USPA,fAbs / EC,155,9.926,7.776,12.421
IMPROVE,Fe / PM₂.₅,528086,0.62,0.307,1.224
ETAD,Fe / PM₂.₅,232,1.441,1.181,1.689
INDH,Fe / PM₂.₅,109,0.943,0.548,1.49
CHTS,Fe / PM₂.₅,171,1.904,1.312,2.639
USPA,Fe / PM₂.₅,156,1.067,0.776,1.549
