product,subproduct,site,rows,n_samples,date_min,date_max,span_days,expected_samples,completeness_pct,mean_interval_h,median_interval_h,p95_interval_h,max_gap_days,notes
FilterBased,ChemSpecPM10,AEAZ,618,17.0,2019-04-26,2023-06-22,1518.0,170.0,10.0,2277.0,1836.0,4600.5,263.1,
FilterBased,ChemSpecPM10,ARCB,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,AUMN,447,13.0,2022-08-09,2026-01-13,1253.0,140.0,9.3,2506.0,1299.5,6889.2,343.3,
FilterBased,ChemSpecPM10,BDDU,342,10.0,2019-11-06,2024-04-28,1635.0,183.0,5.5,4360.0,408.0,16164.6,835.9,
FilterBased,ChemSpecPM10,BIBU,180,5.0,2023-05-04,2024-03-28,329.1,38.0,13.3,1974.75,1536.0,3086.4,140.0,
FilterBased,ChemSpecPM10,CADO,417,12.0,2017-07-19,2019-06-20,701.1,79.0,15.2,1529.73,1536.0,2451.0,114.0,
FilterBased,ChemSpecPM10,CAHA,1113,36.0,2017-06-28,2023-08-22,2246.1,251.0,14.4,1540.17,1368.0,4388.4,342.0,
FilterBased,ChemSpecPM10,CAKE,136,4.0,2017-11-02,2019-01-12,436.0,49.0,8.1,3488.0,3429.0,5594.4,243.1,
FilterBased,ChemSpecPM10,CALE,130,7.0,2017-08-26,2019-07-08,681.4,77.0,9.1,2725.5,1576.5,6882.0,353.0,
FilterBased,ChemSpecPM10,CASH,569,18.0,2017-08-25,2023-04-30,2074.1,231.0,7.8,2928.18,1868.0,6340.8,286.0,
FilterBased,ChemSpecPM10,CHTS,671,18.0,2017-07-27,2024-08-22,2583.1,288.0,6.2,3646.76,1656.0,14373.6,722.0,
FilterBased,ChemSpecPM10,CLST,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,CLTA,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,ETAD,250,6.0,2024-08-07,2025-06-18,315.0,36.0,16.7,1512.0,1512.0,1646.4,70.0,
FilterBased,ChemSpecPM10,IDBD,219,7.0,2019-09-06,2024-09-21,1842.0,206.0,3.4,7368.0,4044.0,20874.0,1065.0,
FilterBased,ChemSpecPM10,ILHA,174,4.0,2024-05-01,2025-02-03,278.0,32.0,12.5,2224.0,1320.0,3760.8,168.0,
FilterBased,ChemSpecPM10,ILNZ,608,16.0,2017-07-17,2024-12-27,2720.0,303.0,5.3,4352.0,2430.0,14992.8,1107.0,
FilterBased,ChemSpecPM10,INDH,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,INJA,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,INKA,110,3.0,2021-07-14,2022-04-01,260.6,30.0,10.0,3127.5,3127.5,3328.65,139.6,
FilterBased,ChemSpecPM10,KRSE,337,11.0,2019-05-02,2023-03-31,1429.0,160.0,6.9,3429.6,2124.0,7363.2,323.0,
FilterBased,ChemSpecPM10,KRUL,753,20.0,2021-09-04,2024-11-16,1169.0,131.0,15.3,1476.63,1296.0,2594.4,109.0,
FilterBased,ChemSpecPM10,MXMC,364,11.0,2021-08-27,2026-01-09,1596.0,178.0,6.2,3830.4,2412.0,10079.85,632.0,
FilterBased,ChemSpecPM10,NGIL,427,12.0,2018-12-29,2021-11-23,1060.0,119.0,10.1,2312.73,1776.0,4392.0,199.0,
FilterBased,ChemSpecPM10,PHMO,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,PRFJ,210,7.0,2021-03-18,2025-10-09,1666.0,186.0,3.8,6664.0,3084.0,18858.0,928.0,
FilterBased,ChemSpecPM10,SGSU,77,2.0,2019-06-19,2019-08-23,65.0,8.0,24.3,1560.0,1560.0,1560.0,65.0,
FilterBased,ChemSpecPM10,TWKA,116,3.0,2024-04-18,2025-10-14,544.0,61.0,4.9,6528.0,6528.0,11215.2,489.0,
FilterBased,ChemSpecPM10,TWTA,118,4.0,2024-04-17,2025-11-16,578.0,65.0,6.1,4624.0,1560.0,10027.2,457.0,
FilterBased,ChemSpecPM10,USBO,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,USMC,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,USNO,36,2.0,2023-02-22,2024-01-25,337.0,38.0,5.2,8088.0,8088.0,8088.0,337.0,
FilterBased,ChemSpecPM10,USPA,0,,,,,,,,,,,no_datetime
FilterBased,ChemSpecPM10,VNHN,212,6.0,2017-10-28,2020-10-05,1072.9,120.0,5.0,5149.8,4491.0,9779.4,445.9,
FilterBased,ChemSpecPM10,ZAJB,229,6.0,2024-01-15,2025-08-19,582.0,66.0,9.1,2793.6,1344.0,7704.0,386.0,
FilterBased,ChemSpecPM10,ZAPR,216,6.0,2021-02-12,2025-09-23,1684.0,188.0,3.2,8083.2,2880.0,24840.0,1245.0,
FilterBased,ChemSpecPM25,AEAZ,5711,150.0,2019-04-26,2024-12-02,2047.0,228.0,65.7,329.72,216.0,950.4,82.0,
FilterBased,ChemSpecPM25,ARCB,1492,43.0,2014-10-02,2016-10-13,742.0,83.0,51.5,424.0,216.0,859.2,185.1,
FilterBased,ChemSpecPM25,AUMN,1986,63.0,2022-11-28,2026-02-27,1186.6,133.0,47.4,459.34,216.0,1285.2,294.0,
FilterBased,ChemSpecPM25,BDDU,3932,111.0,2013-10-24,2024-05-25,3866.0,431.0,25.8,843.5,216.0,1314.0,1756.1,
FilterBased,ChemSpecPM25,BIBU,1420,37.0,2022-12-09,2024-08-01,601.0,68.0,54.6,400.67,216.0,1380.0,128.0,
FilterBased,ChemSpecPM25,CADO,2537,70.0,2017-07-12,2019-08-04,752.9,85.0,82.7,261.87,216.0,729.6,54.0,
FilterBased,ChemSpecPM25,CAHA,5630,173.0,2017-06-28,2024-02-05,2412.9,269.0,64.3,336.68,216.0,1147.2,351.0,
FilterBased,ChemSpecPM25,CAKE,618,18.0,2017-11-02,2019-02-26,481.0,54.0,33.1,679.06,216.0,3249.6,249.0,
FilterBased,ChemSpecPM25,CALE,720,31.0,2017-08-26,2019-08-23,727.0,82.0,37.9,581.57,220.0,1437.75,309.0,
FilterBased,ChemSpecPM25,CASH,3734,106.0,2017-06-28,2024-08-15,2605.0,290.0,36.5,595.43,216.0,1963.2,393.0,
FilterBased,ChemSpecPM25,CHTS,13519,370.0,2013-06-28,2024-10-06,4118.0,459.0,80.7,267.84,72.0,638.4,563.0,
FilterBased,ChemSpecPM25,CLST,6031,163.0,2024-11-05,2026-02-21,473.0,54.0,304.4,70.07,48.0,96.0,75.2,
FilterBased,ChemSpecPM25,CLTA,2523,82.0,2025-07-25,2026-02-25,215.0,25.0,329.5,63.7,48.0,96.0,35.0,
FilterBased,ChemSpecPM25,ETAD,9115,246.0,2022-12-07,2026-03-01,1180.0,132.0,186.2,115.59,72.0,216.0,111.0,
FilterBased,ChemSpecPM25,IDBD,3959,122.0,2014-01-10,2025-05-27,4155.0,463.0,26.4,824.13,216.0,1728.0,1203.0,
FilterBased,ChemSpecPM25,ILHA,7081,178.0,2022-02-16,2025-07-14,1244.0,139.0,127.9,168.68,72.0,244.8,320.0,
FilterBased,ChemSpecPM25,ILNZ,10812,288.0,2015-02-13,2025-02-10,3649.9,407.0,70.8,305.22,72.0,892.7,296.0,
FilterBased,ChemSpecPM25,INDH,3725,110.0,2024-03-05,2026-02-11,708.0,80.0,138.1,155.89,48.0,168.0,358.0,
FilterBased,ChemSpecPM25,INJA,1699,47.0,2025-04-13,2026-02-03,296.0,34.0,138.7,154.43,48.0,558.0,81.0,
FilterBased,ChemSpecPM25,INKA,1434,40.0,2013-12-16,2022-05-16,3073.0,342.0,11.7,1891.08,216.0,2816.7,2492.4,
FilterBased,ChemSpecPM25,KRSE,3234,89.0,2019-05-02,2023-12-31,1704.0,190.0,46.8,464.73,216.0,1396.8,278.0,
FilterBased,ChemSpecPM25,KRUL,4770,132.0,2021-10-28,2026-03-04,1588.0,177.0,74.4,290.93,216.0,432.0,158.0,
FilterBased,ChemSpecPM25,MXMC,2104,59.0,2021-02-26,2026-02-23,1823.0,204.0,29.0,754.34,216.0,2319.6,587.0,
FilterBased,ChemSpecPM25,NGIL,2193,67.0,2014-06-20,2026-02-26,4269.0,475.0,14.1,1552.36,216.0,5338.0,1484.1,
FilterBased,ChemSpecPM25,PHMO,420,12.0,2014-05-01,2015-10-13,529.6,60.0,20.1,1155.55,216.0,4219.5,251.0,
