subproduct,parameter,n_filters_with_value,n_total_filters_at_site,param_completeness_pct,n_above_mdl,frac_above_mdl_pct,date_min,date_max
ChemSpecPM10,Aluminum PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Ammonium Ion PM10,6,6,100.0,7,116.7,2024-08-07,2025-06-18
ChemSpecPM10,Antimony PM10,6,6,100.0,4,66.7,2024-08-07,2025-06-18
ChemSpecPM10,Arsenic PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,BC PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Cadmium PM10,6,6,100.0,4,66.7,2024-08-07,2025-06-18
ChemSpecPM10,Calcium Ion PM10,6,6,100.0,3,50.0,2024-08-07,2025-06-18
ChemSpecPM10,Calcium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Cerium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Chlorine PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Chromium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Cobalt PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Copper PM10,6,6,100.0,3,50.0,2024-08-07,2025-06-18
ChemSpecPM10,Iron PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Lead PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Magnesium Ion PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Magnesium PM10,6,6,100.0,5,83.3,2024-08-07,2025-06-18
ChemSpecPM10,Manganese PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Nickel PM10,6,6,100.0,3,50.0,2024-08-07,2025-06-18
ChemSpecPM10,Nitrate Ion PM10,6,6,100.0,9,150.0,2024-08-07,2025-06-18
ChemSpecPM10,PM10 mass,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Potassium Ion PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Potassium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Rubidium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Selenium PM10,6,6,100.0,5,83.3,2024-08-07,2025-06-18
ChemSpecPM10,Silicon PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Sodium Ion PM10,6,6,100.0,4,66.7,2024-08-07,2025-06-18
ChemSpecPM10,Sodium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Strontium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Sulfate Ion PM10,6,6,100.0,7,116.7,2024-08-07,2025-06-18
ChemSpecPM10,Sulfur PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Tin PM10,6,6,100.0,4,66.7,2024-08-07,2025-06-18
ChemSpecPM10,Titanium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Vanadium PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Zinc PM10,6,6,100.0,6,100.0,2024-08-07,2025-06-18
ChemSpecPM10,Nitrite Ion PM10,5,6,83.3,2,40.0,2024-08-07,2025-06-18
ChemSpecPM10,EC PM10,1,6,16.7,1,100.0,2024-08-07,2025-06-18
ChemSpecPM10,OC PM10,1,6,16.7,1,100.0,2024-08-07,2025-06-18
ChemSpecPM25,Filter PM2.5 mass,246,246,100.0,246,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Aluminum PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Antimony PM2.5,232,246,94.3,158,68.1,2022-12-07,2026-03-01
ChemSpecPM25,Arsenic PM2.5,232,246,94.3,231,99.6,2022-12-07,2026-03-01
ChemSpecPM25,BC PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Cadmium PM2.5,232,246,94.3,140,60.3,2022-12-07,2026-03-01
ChemSpecPM25,Calcium PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Cerium PM2.5,232,246,94.3,213,91.8,2022-12-07,2026-03-01
ChemSpecPM25,Chlorine PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Chromium PM2.5,232,246,94.3,198,85.3,2022-12-07,2026-03-01
ChemSpecPM25,Cobalt PM2.5,232,246,94.3,223,96.1,2022-12-07,2026-03-01
ChemSpecPM25,Copper PM2.5,232,246,94.3,123,53.0,2022-12-07,2026-03-01
ChemSpecPM25,EC PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Iron PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Lead PM2.5,232,246,94.3,225,97.0,2022-12-07,2026-03-01
ChemSpecPM25,Magnesium PM2.5,232,246,94.3,212,91.4,2022-12-07,2026-03-01
ChemSpecPM25,Manganese PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Nickel PM2.5,232,246,94.3,133,57.3,2022-12-07,2026-03-01
ChemSpecPM25,OC PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Potassium PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Rubidium PM2.5,232,246,94.3,231,99.6,2022-12-07,2026-03-01
ChemSpecPM25,Selenium PM2.5,232,246,94.3,230,99.1,2022-12-07,2026-03-01
ChemSpecPM25,Silicon PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Sodium PM2.5,232,246,94.3,231,99.6,2022-12-07,2026-03-01
ChemSpecPM25,Strontium PM2.5,232,246,94.3,227,97.8,2022-12-07,2026-03-01
ChemSpecPM25,Sulfur PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Tin PM2.5,232,246,94.3,113,48.7,2022-12-07,2026-03-01
ChemSpecPM25,Titanium PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Vanadium PM2.5,232,246,94.3,230,99.1,2022-12-07,2026-03-01
ChemSpecPM25,Zinc PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ChemSpecPM25,Calcium Ion PM2.5,218,246,88.6,0,0.0,2022-12-07,2026-03-01
ChemSpecPM25,Potassium Ion PM2.5,218,246,88.6,110,50.5,2022-12-07,2026-03-01
ChemSpecPM25,Nitrate Ion PM2.5,216,246,87.8,24,11.1,2022-12-07,2026-03-01
ChemSpecPM25,Sulfate Ion PM2.5,216,246,87.8,218,100.9,2022-12-07,2026-03-01
ChemSpecPM25,Sodium Ion PM2.5,209,246,85.0,13,6.2,2022-12-07,2026-03-01
ChemSpecPM25,OM PM2.5,206,246,83.7,205,99.5,2022-12-07,2026-03-01
ChemSpecPM25,Magnesium Ion PM2.5,205,246,83.3,22,10.7,2022-12-07,2026-03-01
ChemSpecPM25,Ammonium Ion PM2.5,204,246,82.9,141,69.1,2022-12-07,2026-03-01
ChemSpecPM25,Nitrite Ion PM2.5,186,246,75.6,0,0.0,2022-12-07,2026-03-01
ChemSpecPM25,Phosphate Ion PM2.5,24,246,9.8,23,95.8,2022-12-07,2026-03-01
ChemSpecPM25,Bromide Ion PM2.5,2,246,0.8,1,50.0,2022-12-07,2026-03-01
ReconstrPM25,Filter PM2.5 mass,246,246,100.0,246,100.0,2022-12-07,2026-03-01
ReconstrPM25,Sea Salt,246,246,100.0,209,85.0,2022-12-07,2026-03-01
ReconstrPM25,BC PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ReconstrPM25,Fine Soil,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ReconstrPM25,OC PM2.5,232,246,94.3,232,100.0,2022-12-07,2026-03-01
ReconstrPM25,Trace Element Oxides,232,246,94.3,228,98.3,2022-12-07,2026-03-01
ReconstrPM25,Nitrate Ion PM2.5,216,246,87.8,216,100.0,2022-12-07,2026-03-01
ReconstrPM25,Sulfate Ion PM2.5,216,246,87.8,216,100.0,2022-12-07,2026-03-01
