Site,n_filters,n_rows,date_min,date_max,fabs_median,fabs_mean,fabs_p95,mdl_median,pct_above_mdl
ETAD,239,239,2022-12-07,2026-01-04,47.11,48.69,68.18,1.56,100.0
ZAPR,214,214,2022-04-26,2025-11-07,19.78,21.44,40.83,1.57,98.6
ZAJB,210,210,2022-07-06,2025-10-03,24.01,24.86,39.85,1.57,100.0
TWTA,205,205,2022-07-26,2025-10-27,8.23,8.41,14.82,1.57,97.56
CHTS,202,202,2022-07-05,2024-12-08,12.96,14.55,27.89,1.6,94.55
INDH,188,188,2022-06-28,2026-02-11,49.42,63.27,145.96,3.17,79.26
CLST,171,171,2024-11-05,2026-02-21,20.83,25.42,51.48,1.59,97.66
TWKA,159,159,2022-08-20,2025-11-28,13.5,13.53,21.83,1.6,98.74
USPA,158,158,2022-07-22,2023-11-14,4.62,4.61,8.08,1.57,93.04
ILHA,154,154,2022-06-24,2025-07-14,6.45,inf,18.23,1.62,93.51
ILNZ,154,154,2022-06-09,2025-02-10,10.05,11.73,23.98,1.58,100.0
KRUL,122,122,2022-07-31,2025-10-16,6.54,6.9,11.11,1.57,95.9
AUMN,106,106,2022-08-09,2025-10-25,4.42,5.23,11.27,1.69,75.47
AEAZ,100,100,2022-07-01,2024-12-02,28.93,30.08,45.01,1.57,89.0
PRFJ,98,98,2022-11-05,2025-09-26,0.62,0.74,2.39,1.55,25.51
CLTA,84,84,2025-07-25,2026-02-25,8.77,13.59,35.07,1.62,88.1
INJA,73,73,2025-04-13,2026-02-03,50.03,53.62,81.58,3.14,97.26
CAHA,68,68,2022-08-11,2024-03-09,2.42,inf,,0.83,75.0
BIBU,67,67,2022-12-09,2025-01-11,36.27,40.47,60.42,1.55,88.06
IDBD,62,62,2023-10-09,2025-11-30,29.47,29.99,41.37,1.57,87.1
CASH,58,58,2022-08-03,2024-10-26,2.72,2.59,4.47,0.82,74.14
USNO,57,57,2023-06-28,2025-12-11,2.92,3.18,5.53,1.55,77.19
MXMC,57,57,2022-07-26,2024-08-13,20.47,21.29,29.61,1.54,100.0
BDDU,54,54,2023-06-12,2024-05-25,38.68,46.67,82.56,1.57,100.0
KRSE,50,50,2022-06-08,2024-03-23,11.92,12.23,19.22,1.6,88.0
USSL,42,42,2025-08-02,2025-12-03,8.56,9.96,19.79,1.54,100.0
ETBI,26,26,2025-10-20,2025-12-29,26.94,27.43,37.92,1.57,100.0
