site,n,slope_Fabs_per_ugBC,intercept,R2
ETAD,232,9.99,0.16,0.999
ZAJB,202,9.97,0.04,1.0
TWTA,193,10.0,0.01,1.0
ZAPR,190,10.04,-0.05,1.0
CHTS,175,10.01,0.01,0.999
CLST,163,10.0,0.01,1.0
USPA,156,10.01,-0.02,0.999
TWKA,153,9.92,0.14,0.998
ILNZ,142,10.0,0.01,1.0
ILHA,137,10.0,-0.0,1.0
INDH,109,10.0,-0.01,1.0
KRUL,97,10.13,-0.06,0.837
CLTA,82,9.99,0.0,1.0
AEAZ,63,10.0,-0.0,1.0
AUMN,51,9.96,0.01,1.0
INJA,47,10.0,-0.01,1.0
BDDU,46,10.0,-0.02,1.0
CAHA,46,,,
BIBU,34,10.0,-0.01,1.0
PRFJ,34,9.84,-0.03,0.976
KRSE,32,9.99,0.01,1.0
MXMC,30,9.96,0.07,0.999
CASH,29,10.07,-0.02,0.999
USNO,23,10.05,-0.02,0.999
IDBD,19,9.98,0.05,1.0
