site,FilterId_base,fabs_mean,fabs_n,sample_date,bc_pm25,pm25_mass,presence
AEAZ,AEAZ-0033,,,,3.06,29.81,right_only
AEAZ,AEAZ-0034,,,,3.82,36.91,right_only
AEAZ,AEAZ-0035,,,,2.49,36.7,right_only
AEAZ,AEAZ-0036,,,,3.03,40.17,right_only
AEAZ,AEAZ-0037,,,,3.44,46.05,right_only
AEAZ,AEAZ-0038,,,,3.35,54.03,right_only
AEAZ,AEAZ-0041,,,,12.29,56.73,right_only
AEAZ,AEAZ-0042,,,,13.14,51.04,right_only
AEAZ,AEAZ-0043,,,,9.38,44.81,right_only
AEAZ,AEAZ-0044,,,,5.87,49.13,right_only
AEAZ,AEAZ-0045,,,,4.67,66.51,right_only
AEAZ,AEAZ-0046,,,,3.14,41.83,right_only
AEAZ,AEAZ-0049,,,,0.92,7.6499999999999995,right_only
AEAZ,AEAZ-0050,,,,1.21,12.2,right_only
AEAZ,AEAZ-0051,,,,2.78,20.43,right_only
AEAZ,AEAZ-0052,,,,1.57,12.2,right_only
AEAZ,AEAZ-0053,,,,2.38,18.29,right_only
AEAZ,AEAZ-0054,,,,1.81,14.91,right_only
AEAZ,AEAZ-0057,,,,2.09,16.97,right_only
AEAZ,AEAZ-0058,,,,2.25,21.72,right_only
AEAZ,AEAZ-0059,,,,2.38,20.31,right_only
AEAZ,AEAZ-0060,,,,3.35,27.29,right_only
AEAZ,AEAZ-0061,,,,2.15,31.1,right_only
AEAZ,AEAZ-0062,,,,2.58,28.48,right_only
AEAZ,AEAZ-0065,,,,1.18,29.48,right_only
AEAZ,AEAZ-0066,,,,1.01,36.08,right_only
AEAZ,AEAZ-0068,,,,2.56,49.31,right_only
AEAZ,AEAZ-0070,,,,2.69,53.21,right_only
AEAZ,AEAZ-0073,,,,3.81,35.92,right_only
AEAZ,AEAZ-0074,,,,4.01,40.99,right_only
AEAZ,AEAZ-0075,,,,2.69,41.55,right_only
AEAZ,AEAZ-0076,,,,3.36,41.75,right_only
AEAZ,AEAZ-0077,,,,3.09,38.06,right_only
AEAZ,AEAZ-0081,,,,4.7,38.68,right_only
AEAZ,AEAZ-0082,,,,2.46,39.4,right_only
AEAZ,AEAZ-0083,,,,3.25,34.88,right_only
