product,subproduct,site,month,samples
FilterBased,ChemSpecPM10,AEAZ,2019-04-01,1
FilterBased,ChemSpecPM10,AEAZ,2019-06-01,1
FilterBased,ChemSpecPM10,AEAZ,2019-09-01,1
FilterBased,ChemSpecPM10,AEAZ,2019-11-01,1
FilterBased,ChemSpecPM10,AEAZ,2020-01-01,1
FilterBased,ChemSpecPM10,AEAZ,2020-05-01,1
FilterBased,ChemSpecPM10,AEAZ,2020-07-01,1
FilterBased,ChemSpecPM10,AEAZ,2020-10-01,1
FilterBased,ChemSpecPM10,AEAZ,2020-12-01,1
FilterBased,ChemSpecPM10,AEAZ,2021-06-01,1
FilterBased,ChemSpecPM10,AEAZ,2021-08-01,1
FilterBased,ChemSpecPM10,AEAZ,2021-11-01,1
FilterBased,ChemSpecPM10,AEAZ,2022-01-01,1
FilterBased,ChemSpecPM10,AEAZ,2022-04-01,1
FilterBased,ChemSpecPM10,AEAZ,2022-07-01,1
FilterBased,ChemSpecPM10,AEAZ,2022-10-01,1
FilterBased,ChemSpecPM10,AEAZ,2023-06-01,1
FilterBased,ChemSpecPM10,AUMN,2022-08-01,1
FilterBased,ChemSpecPM10,AUMN,2022-10-01,1
FilterBased,ChemSpecPM10,AUMN,2022-11-01,1
FilterBased,ChemSpecPM10,AUMN,2023-01-01,1
FilterBased,ChemSpecPM10,AUMN,2023-03-01,1
FilterBased,ChemSpecPM10,AUMN,2023-05-01,1
FilterBased,ChemSpecPM10,AUMN,2023-07-01,1
FilterBased,ChemSpecPM10,AUMN,2023-10-01,1
FilterBased,ChemSpecPM10,AUMN,2024-06-01,1
FilterBased,ChemSpecPM10,AUMN,2024-08-01,1
FilterBased,ChemSpecPM10,AUMN,2024-10-01,1
FilterBased,ChemSpecPM10,AUMN,2025-09-01,1
FilterBased,ChemSpecPM10,AUMN,2026-01-01,1
FilterBased,ChemSpecPM10,BDDU,2019-11-01,1
FilterBased,ChemSpecPM10,BDDU,2019-12-01,1
FilterBased,ChemSpecPM10,BDDU,2021-03-01,1
FilterBased,ChemSpecPM10,BDDU,2023-06-01,4
FilterBased,ChemSpecPM10,BDDU,2023-07-01,2
FilterBased,ChemSpecPM10,BDDU,2024-04-01,1
FilterBased,ChemSpecPM10,BIBU,2023-05-01,1
FilterBased,ChemSpecPM10,BIBU,2023-07-01,1
FilterBased,ChemSpecPM10,BIBU,2023-11-01,1
FilterBased,ChemSpecPM10,BIBU,2024-01-01,1
FilterBased,ChemSpecPM10,BIBU,2024-03-01,1
FilterBased,ChemSpecPM10,CADO,2017-07-01,2
FilterBased,ChemSpecPM10,CADO,2017-08-01,1
FilterBased,ChemSpecPM10,CADO,2017-10-01,1
FilterBased,ChemSpecPM10,CADO,2017-11-01,1
FilterBased,ChemSpecPM10,CADO,2018-02-01,1
FilterBased,ChemSpecPM10,CADO,2018-05-01,1
FilterBased,ChemSpecPM10,CADO,2018-08-01,1
FilterBased,ChemSpecPM10,CADO,2018-11-01,1
FilterBased,ChemSpecPM10,CADO,2019-01-01,1
FilterBased,ChemSpecPM10,CADO,2019-03-01,1
FilterBased,ChemSpecPM10,CADO,2019-06-01,1
