product,subproduct,parameter,AEAZ,ARCB,AUMN,BDDU,BIBU,CADO,CAHA,CAKE,CALE,CASH,CHTS,CLST,CLTA,ETAD,ETBI,IDBD,ILHA,ILNZ,INDH,INJA,INKA,KRSE,KRUL,MXMC,NGIL,PHMO,PRFJ,SGSU,TWKA,TWTA,USBO,USMC,USNO,USPA,VNHN,ZAJB,ZAPR,TOTAL_rows,n_sites
FilterBased,ChemSpecPM10,Aluminum PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Ammonium Ion PM10,16.0,0.0,13.0,11.0,5.0,12.0,35.0,4.0,0.0,17.0,20.0,0.0,0.0,11.0,0.0,6.0,8.0,22.0,0.0,0.0,3.0,10.0,25.0,11.0,11.0,0.0,6.0,2.0,5.0,6.0,0.0,0.0,1.0,0.0,6.0,9.0,9.0,284.0,26
FilterBased,ChemSpecPM10,Antimony PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Arsenic PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,BC PM10,17.0,0.0,13.0,9.0,5.0,8.0,24.0,1.0,3.0,14.0,16.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,10.0,20.0,11.0,11.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,231.0,27
FilterBased,ChemSpecPM10,Barium PM10,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,9
FilterBased,ChemSpecPM10,Bromide Ion PM10,3.0,0.0,2.0,0.0,0.0,10.0,14.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,12
FilterBased,ChemSpecPM10,Cadmium PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Calcium Ion PM10,16.0,0.0,14.0,11.0,5.0,12.0,34.0,4.0,3.0,17.0,21.0,0.0,0.0,11.0,0.0,6.0,6.0,22.0,0.0,0.0,3.0,10.0,22.0,10.0,11.0,0.0,6.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,6.0,6.0,8.0,279.0,27
FilterBased,ChemSpecPM10,Calcium PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
