site,FilterBased/ChemSpecPM10,FilterBased/ChemSpecPM25,FilterBased/ReconstrPM25,NephelProcd/DailyScaPM10,NephelProcd/DailyScaPM25,NephelProcd/HourlyScaPM10,NephelProcd/HourlyScaPM25,TimeResPM25/DailyEstPM25,TimeResPM25/HourlyEstPM25,TOTAL_rows,n_subproducts
AEAZ,618.0,5717.0,1889.0,688.0,628.0,15729.0,14138.0,610.0,12684.0,52701.0,9
ARCB,0.0,1492.0,465.0,0.0,0.0,0.0,0.0,784.0,11417.0,14158.0,4
AUMN,483.0,2409.0,771.0,696.0,696.0,15621.0,15729.0,674.0,15052.0,52131.0,9
BDDU,342.0,3932.0,1266.0,0.0,0.0,0.0,0.0,232.0,2753.0,8525.0,5
BIBU,180.0,1420.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,2099.0,3
CADO,417.0,2537.0,821.0,727.0,736.0,14400.0,16712.0,728.0,14755.0,51833.0,9
CAHA,1113.0,5630.0,1912.0,816.0,877.0,13644.0,18037.0,759.0,12671.0,55459.0,9
CAKE,136.0,618.0,192.0,164.0,135.0,2327.0,2374.0,106.0,2103.0,8155.0,9
CALE,130.0,720.0,265.0,500.0,386.0,5449.0,7276.0,385.0,7055.0,22166.0,9
CASH,569.0,3739.0,1254.0,2441.0,2458.0,46143.0,51911.0,2238.0,39941.0,150694.0,9
CHTS,671.0,13525.0,4322.0,754.0,769.0,12224.0,15096.0,1787.0,35518.0,84666.0,9
CLST,0.0,6954.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,9194.0,2
CLTA,0.0,3326.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,4487.0,2
CODC,0.0,0.0,0.0,141.0,142.0,1086.0,3238.0,0.0,0.0,4607.0,4
ETAD,250.0,9771.0,3228.0,0.0,0.0,0.0,0.0,0.0,0.0,13249.0,3
ETBI,0.0,1341.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,2
IDBD,219.0,3960.0,1315.0,0.0,0.0,0.0,0.0,425.0,5133.0,11052.0,5
ILHA,174.0,7104.0,2355.0,0.0,0.0,0.0,0.0,0.0,0.0,9633.0,3
ILNZ,608.0,10850.0,3534.0,553.0,533.0,12327.0,11833.0,998.0,19320.0,60556.0,9
INDH,0.0,4577.0,1635.0,0.0,0.0,0.0,0.0,0.0,0.0,6212.0,2
INJA,0.0,2047.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,2798.0,2
INKA,110.0,1434.0,481.0,246.0,36.0,5335.0,837.0,263.0,4051.0,12793.0,9
KRSE,337.0,3234.0,1075.0,171.0,142.0,1260.0,3142.0,123.0,2665.0,12149.0,9
KRUL,753.0,5203.0,1634.0,324.0,323.0,7278.0,7377.0,267.0,5430.0,28589.0,9
MXMC,393.0,2296.0,739.0,823.0,671.0,12351.0,11022.0,579.0,8727.0,37601.0,9
NGIL,427.0,2379.0,821.0,405.0,77.0,8499.0,1267.0,189.0,2562.0,16626.0,9
PHMO,0.0,420.0,132.0,877.0,877.0,18650.0,18598.0,0.0,0.0,39554.0,6
PRFJ,245.0,2125.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,3065.0,3
SGSU,77.0,1693.0,546.0,1031.0,180.0,22990.0,3907.0,738.0,13801.0,44963.0,9
TWKA,122.0,6339.0,2171.0,0.0,0.0,0.0,0.0,0.0,0.0,8632.0,3
TWTA,166.0,10158.0,3424.0,0.0,0.0,0.0,0.0,0.0,0.0,13748.0,3
USBO,0.0,362.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,2
USMC,0.0,423.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,2
USNO,36.0,973.0,327.0,677.0,677.0,15295.0,15244.0,174.0,3824.0,37227.0,9
USPA,0.0,10291.0,3270.0,0.0,0.0,0.0,0.0,0.0,0.0,13561.0,2
VNHN,212.0,785.0,232.0,51.0,14.0,422.0,192.0,119.0,1481.0,3508.0,9
ZAJB,235.0,8309.0,2729.0,0.0,0.0,0.0,0.0,0.0,0.0,11273.0,3
ZAPR,231.0,10657.0,3523.0,450.0,385.0,9565.0,7794.0,458.0,8103.0,41166.0,9
