site,lat,lon
AEAZ,24.4416,54.6166
ARCB,-34.55542,-58.50641
AUMN,-37.7968,144.96291
BDDU,23.72839,90.39819
BIBU,-3.38,29.384
CADO,43.79,-79.47
CAHA,44.638,-63.594
CAKE,49.94129,-119.40011
CALE,49.68167,-112.8687
CASH,45.37975,-71.93133
CHTS,40.004,116.326
CLST,-33.458014,-70.664828
CLTA,-35.4315,-71.621444
ETAD,9.0106,38.8207
IDBD,-6.88842,107.61
ILHA,32.77587,35.0249
ILNZ,31.90724,34.81053
INDH,28.545,77.1926
INJA,26.90582,75.80622
INKA,26.51278,80.23164
KRSE,37.56443,126.93479
KRUL,35.582,129.19
MXMC,19.334,-99.182
NGIL,8.4841,4.6745
PHMO,14.63525,121.07784
PRFJ,18.3845,-65.6199
SGSU,1.29767,103.78038
TWKA,22.647196,120.309791
TWTA,25.0416354,121.503398
USBO,40.05333,-88.37194
USMC,37.1318,-86.1479
USNO,35.182,-97.44
USPA,34.199433,-118.17317
VNHN,21.04778,105.79964
ZAJB,-26.18466,27.999458
ZAPR,-25.75661,28.27972
