site,n_subproducts,total_samples,mean_completeness,median_completeness,earliest,latest,score
CADO,9,48209.0,78.0,82.7,2017-07-10,2019-09-05,78.0
AUMN,9,48607.0,75.2,92.4,2022-07-21,2026-02-27,75.2
USNO,9,35959.0,68.5,84.1,2022-08-03,2024-11-25,68.5
CASH,9,145361.0,61.7,69.4,2017-04-25,2024-11-25,61.7
KRUL,9,21283.0,59.3,62.7,2021-09-03,2026-03-04,59.3
CHTS,9,66906.0,56.8,60.8,2013-06-28,2024-10-06,56.8
SGSU,9,42748.0,55.0,52.9,2015-07-10,2020-01-28,55.0
MXMC,9,34301.0,50.2,51.0,2021-02-17,2026-02-23,50.2
CALE,9,21120.0,44.8,47.3,2017-08-26,2019-09-09,44.8
AEAZ,9,44794.0,44.2,43.2,2019-04-26,2024-12-02,44.2
CAHA,9,47186.0,43.1,44.8,2017-04-13,2024-02-05,43.1
PHMO,7,39026.0,49.5,60.3,2014-05-01,2023-05-02,38.5
ZAPR,9,27306.0,36.1,38.3,2015-10-18,2026-03-30,36.1
ARCB,5,12287.0,63.0,53.9,2014-10-02,2017-01-23,35.0
KRSE,9,7692.0,33.8,17.9,2018-09-18,2023-12-31,33.8
USPA,3,528.0,100.0,100.0,2021-11-09,2024-08-13,33.3
CLST,3,347.0,100.0,100.0,2024-11-05,2026-04-25,33.3
INDH,3,246.0,100.0,100.0,2024-03-05,2026-04-26,33.3
CLTA,3,178.0,100.0,100.0,2025-07-25,2026-04-21,33.3
INJA,3,108.0,100.0,100.0,2025-04-13,2026-03-15,33.3
USMC,3,38.0,100.0,100.0,2014-06-07,2014-08-12,33.3
ILNZ,9,45996.0,32.1,20.0,2015-02-13,2026-03-21,32.1
INKA,9,10857.0,30.6,11.7,2013-12-11,2022-05-16,30.6
ETAD,3,498.0,72.2,100.0,2022-12-07,2026-03-01,24.1
ILHA,3,376.0,70.8,100.0,2022-02-16,2026-03-06,23.6
ZAJB,3,430.0,69.7,100.0,2022-04-07,2025-11-11,23.2
TWTA,3,545.0,68.7,100.0,2022-01-27,2026-04-14,22.9
TWKA,3,344.0,68.3,100.0,2022-08-20,2026-04-20,22.8
IDBD,5,5809.0,34.6,26.4,2014-01-10,2025-05-27,19.2
CAKE,9,7249.0,18.6,14.4,2017-11-01,2019-11-14,18.6
CODC,4,4607.0,34.1,40.6,2019-10-08,2020-09-11,15.2
BIBU,3,85.0,43.8,54.6,2022-12-09,2024-08-01,14.6
USBO,3,22.0,41.6,41.6,2015-08-11,2016-03-27,13.9
NGIL,9,13153.0,12.0,14.1,2014-04-13,2026-02-26,12.0
BDDU,5,3217.0,21.4,25.8,2013-10-24,2024-05-25,11.9
VNHN,9,2329.0,8.3,6.4,2015-05-22,2020-10-05,8.3
PRFJ,3,117.0,22.8,32.3,2021-03-18,2025-10-09,7.6
