site,n_subproducts,total_samples,mean_completeness,median_completeness,earliest,latest,score,group
USPA,3,528.0,100.0,100.0,2021-11-09,2024-08-13,100.0,filter-only
CLST,3,347.0,100.0,100.0,2024-11-05,2026-04-25,100.0,filter-only
INDH,3,246.0,100.0,100.0,2024-03-05,2026-04-26,100.0,filter-only
CLTA,3,178.0,100.0,100.0,2025-07-25,2026-04-21,100.0,filter-only
INJA,3,108.0,100.0,100.0,2025-04-13,2026-03-15,100.0,filter-only
USMC,3,38.0,100.0,100.0,2014-06-07,2014-08-12,100.0,filter-only
ETAD,3,498.0,72.2,100.0,2022-12-07,2026-03-01,72.2,filter-only
ILHA,3,376.0,70.8,100.0,2022-02-16,2026-03-06,70.8,filter-only
ZAJB,3,430.0,69.7,100.0,2022-04-07,2025-11-11,69.7,filter-only
TWTA,3,545.0,68.7,100.0,2022-01-27,2026-04-14,68.7,filter-only
TWKA,3,344.0,68.3,100.0,2022-08-20,2026-04-20,68.3,filter-only
BIBU,3,85.0,43.8,54.6,2022-12-09,2024-08-01,43.8,filter-only
USBO,3,22.0,41.6,41.6,2015-08-11,2016-03-27,41.6,filter-only
PRFJ,3,117.0,22.8,32.3,2021-03-18,2025-10-09,22.8,filter-only
