FilterId,Site,date,measured,predicted,residual,round,reason
1996402,WICA1,2022-10-17,256.0,122.5,133.5,1,heavily loaded + off-line
1977107,YOSE1,2022-07-10,164.7,58.3,106.4,1,heavily loaded + off-line
1990047,WHPA1,2022-09-11,134.7,54.4,80.3,1,heavily loaded + off-line
1967880,TOOL1,2022-07-01,393.3,313.5,79.8,1,heavily loaded + off-line
1987833,HECA1,2022-09-05,335.3,284.8,50.5,1,heavily loaded + off-line
2004346,BRID1,2022-11-13,15.2,58.5,-43.3,1,off the 1:1 line
1998641,SULA1,2022-10-17,26.5,68.5,-42.0,1,off the 1:1 line
2002493,PUSO1,2022-10-20,93.9,53.7,40.2,1,heavily loaded + off-line
1968004,DENA1,2022-07-04,33.5,73.1,-39.6,1,heavily loaded + off-line
1989659,CABI1,2022-09-11,100.7,140.0,-39.3,1,heavily loaded + off-line
1967822,KPBO1,2022-06-28,24.2,61.2,-36.9,1,off the 1:1 line
2006557,PUSO1,2022-11-13,42.2,5.3,36.8,1,heavily loaded + off-line
2004345,BRID1,2022-11-10,5.6,41.7,-36.1,1,off the 1:1 line
1989271,LTCC1,2022-09-11,159.9,195.7,-35.7,1,heavily loaded + off-line
2034779,UPBU1,2023-03-19,22.9,57.9,-35.0,1,off the 1:1 line
2021934,CHAS1,2023-01-30,30.4,65.2,-34.8,1,heavily loaded + off-line
2041849,BIRM1,2023-04-12,85.0,119.6,-34.6,1,heavily loaded + off-line
1976637,BIRM1,2022-07-04,9.0,42.0,-33.0,1,off the 1:1 line
1989270,LTCC1,2022-09-08,223.1,197.1,26.0,2,heavily loaded + off-line
1997873,BIRM1,2022-10-20,82.0,107.1,-25.1,3,heavily loaded + off-line
1982457,PUSO1,2022-07-31,22.1,45.5,-23.4,4,off the 1:1 line
1992702,HECA1,2022-09-11,34.2,55.9,-21.8,2,heavily loaded + off-line
1990076,SNPA1,2022-09-11,38.8,17.4,21.4,3,heavily loaded + off-line
1977199,YELL2,2022-07-19,29.7,50.4,-20.7,2,off the 1:1 line
1986259,BLIS2,2022-09-08,155.2,174.8,-19.6,2,heavily loaded + off-line
1993949,WHPA1,2022-09-29,16.7,36.1,-19.4,2,off the 1:1 line
1990867,YOSE1,2022-09-02,88.9,70.6,18.3,3,heavily loaded + off-line
1990868,YOSE1,2022-09-05,89.8,72.5,17.4,2,heavily loaded + off-line
2008321,MORA1,2022-11-16,23.2,7.0,16.2,3,off the 1:1 line
1990865,YOSE1,2022-08-27,81.2,65.2,16.0,2,heavily loaded + off-line
2007060,PITT1,2022-11-10,31.4,15.4,16.0,3,heavily loaded + off-line
1990867,YOSE1,2022-09-02,88.9,73.6,15.3,2,heavily loaded + off-line
1993947,WHPA1,2022-09-23,29.6,44.9,-15.3,2,off the 1:1 line
1999972,WHPA1,2022-10-11,14.2,29.1,-14.9,4,off the 1:1 line
1998904,KALM1,2022-10-20,16.6,31.2,-14.6,6,off the 1:1 line
1971248,NOGA1,2022-06-16,38.6,25.5,13.0,4,heavily loaded + off-line
1981416,CRLA1,2022-07-28,6.4,19.2,-12.8,4,off the 1:1 line
1999165,CHAS1,2022-10-20,42.7,30.3,12.4,2,heavily loaded + off-line
1990868,YOSE1,2022-09-05,89.8,78.2,11.7,2,heavily loaded + off-line
1992072,PUSO1,2022-09-11,32.7,21.5,11.3,3,heavily loaded + off-line
1989505,THSI1,2022-09-11,78.4,89.3,-10.9,5,heavily loaded + off-line
1990449,REDW1,2022-09-08,5.4,16.3,-10.9,3,off the 1:1 line
1990865,YOSE1,2022-08-27,81.2,70.8,10.3,2,heavily loaded + off-line
1999973,WHPA1,2022-10-14,15.5,25.6,-10.1,3,off the 1:1 line
1999975,WHPA1,2022-10-20,64.1,54.8,9.3,4,heavily loaded + off-line
2024197,COHU1,2023-02-08,42.7,33.5,9.2,2,heavily loaded + off-line
1989596,CRLA1,2022-09-02,29.6,21.3,8.3,3,off the 1:1 line
1996800,PUSO1,2022-10-08,48.8,55.7,-6.8,4,heavily loaded + off-line
2030527,ATLA1,2023-03-16,53.0,59.6,-6.6,5,heavily loaded + off-line
1981387,WIMO1,2022-07-28,34.5,28.9,5.6,3,heavily loaded + off-line
2011639,SOGP1,2022-12-07,9.6,14.4,-4.9,6,off the 1:1 line
2041484,CABI1,2023-04-30,21.7,17.3,4.4,6,off the 1:1 line
1968002,DENA1,2022-06-28,94.8,91.4,3.4,2,heavily loaded + off-line
2006558,PUSO1,2022-11-16,40.0,37.2,2.8,6,heavily loaded + off-line
2008539,ATLA1,2022-11-22,50.5,52.9,-2.4,7,heavily loaded + off-line
2006728,GLAC1,2022-11-22,49.3,47.0,2.3,3,heavily loaded + off-line
1984772,BIRM1,2022-08-18,37.3,35.9,1.3,4,heavily loaded + off-line
2012948,CHAS1,2022-12-19,41.9,42.6,-0.7,7,heavily loaded + off-line
2025954,SWAN1,2023-02-20,10.3,9.9,0.4,8,off the 1:1 line
2002584,GLAC1,2022-10-20,42.2,41.9,0.3,4,heavily loaded + off-line
1996036,RAFA1,2022-10-11,59.6,59.4,0.3,3,heavily loaded + off-line
